osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,est_width,bridge
238515052,2,4,所沢街道,primary,40,False,False,54.659,"LINESTRING (139.5154871 35.7485312, 139.5160706 35.7483994)",,
238515052,2,4,所沢街道,primary,40,False,True,79.517,"LINESTRING (139.5154871 35.7485312, 139.5146584 35.7487742)",,
238515052,2,4,所沢街道,primary,40,False,False,79.517,"LINESTRING (139.5146584 35.7487742, 139.5154871 35.7485312)",,
564040372,2,15,小金井街道,primary,40,False,False,113.856,"LINESTRING (139.5146584 35.7487742, 139.5148789 35.7496658, 139.5149085 35.7497778)",,
863137721,2,15,小金井街道,primary,40,False,False,33.35,"LINESTRING (139.5154405 35.7524736, 139.5155254 35.7527655)",,
863137721,2,15,小金井街道,primary,40,False,True,20.302,"LINESTRING (139.5154405 35.7524736, 139.5154014 35.7522938)",,
"[546605605, 239536039]",,,,unclassified,,False,"[False, True]",139.03199999999998,"LINESTRING (139.5154405 35.7524736, 139.5151582 35.7524822, 139.514853 35.7525226, 139.5145472 35.7524227, 139.514228 35.7521789, 139.5141354 35.7520527)",,
119188619,,,,unclassified,,False,False,34.382,"LINESTRING (139.5156874 35.7537469, 139.5153064 35.7537451)",1.5m〜3.0m,
564040375,2,15,小金井街道,primary,40,False,False,89.757,"LINESTRING (139.5156874 35.7537469, 139.5156645 35.7539884, 139.5156175 35.7541759, 139.5155213 35.7545413)",,
564040375,2,15,小金井街道,primary,40,False,True,38.597,"LINESTRING (139.5156874 35.7537469, 139.5156942 35.7535683, 139.5156663 35.7534014)",,
526892665,2,,前沢保谷線旧道,tertiary,30,False,True,47.431,"LINESTRING (139.515373 35.7551715, 139.5158785 35.7552884)",,
564040375,2,15,小金井街道,primary,40,False,True,43.769,"LINESTRING (139.515373 35.7551715, 139.5154575 35.7547839)",,
719978244,,234,前沢保谷線,secondary,,False,False,18.173,"LINESTRING (139.515373 35.7551715, 139.5151806 35.7551232)",,
564040372,2,15,小金井街道,primary,40,False,True,72.092,"LINESTRING (139.5150461 35.7504164, 139.5149469 35.7499362, 139.5149085 35.7497778)",,
719082995,2,234,,secondary,,False,True,58.554,"LINESTRING (139.5150461 35.7504164, 139.5151439 35.7505293, 139.5152256 35.7506218, 139.5153656 35.7507699, 139.5154287 35.7508416)",,
863137721,2,15,小金井街道,primary,40,False,False,62.108000000000004,"LINESTRING (139.5150461 35.7504164, 139.5151016 35.7507815, 139.5151254 35.7509712)",,
67066952,,,,unclassified,,False,False,37.948,"LINESTRING (139.5196554 35.7537599, 139.5196206 35.7534198)",,
863137719,,234,前沢保谷線,secondary,,False,False,120.141,"LINESTRING (139.5196554 35.7537599, 139.5185004 35.7532225)",,
119169378,,,,unclassified,,False,True,118.94,"LINESTRING (139.5196554 35.7537599, 139.519675 35.7540216, 139.519677 35.754164, 139.51969 35.754271, 139.5196987 35.7544381, 139.5197049 35.7546276, 139.5196776 35.7548271)",3.0m〜5.5m,
863137719,,234,前沢保谷線,secondary,,False,True,67.561,"LINESTRING (139.5196554 35.7537599, 139.5199363 35.7538899, 139.5203064 35.75406)",,
564040374,,234,前沢保谷線,secondary,,False,True,14.687,"LINESTRING (139.5173084 35.7526096, 139.5174357 35.7526919)",,
239374632,,,,unclassified,,False,True,98.08999999999999,"LINESTRING (139.5173084 35.7526096, 139.5171546 35.7526398, 139.5170654 35.7526487, 139.5162272 35.7526213)",,
564040374,,234,前沢保谷線,secondary,,False,False,83.32,"LINESTRING (139.5173084 35.7526096, 139.516902 35.75231, 139.5167246 35.7521529, 139.5166532 35.7520832)",,
863137719,,234,前沢保谷線,secondary,,False,True,28.086,"LINESTRING (139.5182274 35.7531012, 139.5185004 35.7532225)",,
