osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge
117441492,2,下松市道中央線,tertiary,40,False,False,105.925,"LINESTRING (131.8674854 34.0162966, 131.8674133 34.0163812, 131.8668333 34.017081)",,,
117442128,2,下松市道中央線,tertiary,40,False,True,126.42399999999999,"LINESTRING (131.8674854 34.0162966, 131.8677729 34.0159759, 131.8682447 34.015467, 131.8683069 34.0153865)",,,
329070268,,下松市道末光通線,tertiary,,False,False,36.588,"LINESTRING (131.8674854 34.0162966, 131.8677156 34.0164203, 131.8678301 34.0164567)",,,
317668425,2,下松田布施線,primary,,True,False,70.217,"LINESTRING (131.8681688 34.0131343, 131.8688071 34.013479)",63,,
329073727,,,tertiary,,False,False,3.722,"LINESTRING (131.8681688 34.0131343, 131.8681913 34.0131065)",,,
117442291,,,unclassified,,False,True,173.27299999999997,"LINESTRING (131.8733484 34.011449, 131.8733793 34.0113205, 131.873363 34.0112795, 131.8733204 34.0112467, 131.873245 34.0112367, 131.872598 34.0113304, 131.8724247 34.0113587, 131.8723459 34.0113525, 131.8722669 34.0113065, 131.8722022 34.0112766, 131.8721272 34.0112738, 131.8719722 34.0113556, 131.8719067 34.0113673, 131.8718348 34.0113551, 131.8717905 34.0113313)",,,
"[117441555, 1107991574, 117441991]",,下松市道末光通線,unclassified,,False,False,127.136,"LINESTRING (131.8734884 34.0179918, 131.8735548 34.0180455, 131.873821 34.0182539, 131.8739704 34.0183444, 131.8741263 34.0184003, 131.8743096 34.0184541, 131.8744175 34.0184773, 131.8745868 34.0185173, 131.8746691 34.018505)",,culvert,
117442064,,下松市道末光通線,unclassified,,False,True,101.199,"LINESTRING (131.8734884 34.0179918, 131.8731252 34.0176968, 131.872705 34.0173541)",,,
370376672,,,unclassified,,False,True,127.592,"LINESTRING (131.8734884 34.0179918, 131.8733758 34.0181394, 131.8732859 34.0185329, 131.8732132 34.0185419, 131.8728621 34.0184409, 131.8727656 34.0184073, 131.8726508 34.0183399)",,,
317668425,2,下松田布施線,primary,,True,False,24.17,"LINESTRING (131.8688071 34.013479, 131.8690281 34.013596)",63,,
317668430,,,unclassified,,False,True,5.0,"LINESTRING (131.8688071 34.013479, 131.8688381 34.0134421)",,,
117442388,,,unclassified,,False,True,3.474,"LINESTRING (131.8680322 34.0178444, 131.8679973 34.0178562)",,,
117441869,,,unclassified,,False,False,92.575,"LINESTRING (131.8680322 34.0178444, 131.8681948 34.0178112, 131.868286 34.017801, 131.8684312 34.0178045, 131.8685076 34.0178211, 131.8687875 34.0179018, 131.8690013 34.0179582)",,,
329070272,,,tertiary,,False,True,42.821,"LINESTRING (131.8680322 34.0178444, 131.8679738 34.0176911, 131.8679765 34.0176392, 131.8680953 34.0174977)",,,
371662185,,,unclassified,,False,False,63.985,"LINESTRING (131.8695159 34.012533, 131.870203 34.0126151)",,,
117441556,,,unclassified,,False,False,26.915999999999997,"LINESTRING (131.8695159 34.012533, 131.8694732 34.0126152, 131.8693803 34.0127469)",,,
117441556,,,unclassified,,False,True,46.049,"LINESTRING (131.8695159 34.012533, 131.86958 34.012353, 131.8696522 34.0121346)",,,
398921489,,,unclassified,,False,True,9.707,"LINESTRING (131.8750008 34.0163273, 131.8750619 34.0162562)",,,
117441827,,,unclassified,,False,True,130.231,"LINESTRING (131.868065 34.014573, 131.8667706 34.0141034)",,,
371661972,,,unclassified,,False,True,14.422,"LINESTRING (131.868065 34.014573, 131.8682085 34.0146247)",,,
117442233,,,unclassified,,False,False,54.004999999999995,"LINESTRING (131.868065 34.014573, 131.868035 34.014491, 131.867937 34.014359, 131.8677787 34.0141521)",,,
"[117441702, 117441518]",,,tertiary,,True,False,554.058,"LINESTRING (131.8741092 34.0157456, 131.8740949 34.0156185, 131.8740307 34.0150453, 131.8739867 34.0147415, 131.8739067 34.0143268, 131.8737723 34.0138637, 131.8736751 34.0134522, 131.873638 34.0132665, 131.8735968 34.0129454, 131.873568 34.0126892, 131.8735519 34.0121648, 131.8735398 34.0119283, 131.8735622 34.0115774, 131.8735937 34.0113729, 131.8736373 34.01119, 131.8737269 34.0108131)",,,
317667016,,下松田布施線,primary,,True,False,57.385,"LINESTRING (131.8741092 34.0157456, 131.8739551 34.0157261, 131.8736916 34.0157161, 131.8734891 34.0157273)",63,,
117441570,,,unclassified,,False,True,86.363,"LINESTRING (131.8655571 34.0129568, 131.8663638 34.0133519)",,,
117441700,,下松市道大手線,tertiary,,False,True,52.793,"LINESTRING (131.8655571 34.0129568, 131.8658296 34.0125392)",,,
117441700,,下松市道大手線,tertiary,,False,False,35.748,"LINESTRING (131.8655571 34.0129568, 131.8654371 34.0131149, 131.8653304 34.0132165)",,,
117442339,,,unclassified,,False,True,45.886,"LINESTRING (131.8665487 34.0144728, 131.8667706 34.0141034)",,,
117442369,,,unclassified,,False,False,188.79399999999998,"LINESTRING (131.8665487 34.0144728, 131.8669257 34.0145889, 131.8671329 34.0146523, 131.8675371 34.0148063, 131.8678873 34.014933, 131.8680756 34.0149864, 131.868456 34.0150871)",,,
117442346,,,unclassified,,False,False,66.78,"LINESTRING (131.8704685 34.0173938, 131.8697596 34.0172696)",,,
"[370376465, 117441698]",,,unclassified,,False,False,51.504999999999995,"LINESTRING (131.8704685 34.0173938, 131.8705153 34.0172353, 131.8705856 34.016941)",,,
117442205,,,unclassified,,False,True,117.89699999999999,"LINESTRING (131.8704685 34.0173938, 131.8713547 34.0175486, 131.8715036 34.017583, 131.8716109 34.0176225, 131.8716571 34.0176486, 131.8717023 34.0176537)",,,
370376470,,,unclassified,,False,True,68.39299999999999,"LINESTRING (131.8704685 34.0173938, 131.8704441 34.0174213, 131.8701934 34.0174967, 131.8700902 34.0175504, 131.8699754 34.0176181, 131.8698976 34.0176575, 131.8698409 34.0177046)",,,
117441620,,,tertiary,,True,False,343.015,"LINESTRING (131.8736034 34.0193836, 131.8737602 34.0188923, 131.8738468 34.0185754, 131.8739716 34.0181237, 131.8740151 34.0179386, 131.8740878 34.0176079, 131.8741359 34.0172172, 131.8741492 34.0167419, 131.8741484 34.0163465)",,,
117441985,,,unclassified,,False,True,46.222,"LINESTRING (131.8671288 34.0114393, 131.8674416 34.0111144)",,,
117441711,,,unclassified,,True,False,56.397,"LINESTRING (131.8671288 34.0114393, 131.8674507 34.0116043, 131.8676515 34.0117029)",,,
117441691,,,unclassified,,False,True,122.667,"LINESTRING (131.8674732 34.0119732, 131.8685907 34.0125723)",,,
117442285,,,unclassified,,False,True,34.256,"LINESTRING (131.8674732 34.0119732, 131.8676515 34.0117029)",,,
117442366,,,unclassified,,False,False,12.931,"LINESTRING (131.8674732 34.0119732, 131.8674018 34.0120733)",,,
117442217,,,unclassified,,False,False,54.126,"LINESTRING (131.8676589 34.0128661, 131.8673588 34.0132845)",,,
317668425,2,下松田布施線,primary,,True,False,55.661,"LINESTRING (131.8676589 34.0128661, 131.8681688 34.0131343)",63,,
317668433,,,unclassified,,False,False,4.196,"LINESTRING (131.8676589 34.0128661, 131.8676857 34.0128356)",,,
117442331,,,tertiary,,False,True,90.172,"LINESTRING (131.8747332 34.0112562, 131.8747803 34.0113884, 131.8748273 34.011506, 131.8749151 34.0116571, 131.87516 34.0119801)",,,
317667696,,下松田布施線,primary,,True,False,46.622,"LINESTRING (131.8729999 34.0157406, 131.8731558 34.0157593, 131.8733043 34.0157759, 131.8735009 34.0157984)",63,,
117441540,,,tertiary,,False,False,67.303,"LINESTRING (131.8706929 34.0108669, 131.870531 34.0114571)",,,
117442294,,,tertiary,,False,True,114.184,"LINESTRING (131.8706929 34.0108669, 131.8708062 34.0109149, 131.8709592 34.0109638, 131.8712838 34.0110676, 131.8713125 34.0110809, 131.8715606 34.0111956, 131.871748 34.0113126, 131.8717905 34.0113313)",,,
117441856,2,下松市道中央線,tertiary,40,False,False,58.686,"LINESTRING (131.8694799 34.0138458, 131.8691261 34.0142846)",,,
