osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry,est_width
964852026,False,5,409,大師道,trunk,50,True,25.832,,"LINESTRING (139.7079021 35.5342592, 139.7076227 35.5343069)",
114032397,True,2,15,第一京浜 (Daiichi keihin),trunk,50,False,164.707,yes,"LINESTRING (139.7079021 35.5342592, 139.7078547 35.5341328, 139.70783 35.5340683, 139.7077104 35.5338101, 139.7075563 35.5335443, 139.707393 35.533288, 139.7071235 35.5329263)",
294597810,False,2,,,tertiary,,True,11.499,,"LINESTRING (139.7072178 35.5292636, 139.707216 35.5291602)",
114032678,True,,,,residential,,False,86.05499999999999,,"LINESTRING (139.7072178 35.5292636, 139.70721 35.5293333, 139.7071312 35.5300343)",
677796972,True,3,15,第一京浜,trunk,50,False,9.409,yes,"LINESTRING (139.7045266 35.5298027, 139.7045779 35.5298763)",
678707592,True,3,15,第一京浜,trunk,50,False,9.409,yes,"LINESTRING (139.7045266 35.5298027, 139.7045779 35.5298763)",
180618635,True,,9,市役所通り,primary,,False,117.323,,"LINESTRING (139.7045266 35.5298027, 139.7043712 35.529831, 139.7032797 35.5300909)",
263457005,True,,9,駅前本町線,tertiary,,False,20.776000000000003,,"LINESTRING (139.6998402 35.5319558, 139.699868 35.531946, 139.7000132 35.5318673, 139.7000206 35.531848)",
263457004,True,,9,駅前本町線,tertiary,,False,93.289,,"LINESTRING (139.7000206 35.531848, 139.700011 35.5318308, 139.6995656 35.531324, 139.6994982 35.5312541, 139.6994162 35.531169)",
27881723,False,,9,市役所通り,primary,,False,12.871,,"LINESTRING (139.6994162 35.531169, 139.6994561 35.5310579)",
"[27882152, 686874208]",True,,9,市役所通り,primary,50,False,164.771,,"LINESTRING (139.6994162 35.531169, 139.6996273 35.5311174, 139.7002538 35.5309607, 139.7003084 35.530947, 139.700421 35.5309188, 139.700488 35.5309021, 139.7009995 35.5307746, 139.7010658 35.5307586, 139.7011573 35.5307353)",
"[1190349648, 1190349649, 166728237]",False,,9,府中街道,primary,,False,68.607,,"LINESTRING (139.6994162 35.531169, 139.6992704 35.5312014, 139.6990041 35.5312813, 139.6989269 35.5312993, 139.6987426 35.5313425, 139.6986993 35.5313646)",
166728238,True,,9,府中街道,primary,,False,71.24600000000001,,"LINESTRING (139.6986993 35.5313646, 139.6986811 35.5313924, 139.6986702 35.5314224, 139.6986721 35.5314535, 139.698685 35.5314965, 139.6989691 35.5319427)",
"[1190349648, 1190349649, 166728237]",False,,9,府中街道,primary,,True,68.607,,"LINESTRING (139.6986993 35.5313646, 139.6987426 35.5313425, 139.6989269 35.5312993, 139.6990041 35.5312813, 139.6992704 35.5312014, 139.6994162 35.531169)",
989140707,True,,9,府中街道,primary,,False,9.203,,"LINESTRING (139.699264 35.5344451, 139.6992914 35.5343654)",
989140706,True,2,,温泉通り,tertiary,40,False,6.495,,"LINESTRING (139.6975108 35.5343675, 139.6975821 35.5343608)",
899605033,True,3,15,第一京浜,trunk,50,False,14.911,yes,"LINESTRING (139.7022241 35.5267603, 139.7023434 35.5268528)",
677481552,True,3,101,新川通り,secondary,50,False,124.285,,"LINESTRING (139.7022241 35.5267603, 139.702028 35.5268936, 139.7017694 35.5270693, 139.7011699 35.5274767)",
161428320,False,,,,residential,,False,10.364,,"LINESTRING (139.6979861 35.5295405, 139.6978908 35.5295922)",
159359782,False,,,平和通り,living_street,,False,64.19,,"LINESTRING (139.7036532 35.5285906, 139.7035596 35.5286196, 139.7035436 35.5286225, 139.7034804 35.5286339, 139.7029648 35.5287267)",
417255735,True,3,15,第一京浜,trunk,50,False,156.245,yes,"LINESTRING (139.7036532 35.5285906, 139.7040082 35.5290831, 139.7045266 35.5298027)",
28017221,True,1,,,trunk_link,,False,54.377,yes,"LINESTRING (139.7062434 35.5322046, 139.7064494 35.5325656, 139.7065122 35.5326409)",
28017411,True,3,15,第一京浜,trunk,50,False,46.398,yes,"LINESTRING (139.7064697 35.532096, 139.7062065 35.5317379)",
1190290484,True,3,15,第一京浜,trunk,50,False,33.423,yes,"LINESTRING (139.7061198 35.5316269, 139.7060087 35.531446, 139.7059475 35.5313612)",
262946977,True,2,132,,trunk,50,False,22.142,yes,"LINESTRING (139.7047521 35.5297254, 139.7045266 35.5298027)",
998035709,True,3,15,第一京浜,trunk,50,False,150.212,yes,"LINESTRING (139.7047521 35.5297254, 139.7038689 35.5285816)",
1190290478,True,3,15,第一京浜,trunk,50,False,119.976,yes,"LINESTRING (139.705498 35.5307471, 139.7048208 35.5298195)",
998035709,True,3,15,第一京浜,trunk,50,False,73.985,yes,"LINESTRING (139.7038689 35.5285816, 139.7034523 35.5280091)",
114032371,True,,,,residential,,False,52.943,,"LINESTRING (139.7038689 35.5285816, 139.7039703 35.5285359, 139.7039878 35.528528, 139.7040212 35.5285222, 139.7044271 35.528452)",
899605032,True,3,101,新川通り,secondary,50,False,21.733,,"LINESTRING (139.7024265 35.5266551, 139.7022241 35.5267603)",
1189059452,True,3,15,第一京浜,trunk,50,False,36.53,yes,"LINESTRING (139.7024265 35.5266551, 139.7022717 35.526541, 139.7021266 35.5264352)",
80916740,False,2,,旧東海道,tertiary,30,False,18.863,,"LINESTRING (139.7061772 35.5346031, 139.7062798 35.5346696, 139.7063253 35.5346949, 139.7063444 35.5347041)",
80916746,False,2,,旧東海道,tertiary,30,True,77.315,,"LINESTRING (139.7061772 35.5346031, 139.7060646 35.5345353, 139.7060286 35.5345151, 139.7054765 35.5342053)",
964828229,False,5,409,大師道,trunk,50,False,49.329,yes,"LINESTRING (139.7061772 35.5346031, 139.7062644 35.5345842, 139.7063457 35.5345652, 139.7067017 35.5344822)",
1231266243,False,4,409,大師道,trunk,50,True,71.547,yes,"LINESTRING (139.7061772 35.5346031, 139.7060665 35.5346299, 139.706001 35.5346433, 139.7054112 35.5347623)",
