osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,tunnel,bridge
452993857,146,南箕輪沢渡線,secondary,False,False,3.075,,"LINESTRING (137.9493895 35.8330292, 137.9494128 35.8330494)",,
145485485,153,国道153号,trunk,False,False,197.84699999999998,2,"LINESTRING (137.9500928 35.8267224, 137.9503047 35.8272599, 137.950445 35.827616, 137.9508013 35.828406)",,
865847647,,,unclassified,False,False,25.035,,"LINESTRING (137.9505318 35.8284546, 137.9506746 35.8284412, 137.9508013 35.828406)",,
"[865847648, 145832368, 865847647]",,,unclassified,False,True,100.239,,"LINESTRING (137.9505318 35.8284546, 137.9502233 35.8289981, 137.9500965 35.8292269, 137.9500738 35.8292759)",yes,
145831508,146,南箕輪沢渡線,secondary,False,True,258.16100000000006,,"LINESTRING (137.9514716 35.8346556, 137.9512583 35.8345331, 137.9510748 35.8344157, 137.9508891 35.8342867, 137.9507141 35.8341555, 137.9503741 35.8338826, 137.9500137 35.8335742, 137.9496536 35.8332585, 137.9494128 35.8330494)",,
145832657,,,tertiary,False,False,50.22,2,"LINESTRING (137.9514716 35.8346556, 137.9516773 35.8345035, 137.9517789 35.8344289, 137.951898 35.8343668)",,
145485485,153,国道153号,trunk,False,True,197.847,2,"LINESTRING (137.9508013 35.828406, 137.950445 35.827616, 137.9503047 35.8272599, 137.9500928 35.8267224)",,
452993859,153,国道153号,trunk,False,False,63.849,2,"LINESTRING (137.9508013 35.828406, 137.9510174 35.8287999, 137.9510901 35.8289303)",,
865847647,,,unclassified,False,True,25.035,,"LINESTRING (137.9508013 35.828406, 137.9506746 35.8284412, 137.9505318 35.8284546)",,
145831608,153,国道153号,trunk,False,False,288.334,2,"LINESTRING (137.9510901 35.8289303, 137.9511728 35.8290614, 137.9518705 35.830138, 137.952214 35.8306915, 137.9525415 35.8312407)",,
"[146422288, 145833065, 146422250]",,ナイスロード,tertiary,False,"[False, True]",142.17399999999998,,"LINESTRING (137.9510901 35.8289303, 137.9512163 35.8288885, 137.9525116 35.8284814, 137.9525592 35.8284655)",,yes
452993859,153,国道153号,trunk,False,True,63.849,2,"LINESTRING (137.9510901 35.8289303, 137.9510174 35.8287999, 137.9508013 35.828406)",,
145832368,,,unclassified,False,True,150.847,,"LINESTRING (137.9500738 35.8292759, 137.9494135 35.8305224)",,
145835358,,,unclassified,False,False,148.228,,"LINESTRING (137.9500738 35.8292759, 137.9508211 35.8304633)",,
"[145832368, 865847648, 865847647]",,,unclassified,False,False,100.239,,"LINESTRING (137.9500738 35.8292759, 137.9500965 35.8292269, 137.9502233 35.8289981, 137.9505318 35.8284546)",yes,
145832368,,,unclassified,False,False,150.847,,"LINESTRING (137.9494135 35.8305224, 137.9500738 35.8292759)",,
145835892,,,tertiary,False,True,51.047,,"LINESTRING (137.9494135 35.8305224, 137.949424 35.8305394, 137.9494935 35.8306516, 137.9495851 35.8307995, 137.9495936 35.8308131, 137.9496687 35.8309322)",,
145835358,,,unclassified,False,True,148.228,,"LINESTRING (137.9508211 35.8304633, 137.9500738 35.8292759)",,
434974875,,,unclassified,False,False,84.268,,"LINESTRING (137.9508211 35.8304633, 137.9516538 35.830119)",,
434974875,,,unclassified,False,True,116.24,,"LINESTRING (137.9508211 35.8304633, 137.9496687 35.8309322)",,
145835358,,,unclassified,False,False,141.696,,"LINESTRING (137.9508211 35.8304633, 137.9508922 35.8305737, 137.9511496 35.8309732, 137.9513145 35.8312291, 137.9515488 35.8315928)",,
323252179,,,tertiary,False,True,97.682,,"LINESTRING (137.9515488 35.8315928, 137.9525415 35.8312407)",,
