osmid,highway,oneway,reversed,length,lanes,ref,name,access,geometry,bridge
110252162,unclassified,False,False,36.515,,,,,"LINESTRING (138.8026861 35.4906511, 138.8023304 35.4908059)",
110252410,trunk,False,False,10.836,2,139,富士みち,yes,"LINESTRING (138.8026861 35.4906511, 138.8026368 35.4905623)",
110252410,trunk,False,True,47.536,2,139,富士みち,yes,"LINESTRING (138.8026861 35.4906511, 138.8028621 35.4909356, 138.8029223 35.4910329)",
93879231,unclassified,False,False,10.16,,,,,"LINESTRING (138.8026523 35.4853633, 138.8027008 35.4854457)",
93879231,unclassified,False,False,76.467,,,,,"LINESTRING (138.8047852 35.4890628, 138.8051359 35.4896884)",
110253607,tertiary,False,False,64.837,2,,中央通り (Chuo-dori),,"LINESTRING (138.8047852 35.4890628, 138.8054373 35.4888218)",
93879231,unclassified,False,True,132.363,,,,,"LINESTRING (138.8047852 35.4890628, 138.80431 35.4882444, 138.8041566 35.4879881)",
"[110252914, 110252422, 110253607]",tertiary,False,True,180.11599999999999,2,,中央通り (Chuo-dori),,"LINESTRING (138.8047852 35.4890628, 138.8041913 35.4892771, 138.8040589 35.4893205, 138.803653 35.489459, 138.8035707 35.4894921, 138.8035102 35.4895292, 138.8032078 35.489725, 138.8030361 35.4898133)",yes
110252895,secondary,True,False,32.266,1,717,山中湖忍野富士吉田線,,"LINESTRING (138.8050369 35.4841962, 138.8047531 35.4843717)",
110253663,tertiary,False,True,10.888,2,,,,"LINESTRING (138.8050369 35.4841962, 138.8050865 35.4842854)",
110253607,tertiary,False,False,188.474,2,,中央通り (Chuo-dori),,"LINESTRING (138.8071744 35.4880067, 138.8089591 35.4871342)",
110253663,tertiary,False,False,126.679,2,,,,"LINESTRING (138.8071744 35.4880067, 138.8065836 35.486974)",
110253663,tertiary,False,True,65.424,2,,,,"LINESTRING (138.8071744 35.4880067, 138.8074882 35.4885367)",
110253607,tertiary,False,True,181.529,2,,中央通り (Chuo-dori),,"LINESTRING (138.8071744 35.4880067, 138.806187 35.4884615, 138.8054373 35.4888218)",
110252422,tertiary,False,False,69.414,2,,中央通り (Chuo-dori),,"LINESTRING (138.8023492 35.4900906, 138.8030361 35.4898133)",
110252410,trunk,False,True,58.572,2,139,富士みち,yes,"LINESTRING (138.8023492 35.4900906, 138.8025658 35.4904344, 138.8026368 35.4905623)",
99192594,residential,False,False,112.848,,,,,"LINESTRING (138.8030361 35.4898133, 138.8024926 35.4889)",
110252422,tertiary,False,True,69.414,2,,中央通り (Chuo-dori),,"LINESTRING (138.8030361 35.4898133, 138.8023492 35.4900906)",
99192594,residential,False,True,58.994,,,,,"LINESTRING (138.8030361 35.4898133, 138.803124 35.4899485, 138.8033314 35.4902862)",
