osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,access,maxspeed,bridge
39625232,2,174,安吉松任線,secondary,False,True,19.078,"LINESTRING (136.5689382 36.5112481, 136.5689584 36.5114189)",,,
619324397,3,8,国道8号,trunk,True,False,80.421,"LINESTRING (136.5689382 36.5112481, 136.5682111 36.510822)",,,
39625232,2,174,安吉松任線,secondary,False,False,128.791,"LINESTRING (136.5689382 36.5112481, 136.5688803 36.5108078, 136.5688729 36.5107502, 136.5688501 36.5105741, 136.5687728 36.5100976)",,,
276151616,,,,unclassified,False,False,7.205,"LINESTRING (136.5676433 36.5181591, 136.5675997 36.5181046)",,,
39625226,2,,,tertiary,False,False,106.60000000000001,"LINESTRING (136.5676433 36.5181591, 136.568207 36.5174535, 136.5682808 36.517349)",permissive,,
39625232,2,174,安吉松任線,secondary,False,False,19.078,"LINESTRING (136.5689584 36.5114189, 136.5689382 36.5112481)",,,
39625232,2,174,安吉松任線,secondary,False,True,83.918,"LINESTRING (136.5689584 36.5114189, 136.5690125 36.5118413, 136.5690421 36.5121705)",,,
709185423,2,8,国道8号,trunk,True,False,117.593,"LINESTRING (136.5689584 36.5114189, 136.569414 36.5116941, 136.5700022 36.5120627)",,,
61144238,2,,,tertiary,True,False,19.592,"LINESTRING (136.5639251 36.5105169, 136.563903 36.5103416)",,60,
277994358,,,,unclassified,False,False,11.564,"LINESTRING (136.5639251 36.5105169, 136.5637964 36.5105276)",,,
277552824,,,,unclassified,False,False,49.444,"LINESTRING (136.5708972 36.5182229, 136.5703445 36.5182024)",,,
277552824,,,,unclassified,False,True,44.413,"LINESTRING (136.5708972 36.5182229, 136.5713923 36.5182577)",,,
277559658,,,,unclassified,False,False,32.614,"LINESTRING (136.5708972 36.5182229, 136.5709138 36.5179299)",permissive,,
277552824,,,,unclassified,False,False,49.95,"LINESTRING (136.5698086 36.5181766, 136.5692506 36.5181504)",,,
277552824,,,,unclassified,False,True,47.976,"LINESTRING (136.5698086 36.5181766, 136.5703445 36.5182024)",,,
277559720,,,,unclassified,False,False,34.82,"LINESTRING (136.5698086 36.5181766, 136.5698315 36.517864)",,,
374897809,2,174,安吉松任線,secondary,False,True,8.68,"LINESTRING (136.5692782 36.5154035, 136.5693591 36.5154467)",permissive,,
766194116,2,174,安吉松任線,secondary,False,False,32.649,"LINESTRING (136.5692782 36.5154035, 136.5694203 36.515133)",permissive,,
39625226,2,,,tertiary,False,True,53.923,"LINESTRING (136.5692782 36.5154035, 136.5691551 36.5155636, 136.569095 36.5156698, 136.569005 36.5158347)",permissive,,
374821424,2,,,unclassified,False,False,41.027,"LINESTRING (136.5700686 36.5144687, 136.5702362 36.5141252)",permissive,,
374821836,2,,,unclassified,False,True,45.395,"LINESTRING (136.5700686 36.5144687, 136.5705739 36.5145104)",permissive,,
374821369,2,,,residential,False,True,27.316,"LINESTRING (136.5700686 36.5144687, 136.5700395 36.5146234, 136.5700199 36.5147112)",permissive,,
"[711051892, 374821836, 711051893]",2,,,unclassified,False,False,56.298,"LINESTRING (136.5700686 36.5144687, 136.5696574 36.5144407, 136.5695861 36.5144358, 136.5694409 36.5144259)",permissive,,yes
374821424,2,,,unclassified,False,False,8.566,"LINESTRING (136.5702362 36.5141252, 136.5702657 36.5140519)",permissive,,
374821424,2,,,unclassified,False,True,41.027,"LINESTRING (136.5702362 36.5141252, 136.5700686 36.5144687)",permissive,,
277793997,,,,unclassified,False,False,63.522999999999996,"LINESTRING (136.5702362 36.5141252, 136.5703376 36.5141368, 136.5709457 36.5141516)",,,
374821292,2,,,tertiary,False,False,18.685,"LINESTRING (136.5702724 36.5135994, 136.5704802 36.5135809)",permissive,,
374821424,2,,,unclassified,False,True,39.654,"LINESTRING (136.5702724 36.5135994, 136.5702683 36.513956)",permissive,,
"[711051888, 711051889, 368740991]",,,,unclassified,False,True,81.146,"LINESTRING (136.5702724 36.5135994, 136.5700577 36.5135939, 136.5699086 36.5135966, 136.569843 36.5135968, 136.5696665 36.5136132, 136.5693759 36.5136755)",,,yes
183573774,,,,unclassified,False,False,122.29599999999999,"LINESTRING (136.5670692 36.5103302, 136.5670783 36.5104141, 136.5672121 36.511424)",,,
709185423,2,8,国道8号,trunk,True,False,130.482,"LINESTRING (136.5670692 36.5103302, 136.5676385 36.5106262, 136.5679228 36.510774, 136.5682666 36.510999)",,,
183573648,2,,,unclassified,False,False,11.265,"LINESTRING (136.563903 36.5103416, 136.5637776 36.5103518)",permissive,,
61144238,2,,,tertiary,True,False,54.692,"LINESTRING (136.563903 36.5103416, 136.5638586 36.5100924, 136.5637553 36.5098671)",,60,
183573648,2,,,unclassified,False,True,11.265,"LINESTRING (136.5637776 36.5103518, 136.563903 36.5103416)",permissive,,
369018255,2,,,tertiary,True,False,19.62,"LINESTRING (136.5637776 36.5103518, 136.5637964 36.5105276)",,60,
369018255,2,,,tertiary,True,False,101.322,"LINESTRING (136.5638341 36.510785, 136.5639467 36.5116917)",,60,
369096400,,,,unclassified,False,True,11.906,"LINESTRING (136.5638341 36.510785, 136.5639669 36.5107765)",permissive,,
183573679,,,,unclassified,False,True,37.194,"LINESTRING (136.5682666 36.510999, 136.5682764 36.5113334)",,,
709185423,2,8,国道8号,trunk,True,False,77.519,"LINESTRING (136.5682666 36.510999, 136.5682951 36.5110177, 136.5687734 36.5112947, 136.5689584 36.5114189)",,,
183573650,,,,unclassified,False,False,138.464,"LINESTRING (136.5682764 36.5113334, 136.5684361 36.512572)",,,
183573679,,,,unclassified,False,False,37.194,"LINESTRING (136.5682764 36.5113334, 136.5682666 36.510999)",,,
183573792,,,,unclassified,False,True,47.372,"LINESTRING (136.5682764 36.5113334, 136.5677493 36.5113783)",permissive,,
183573792,,,,unclassified,False,False,47.372,"LINESTRING (136.5677493 36.5113783, 136.5682764 36.5113334)",permissive,,
183573792,,,,unclassified,False,True,48.279,"LINESTRING (136.5677493 36.5113783, 136.5672121 36.511424)",permissive,,
