osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,name,tunnel,bridge
129619796,residential,False,False,40.293,,,"LINESTRING (136.0780336 35.6474954, 136.0781477 35.6471451)",,,,
193148640,unclassified,False,True,56.929,,,"LINESTRING (136.0780336 35.6474954, 136.0778895 35.6479938)",,,,
31060414,tertiary,False,False,71.646,2,40,"LINESTRING (136.0780336 35.6474954, 136.0774877 35.6473819, 136.0772671 35.6473307)",,,,
31060414,tertiary,False,False,24.079,2,40,"LINESTRING (136.0759463 35.6463952, 136.0757495 35.6462492)",,,,
31060414,tertiary,False,True,26.182,2,40,"LINESTRING (136.0759463 35.6463952, 136.0761548 35.6465587)",,,,
523800020,unclassified,False,False,24.08,,,"LINESTRING (136.0759463 35.6463952, 136.0761344 35.6462418)",,,,
31060414,tertiary,False,True,24.079,2,40,"LINESTRING (136.0757495 35.6462492, 136.0759463 35.6463952)",,,,
168950181,unclassified,False,False,36.763,,,"LINESTRING (136.0757495 35.6462492, 136.0754031 35.6464226)",,,,
31060414,tertiary,False,False,62.468,2,40,"LINESTRING (136.0757495 35.6462492, 136.0753412 35.6459258, 136.0752745 35.6458436)",,,,
34588406,unclassified,False,False,55.005,,,"LINESTRING (136.0745621 35.6481171, 136.073958 35.6481781)",,,,
193132831,tertiary,False,True,95.892,2,,"LINESTRING (136.0745621 35.6481171, 136.0743401 35.6472738)",,,,
194047005,unclassified,False,False,55.246,,,"LINESTRING (136.0745621 35.6481171, 136.0751689 35.6480562)",,,,
193132831,tertiary,False,False,98.356,2,,"LINESTRING (136.0745621 35.6481171, 136.0747688 35.6489106, 136.0747879 35.6489824)",,,,
34588406,unclassified,False,True,55.005,,,"LINESTRING (136.073958 35.6481781, 136.0745621 35.6481171)",,,,
193144389,unclassified,False,True,92.085,,,"LINESTRING (136.073958 35.6481781, 136.0729484 35.648291)",,,,
193144390,unclassified,False,False,31.529,,,"LINESTRING (136.073958 35.6481781, 136.0740342 35.6484548)",,,,
193144390,unclassified,False,True,104.331,,,"LINESTRING (136.073958 35.6481781, 136.073717 35.6472605)",,,,
129654512,unclassified,False,False,46.007,2,,"LINESTRING (136.0752857 35.6489278, 136.0757904 35.6488731)",,,,
193143060,unclassified,False,False,49.695,,,"LINESTRING (136.0752857 35.6489278, 136.075223 35.6484838)",,,,
129654512,unclassified,False,True,45.388,2,,"LINESTRING (136.0752857 35.6489278, 136.0748898 35.6489715, 136.0747879 35.6489824)",,,,
193143060,unclassified,False,False,49.709,,,"LINESTRING (136.0751689 35.6480562, 136.075108 35.6476119)",,,,
193143060,unclassified,False,True,47.798,,,"LINESTRING (136.0751689 35.6480562, 136.075223 35.6484838)",,,,
193143063,unclassified,False,False,81.2,,,"LINESTRING (136.0751689 35.6480562, 136.0760617 35.6479731)",,,,
194047005,unclassified,False,True,55.246,,,"LINESTRING (136.0751689 35.6480562, 136.0745621 35.6481171)",,,,
193143063,unclassified,False,True,56.723,,,"LINESTRING (136.0772867 35.6478574, 136.0766635 35.6479187)",,,,
129654528,tertiary,False,False,58.922,2,40,"LINESTRING (136.0772867 35.6478574, 136.0772478 35.6475427, 136.0772454 35.6474268, 136.0772671 35.6473307)",,,,
129654528,tertiary,False,True,94.285,2,40,"LINESTRING (136.0772867 35.6478574, 136.077382 35.6485183, 136.0774107 35.6486993)",,,,
