osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,area
89533010,True,2,UM-04,3 Македонска Ударна Бригада,tertiary,False,3.14,,"LINESTRING (21.7156802 42.1327244, 21.7157011 42.1327008)",
279793709,False,2,,Народна Револуција,tertiary,True,13.221,40,"LINESTRING (21.7185788 42.1316373, 21.7185995 42.1317552)",
144070480,False,,,Тодор В.,residential,False,221.397,,"LINESTRING (21.7145081 42.1378769, 21.7148931 42.1379331, 21.7151965 42.1379425, 21.7152785 42.1379559, 21.7153428 42.1379942, 21.7154584 42.138072, 21.7156447 42.1382093, 21.7157085 42.1382354, 21.7157564 42.1382503, 21.7158786 42.1382459, 21.7164536 42.1382078, 21.7170307 42.1381699)",
173765013,False,,,,tertiary,True,70.38,,"LINESTRING (21.7145081 42.1378769, 21.7144936 42.1377981, 21.7144623 42.1376778, 21.7144075 42.1375189, 21.71436 42.1373809, 21.7142841 42.1372699)",
180379578,False,2,R1104,11-ти Октомври,secondary,True,18.158,40,"LINESTRING (21.7142841 42.1372699, 21.7140643 42.1372799)",
173765013,False,,,,tertiary,False,70.38,,"LINESTRING (21.7142841 42.1372699, 21.71436 42.1373809, 21.7144075 42.1375189, 21.7144623 42.1376778, 21.7144936 42.1377981, 21.7145081 42.1378769)",
180379578,False,2,R1104,11-ти Октомври,secondary,False,141.426,40,"LINESTRING (21.7142841 42.1372699, 21.7148993 42.1372278, 21.7155184 42.1371749, 21.7159854 42.137114)",
152435418,False,,,,residential,False,54.047,,"LINESTRING (21.7174044 42.1321596, 21.7171861 42.1317013)",
1229023544,True,2,R1104,3 Македонска Ударна Бригада,tertiary,False,112.92399999999999,,"LINESTRING (21.7174044 42.1321596, 21.7177117 42.1320252, 21.7185788 42.1316373)",
89533010,True,2,UM-04,3 Македонска Ударна Бригада,tertiary,False,10.267,,"LINESTRING (21.7156808 42.1328162, 21.7156738 42.1327687, 21.7156802 42.1327244)",
