osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access,ref,junction
34020751,True,2,Димитар Влахов,tertiary,False,53.545,"LINESTRING (20.8060427 41.1127369, 20.8054423 41.112902)",,,,
34020751,True,2,Димитар Влахов,tertiary,False,119.392,"LINESTRING (20.8054423 41.112902, 20.8048771 41.1131067, 20.8046503 41.1131889, 20.8041582 41.1133677)",,,,
270932031,True,2,Македонски просветители,tertiary,False,113.251,"LINESTRING (20.8006933 41.1145337, 20.8006526 41.1144296, 20.8006232 41.1143544, 20.8004209 41.1138367, 20.8003656 41.1136953, 20.8003454 41.1136437, 20.8003147 41.113556)",,,,
441983177,False,,Македонски просветители,tertiary,True,168.42700000000002,"LINESTRING (20.8006933 41.1145337, 20.8007982 41.1147588, 20.8009278 41.1150819, 20.8012911 41.1159797)",,,,
34020751,True,2,Димитар Влахов,tertiary,False,45.282,"LINESTRING (20.8025144 41.1140799, 20.8020954 41.1142618, 20.8020422 41.1142771)",,,,
1111265687,False,,Димитар Влахов,residential,False,133.921,"LINESTRING (20.8025144 41.1140799, 20.8025363 41.1141136, 20.8027798 41.1144973, 20.8029703 41.1147975, 20.8030997 41.1150058, 20.8028847 41.1150816)",,,,
34020751,True,2,Димитар Влахов,tertiary,False,93.37,"LINESTRING (20.8034736 41.1136523, 20.8025144 41.1140799)",,,,
238134226,True,,Кузман Јосифовски Питу,residential,False,121.337,"LINESTRING (20.8034736 41.1136523, 20.8026241 41.1127685)",20,permissive,,
34021529,False,,Климентов Универзитет,residential,False,92.32100000000001,"LINESTRING (20.8002792 41.1151405, 20.8002383 41.115126, 20.8001982 41.1151008, 20.8001531 41.1150653, 20.8001171 41.1150257, 20.800073 41.11496, 20.8000192 41.1148523, 20.7999651 41.1147452, 20.799882 41.1146274, 20.7998099 41.1145421, 20.7997146 41.1144436)",,,,
451744962,False,,Цар Самоил,residential,True,2.336,"LINESTRING (20.7990196 41.1128229, 20.7990451 41.1128314)",,,,
34093880,False,,,residential,True,125.48,"LINESTRING (20.7990196 41.1128229, 20.7990242 41.1128508, 20.7989764 41.1129338, 20.7989371 41.1129867, 20.7989307 41.1130051, 20.7989231 41.1130268, 20.7989245 41.1130787, 20.7989455 41.11314, 20.7990003 41.1132331, 20.7990676 41.1133536, 20.7991252 41.1134467, 20.7991575 41.1135165, 20.7991785 41.1135789, 20.7991884 41.1136529, 20.799187 41.1137438, 20.7991813 41.1138538, 20.7991814 41.1138974)",,,,
