osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,width,maxspeed,junction
83209494,True,2,33087,Trg bana Josipa Jelačića,tertiary,False,11.187000000000001,"LINESTRING (16.0881975 45.3425771, 16.0881491 45.3425688, 16.088109 45.3425569, 16.0880671 45.342538)",,,
892769944,False,2,D37,Hrvatska ulica,primary,False,91.528,"LINESTRING (16.0881975 45.3425771, 16.0881958 45.3425502, 16.0882018 45.3425243, 16.0882102 45.3424993, 16.0882229 45.3424767, 16.0882404 45.3424557, 16.0882739 45.3424237, 16.0885938 45.3421011, 16.0888077 45.3418857)",,,
"[892769946, 941449894]",False,2,D37,Hrvatska ulica,primary,False,87.71700000000001,"LINESTRING (16.0906746 45.3400231, 16.090727 45.3399684, 16.090993 45.3396883, 16.0911278 45.33954, 16.0912401 45.3394164, 16.0912867 45.339362)",,,
892769946,False,2,D37,Hrvatska ulica,primary,True,142.007,"LINESTRING (16.0906746 45.3400231, 16.0906141 45.3400788, 16.090324 45.3403757, 16.0901563 45.3405472, 16.0896985 45.3410041, 16.0896314 45.3410686)",,,
"[941449889, 941449890, 941449891, 935311309, 935311310]",True,"['1', '2']",,Ulica Ante Kovačića,residential,False,97.58000000000001,"LINESTRING (16.0906746 45.3400231, 16.0906013 45.3399871, 16.090517 45.3399466, 16.0902532 45.3398382, 16.0900923 45.3397628, 16.0899548 45.3396984, 16.0896989 45.3395785, 16.0896273 45.339546)",,,
39177457,True,1,,Zagrebačka ulica,residential,False,118.191,"LINESTRING (16.0912867 45.339362, 16.0913923 45.3394192, 16.0916864 45.3395449, 16.0920165 45.3396904, 16.0925648 45.3399292)",,,
"[941449892, 941449893]",False,2,D37,Hrvatska ulica,primary,False,69.912,"LINESTRING (16.0912867 45.339362, 16.091333 45.3393181, 16.0914592 45.3391722, 16.0917067 45.3388863, 16.0917605 45.338829)",,,
"[892769946, 941449894]",False,2,D37,Hrvatska ulica,primary,True,87.717,"LINESTRING (16.0912867 45.339362, 16.0912401 45.3394164, 16.0911278 45.33954, 16.090993 45.3396883, 16.090727 45.3399684, 16.0906746 45.3400231)",,,
39177446,False,2,,Radnička ulica,residential,False,125.986,"LINESTRING (16.0917605 45.338829, 16.0918392 45.3388638, 16.0924672 45.3391345, 16.0929151 45.3393287, 16.0931371 45.3394183)",5.4,,
122750416,False,2,D37,Ulica žrtava Domovinskog rata,primary,False,202.14600000000002,"LINESTRING (16.0917605 45.338829, 16.0918098 45.3387797, 16.0921906 45.3384333, 16.0925674 45.3380905, 16.0933419 45.3373906)",7.5,,
940014211,False,2,,Trg doktora Franje Tuđmana,residential,True,57.285,"LINESTRING (16.0917605 45.338829, 16.091685 45.3387967, 16.0916585 45.3387841, 16.0914134 45.3386561, 16.0911703 45.3385241)",,,
"[941449892, 941449893]",False,2,D37,Hrvatska ulica,primary,True,69.91199999999999,"LINESTRING (16.0917605 45.338829, 16.0917067 45.3388863, 16.0914592 45.3391722, 16.091333 45.3393181, 16.0912867 45.339362)",,,
40067825,False,2,,Trg bana Josipa Jelačića,residential,True,93.85499999999999,"LINESTRING (16.0896314 45.3410686, 16.0895656 45.3410381, 16.0895316 45.3410212, 16.0887277 45.3406252, 16.0886499 45.3405825)",,,
"[894410482, 88686014]",False,2,,"['Majska ulica', 'Trg bana Josipa Jelačića']",residential,False,73.85000000000001,"LINESTRING (16.0896314 45.3410686, 16.0896928 45.3410955, 16.0897226 45.3411086, 16.0900113 45.3412527, 16.0902792 45.3413842, 16.0903255 45.3414148, 16.090355 45.3414372, 16.0903835 45.3414657)",,,
892769944,False,2,D37,Hrvatska ulica,primary,True,111.35300000000001,"LINESTRING (16.0896314 45.3410686, 16.0895744 45.3411242, 16.0888077 45.3418857)",,,
