osmid,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry,junction,ref
"[148848372, 148848373, 145481822]",Ulica Josipa Milakovića,residential,5,False,True,25.085,yes,1,"LINESTRING (15.7117774 45.8019922, 15.7118032 45.801968, 15.7119186 45.8018888, 15.7120101 45.8018364)",,
"[657268154, 657268156]",Ulica Miroslava Krleže,tertiary,,False,True,37.896,,,"LINESTRING (15.7121164 45.8052613, 15.7122225 45.8052167, 15.7125442 45.8050965)",,
144649439,Ulica Miroslava Krleže,tertiary,,False,False,54.273,,,"LINESTRING (15.7131371 45.8048392, 15.7130454 45.8048929, 15.7126784 45.8050487, 15.7125442 45.8050965)",,
757054882,,secondary,,True,False,18.052,,1,"LINESTRING (15.7131371 45.8048392, 15.7131103 45.8048126, 15.7130979 45.8047813, 15.7131013 45.804749, 15.7131201 45.8047193, 15.7131522 45.8046957)",roundabout,
757054882,,secondary,,True,False,20.227,,1,"LINESTRING (15.7133246 45.8047012, 15.7133519 45.8047248, 15.7133672 45.8047532, 15.7133689 45.8047835, 15.7133568 45.8048126, 15.7133321 45.8048376, 15.7132975 45.8048559)",roundabout,
"[89343448, 551262378, 807755587, 89343451]",Ulica Josipa Kompare,tertiary,40,False,True,226.713,yes,,"LINESTRING (15.7133246 45.8047012, 15.7133912 45.8046464, 15.7134742 45.8045657, 15.7135638 45.8044521, 15.7136443 45.8043064, 15.7136748 45.8042389, 15.7137532 45.8040656, 15.7139139 45.8036463, 15.7139851 45.8034865, 15.7140141 45.8034295, 15.7140626 45.8033361, 15.714203 45.803075, 15.7142151 45.8030549, 15.7142326 45.8030263, 15.7142941 45.8029272, 15.7143646 45.8028083)",,
89343449,Ulica Milana Reizera,residential,,False,False,39.852999999999994,,,"LINESTRING (15.7144456 45.8060622, 15.7143665 45.8060941, 15.7143696 45.8061764, 15.7143727 45.8062568, 15.7144007 45.8063873)",,
298260687,Ulica Ljudevita Gaja,secondary,50,False,False,85.911,,2,"LINESTRING (15.7144456 45.8060622, 15.7145774 45.8061548, 15.7147113 45.8062331, 15.7148241 45.806293, 15.7149062 45.8063341, 15.7150484 45.8063967, 15.7152062 45.8064614, 15.7153417 45.8065099)",,
298260687,Ulica Ljudevita Gaja,secondary,50,False,True,66.392,,2,"LINESTRING (15.7144456 45.8060622, 15.7143646 45.805993, 15.7140803 45.8056826, 15.7139759 45.8055636)",,
105625579,Zagrebačka ulica,secondary,,False,False,73.54499999999999,,,"LINESTRING (15.7216728 45.8054685, 15.7212332 45.8052843, 15.7208721 45.8051141)",,
979331950,Zagrebačka ulica,secondary,,False,True,46.160000000000004,,,"LINESTRING (15.7216728 45.8054685, 15.7219413 45.8055574, 15.7220912 45.8055962, 15.7222236 45.8056242)",,
1218553601,Ulica Nikole Šubića Zrinskog,secondary,,False,False,53.446,,,"LINESTRING (15.7216728 45.8054685, 15.7215789 45.8055404, 15.7211891 45.8058109)",,
107168011,Zagrebačka ulica,tertiary,,False,False,28.978,,,"LINESTRING (15.7197835 45.8045436, 15.7196461 45.8044758, 15.7194773 45.8043941)",,
