osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width
46963349,False,2,D5,Ulica Ivana Gundulića,primary,50,True,74.119,"LINESTRING (17.2181783 45.5962747, 17.2182389 45.5962964, 17.2183091 45.5963014, 17.2191231 45.5963014)",,
46963350,False,3,D5,Ulica Ljudevita Gaja,primary,50,False,186.431,"LINESTRING (17.2181783 45.5962747, 17.2181435 45.5962388, 17.2181293 45.5961762, 17.2181279 45.596079, 17.2181308 45.5959035, 17.2182177 45.5946078)",,
1225664574,False,,,Ulica Tomaše Garika Masaryka,residential,,False,124.542,"LINESTRING (17.2182177 45.5946078, 17.2198164 45.5946632)",,
46963350,False,3,D5,Ulica Ljudevita Gaja,primary,50,False,205.88400000000001,"LINESTRING (17.2182177 45.5946078, 17.2182827 45.5935558, 17.2183125 45.5927575)",,
46963350,False,3,D5,Ulica Ljudevita Gaja,primary,50,True,186.431,"LINESTRING (17.2182177 45.5946078, 17.2181308 45.5959035, 17.2181279 45.596079, 17.2181293 45.5961762, 17.2181435 45.5962388, 17.2181783 45.5962747)",,
"[94022112, 1260708053, 162134967]",False,2,,"['Ulica Krste Frankopana', 'Trg kralja Tomislava']",residential,30,"[False, True]",231.89399999999998,"LINESTRING (17.2237564 45.5927968, 17.2247986 45.5926279, 17.2251561 45.5925667, 17.2251903 45.5925617, 17.2255966 45.5924893, 17.2258193 45.5924387, 17.2261733 45.5923471, 17.2263437 45.5922947, 17.2266084 45.5922109)",yes,
"[94022112, 1236917123]",False,2,,"['Ulica Josipa Jelačića', 'Trg kralja Tomislava']",residential,30,True,92.445,"LINESTRING (17.2237564 45.5927968, 17.2235702 45.5928291, 17.2234325 45.5928501, 17.2232232 45.5928689, 17.2229819 45.5928819, 17.2225799 45.5928926)",,
"[785834398, 143265351]",True,1,,"['Trg kralja Tomislava', 'Ulica Stjepana Radića']","['living_street', 'residential']",,False,180.435,"LINESTRING (17.2237564 45.5927968, 17.2237435 45.5927243, 17.2236206 45.5920352, 17.2234957 45.5911845)",,
72286872,False,,,Ulica Petra Zrinskog,residential,,True,146.065,"LINESTRING (17.2240132 45.5883315, 17.2240702 45.5889431, 17.2240996 45.5890553, 17.2241331 45.5891832, 17.2241955 45.5896377)",,4
"[94255844, 1196887533, 1196887534, 1196887535, 94255865]",False,,,Kolodvorska ulica,residential,,True,285.094,"LINESTRING (17.2240132 45.5883315, 17.2243901 45.5883637, 17.2245847 45.5883913, 17.2247487 45.5884317, 17.2248947 45.5884735, 17.2251708 45.5885761, 17.2253694 45.5886779, 17.2256457 45.5888488, 17.2257505 45.5889563, 17.2257964 45.5890218, 17.2258913 45.5893148, 17.2259064 45.5893616, 17.2259784 45.5895805, 17.2260367 45.5898378, 17.226073 45.5900779)",yes,
72286862,True,,,Ulica Petra Zrinskog,residential,,False,80.176,"LINESTRING (17.22429 45.5903557, 17.2241955 45.5896377)",,4
143265346,False,,,Ulica Petra Preradovića,residential,,False,36.914,"LINESTRING (17.22429 45.5903557, 17.2247636 45.5903364)",,
143265346,False,,,Ulica Petra Preradovića,residential,,True,70.481,"LINESTRING (17.22429 45.5903557, 17.2233845 45.5903714)",,
