osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,junction,bridge
173579015,2,D44,primary,50,False,False,244.454,"LINESTRING (13.9647623 45.4066715, 13.9648718 45.4067027, 13.9649858 45.4067368, 13.9651508 45.4068053, 13.965351 45.4068988, 13.9656153 45.407084, 13.9658287 45.407281, 13.9659125 45.4073802, 13.9659827 45.407485, 13.966438 45.4084159)",,,
173579015,2,D44,primary,50,False,True,209.326,"LINESTRING (13.9647623 45.4066715, 13.9644706 45.4066257, 13.9640504 45.4066057, 13.963366 45.4065867, 13.9631636 45.4065762, 13.9629838 45.4065361, 13.9627903 45.4064817, 13.9626139 45.4064032, 13.962466 45.4063178, 13.9622581 45.4061904)",,,
731877079,2,D44,primary,50,False,True,19.541,"LINESTRING (13.9691208 45.4100135, 13.9692875 45.4101446)",Riječka ulica,,
121115902,,,residential,,False,False,10.068999999999999,"LINESTRING (13.9691208 45.4100135, 13.9690637 45.4100465, 13.9690208 45.4100707)",Sportska ulica,,
731877079,2,D44,primary,50,False,False,108.609,"LINESTRING (13.9691208 45.4100135, 13.9684254 45.4094926, 13.9683114 45.4094167, 13.9681632 45.4093302, 13.9681443 45.4093192)",Riječka ulica,,
202591852,2,,residential,50,False,False,164.31799999999998,"LINESTRING (13.9614006 45.4114078, 13.9615153 45.4112241, 13.9616641 45.4110759, 13.9619314 45.4108881, 13.9620668 45.4107422, 13.962312 45.4103964, 13.962403 45.4101341)",,,
121115905,,,residential,,False,False,83.15799999999999,"LINESTRING (13.962403 45.4101341, 13.9626339 45.4104186, 13.9628334 45.410815)",Naselje Goričica,,
"[202591852, 1097545036]",2,,residential,50,False,False,190.817,"LINESTRING (13.962403 45.4101341, 13.9623446 45.4099128, 13.9622069 45.4094505, 13.9621676 45.4090648, 13.9621827 45.4087228, 13.9622198 45.4084714, 13.9622252 45.4084345)",,,
202591852,2,,residential,50,False,True,164.31799999999998,"LINESTRING (13.962403 45.4101341, 13.962312 45.4103964, 13.9620668 45.4107422, 13.9619314 45.4108881, 13.9616641 45.4110759, 13.9615153 45.4112241, 13.9614006 45.4114078)",,,
175879223,1,,residential,30,True,False,9.815999999999999,"LINESTRING (13.9622477 45.4083215, 13.9622717 45.4083267, 13.9622923 45.4083368, 13.9623075 45.4083509, 13.9623159 45.4083675, 13.9623166 45.4083852)",,roundabout,
175879234,,,residential,,False,False,129.328,"LINESTRING (13.9622477 45.4083215, 13.9622827 45.4082552, 13.9623873 45.408145, 13.9625539 45.4080286, 13.9628305 45.4078821, 13.9634851 45.4075769)",Ulica Frana Flege,,
66390879,,,residential,,False,False,55.562,"LINESTRING (13.965625 45.4084964, 13.9654892 45.4083203, 13.9653172 45.4080463)",Trg Fontana,,
1092433235,1,,residential,,True,False,14.693000000000001,"LINESTRING (13.965625 45.4084964, 13.9657426 45.4085386, 13.9657918 45.4085576)",Trg Fontana,,
30136592,,,residential,,False,False,129.337,"LINESTRING (13.9628291 45.4083995, 13.9633378 45.4082559, 13.9636962 45.4081548, 13.9638095 45.4081598, 13.9643588 45.4079756)",Trg Goričica,,
30136592,,,residential,,False,True,40.3,"LINESTRING (13.9628291 45.4083995, 13.9625801 45.4084131, 13.9623166 45.4083852)",Trg Goričica,,
121115900,,,residential,,False,False,90.945,"LINESTRING (13.9628291 45.4083995, 13.9629544 45.4084976, 13.9632488 45.4089097, 13.9633691 45.4090824, 13.9633949 45.4091098)",Naselje Goričica,,
731867488,,,residential,,False,False,16.212,"LINESTRING (13.9677968 45.4061762, 13.9679268 45.4060625)",Ulica Joakima Rakovca,,
"[321536522, 244464343]",,,residential,,True,False,63.80999999999999,"LINESTRING (13.9677968 45.4061762, 13.9678828 45.4062184, 13.9681848 45.4064061, 13.9682127 45.4064218, 13.9682281 45.4064305, 13.9682735 45.4064307, 13.9683016 45.4064119, 13.9684259 45.4063311)","['Titov trg', 'Ulica Petra Flega']",,
321536080,,,residential,,False,False,216.39600000000002,"LINESTRING (13.968496 45.4063737, 13.9687132 45.4062568, 13.9688769 45.4061899, 13.9691415 45.4064265, 13.9692498 45.4064407, 13.9694735 45.4063424, 13.9695685 45.4064004, 13.9697608 45.4066191, 13.9698863 45.4068206, 13.9699417 45.4069663, 13.9698946 45.4070061, 13.9698081 45.4070528, 13.9697786 45.4071037, 13.9697335 45.407196, 13.9696866 45.4072468)",,,
321536080,,,residential,,False,True,7.237,"LINESTRING (13.968496 45.4063737, 13.9684842 45.4063665, 13.9684259 45.4063311)",,,
"[960200828, 960200830]",,,living_street,,False,False,59.065,"LINESTRING (13.968496 45.4063737, 13.96867 45.4065313, 13.9687291 45.4066038, 13.9688296 45.4067403, 13.9688752 45.4067761, 13.9689377 45.4067917)","['Ulica Ede Nemarnika', 'Trg Vela Šterna']",,
66390912,1,,residential,,True,False,5.211,"LINESTRING (13.9657918 45.4085576, 13.9658251 45.4085557, 13.9658574 45.4085615)",,roundabout,
66390912,1,,residential,,True,False,10.443000000000001,"LINESTRING (13.9657969 45.4086942, 13.9657657 45.4086858, 13.9657402 45.4086706, 13.9657233 45.4086504, 13.9657168 45.4086273)",,roundabout,
121115907,,,residential,,True,False,201.386,"LINESTRING (13.9657969 45.4086942, 13.9657901 45.4087302, 13.9657954 45.4087662, 13.9659481 45.4090092, 13.9659792 45.4090677, 13.9660518 45.4092511, 13.9661043 45.4093999, 13.9662066 45.40976, 13.9663575 45.4103638, 13.9663762 45.4104495)",Ulica II. istarske brigade,,
26714324,1,,residential,50,False,True,11.309000000000001,"LINESTRING (13.9659151 45.4086137, 13.9659382 45.4085959, 13.966012 45.4085381)",,,
66390912,1,,residential,,True,False,15.047999999999998,"LINESTRING (13.9659151 45.4086137, 13.9659153 45.4086363, 13.9659053 45.4086577, 13.9658862 45.4086758, 13.9658598 45.4086887, 13.965829 45.4086951, 13.9657969 45.4086942)",,roundabout,
1092433233,2,,residential,50,False,True,35.924,"LINESTRING (13.966438 45.4084159, 13.966012 45.4085381)",,,
173579015,2,D44,primary,50,False,True,244.45400000000004,"LINESTRING (13.966438 45.4084159, 13.9659827 45.407485, 13.9659125 45.4073802, 13.9658287 45.407281, 13.9656153 45.407084, 13.965351 45.4068988, 13.9651508 45.4068053, 13.9649858 45.4067368, 13.9648718 45.4067027, 13.9647623 45.4066715)",,,
731877079,2,D44,primary,50,False,True,172.53199999999998,"LINESTRING (13.966438 45.4084159, 13.9664899 45.4084939, 13.9665477 45.408572, 13.9667034 45.4087325, 13.9668886 45.4088671, 13.9670713 45.4089623, 13.9671919 45.4090212, 13.9673498 45.4090707, 13.9676992 45.4091679, 13.9680221 45.4092652, 13.9681443 45.4093192)",Riječka ulica,,
85612797,,,residential,,False,True,6.708,"LINESTRING (13.9645045 45.4070617, 13.9644202 45.4070734)",Naselje Verona,,
175879226,1,,residential,,True,False,13.967,"LINESTRING (13.9645045 45.4070617, 13.9645913 45.4070507, 13.964682 45.4070511)",,,
