osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,ref
"[194837724, 26180694]","['2', '3']",Ulica Ante Starčevića,residential,50,False,False,196.031,"LINESTRING (16.3745602 45.4891622, 16.3745431 45.4890524, 16.3745149 45.4888745, 16.3744898 45.4887155, 16.3744319 45.4883634, 16.3742873 45.4874369, 16.3742845 45.4874192, 16.374283 45.48741)",,,
"[26180697, 315961394, 315961395]",2,Trg Ljudevita Posavskog,residential,50,False,False,127.47300000000001,"LINESTRING (16.3745602 45.4891622, 16.3744706 45.489168, 16.3743046 45.4891788, 16.3737722 45.4892134, 16.3736876 45.4892189, 16.3733258 45.4892424, 16.3730554 45.4892599, 16.3729319 45.4892679)",,,
"[194837728, 194837725, 26181061]",2,Ulica Ante Starčevića,residential,,False,True,215.97500000000002,"LINESTRING (16.3745602 45.4891622, 16.3745773 45.4892684, 16.3745823 45.4892995, 16.3746059 45.4894489, 16.3746344 45.4896287, 16.3747922 45.4906253, 16.3748198 45.490783, 16.3748554 45.4909869, 16.3748738 45.491092)",,,
"[315961376, 194837756]","['2', '3']",Ulica Matije Gupca,residential,50,False,True,127.091,"LINESTRING (16.3745602 45.4891622, 16.3747359 45.4891507, 16.3750592 45.4891297, 16.3760204 45.4890673, 16.3761836 45.4890567)",,,
"[315961392, 315961393, 191787275]",2,Trg Ljudevita Posavskog,residential,50,False,False,144.29699999999997,"LINESTRING (16.3729319 45.4892679, 16.3728048 45.4892762, 16.3726016 45.4892894, 16.3720407 45.4893258, 16.3715259 45.4893593, 16.3712646 45.4893763, 16.3712373 45.489378, 16.3710887 45.4893877)",,,
"[26182604, 194837766, 194837767]",2,Ulica Stjepana i Antuna Radića,residential,50,True,False,215.75400000000005,"LINESTRING (16.3729319 45.4892679, 16.3729465 45.4893611, 16.3729568 45.4894276, 16.3730137 45.489795, 16.3731262 45.4905209, 16.3731921 45.4910473, 16.3731982 45.4910989, 16.37321 45.4911983)",,,
"[26180697, 315961394, 315961395]",2,Trg Ljudevita Posavskog,residential,50,False,True,127.47299999999998,"LINESTRING (16.3729319 45.4892679, 16.3730554 45.4892599, 16.3733258 45.4892424, 16.3736876 45.4892189, 16.3737722 45.4892134, 16.3743046 45.4891788, 16.3744706 45.489168, 16.3745602 45.4891622)",,,
"[194837761, 194837762, 191787277]",2,Rimska ulica,residential,40,True,False,214.56600000000003,"LINESTRING (16.3710887 45.4893877, 16.3710795 45.4893215, 16.3710713 45.4892626, 16.3708833 45.4877886, 16.3708589 45.4875394, 16.3708516 45.4874653)",,,
"[315961392, 315961393, 191787275]",2,Trg Ljudevita Posavskog,residential,50,False,True,144.29699999999997,"LINESTRING (16.3710887 45.4893877, 16.3712373 45.489378, 16.3712646 45.4893763, 16.3715259 45.4893593, 16.3720407 45.4893258, 16.3726016 45.4892894, 16.3728048 45.4892762, 16.3729319 45.4892679)",,,
"[194837768, 194837769, 191787289]",2,Ulica Stjepana i Antuna Radića,residential,50,True,False,214.96,"LINESTRING (16.3726324 45.4873462, 16.3726442 45.4874365, 16.3726517 45.4874937, 16.3726623 45.4875602, 16.3726636 45.4875687, 16.3727082 45.4878486, 16.3727509 45.4881169, 16.3729017 45.489065, 16.3729151 45.4891546, 16.372923 45.4892078, 16.3729319 45.4892679)",,,
"[315961362, 315961363, 26181255]",2,Ulica Ivana Kukuljevića Sakcinskog,residential,50,False,True,139.452,"LINESTRING (16.3726324 45.4873462, 16.372489 45.4873558, 16.3720873 45.4873827, 16.3714044 45.4874283, 16.3710109 45.4874542, 16.3709563 45.4874578, 16.3708516 45.4874653)",,,
"[191787272, 967015547]",2,Ulica Ivana Kukuljevića Sakcinskog,residential,50,False,False,107.492,"LINESTRING (16.3726324 45.4873462, 16.3730566 45.4873178, 16.3736948 45.4872729, 16.3739661 45.4872538, 16.3740046 45.4872511)",,,
26180695,3,Trg Republike,residential,,False,False,25.235,"LINESTRING (16.37321 45.4911983, 16.3732179 45.4912679, 16.3732209 45.4912949, 16.3732361 45.4914245)",,,
"[315961346, 26181062, 194837735]",2,Frankopanska ulica,residential,50,False,False,130.231,"LINESTRING (16.37321 45.4911983, 16.3733127 45.4911917, 16.3735019 45.4911796, 16.3735609 45.4911759, 16.3739452 45.4911513, 16.3747315 45.491101, 16.3747908 45.4910973, 16.3748738 45.491092)",,,
40591757,2,Frankopanska ulica,residential,50,False,False,49.367,"LINESTRING (16.37321 45.4911983, 16.3731123 45.4912045, 16.3725793 45.4912386)",,,
"[194837730, 194837731]","['2', '3']",Ulica Franje Lovrića,residential,50,False,False,163.725,"LINESTRING (16.3761565 45.4870975, 16.3761328 45.4870217, 16.3761265 45.4870016, 16.3760546 45.4868228, 16.3759551 45.4866366, 16.3758814 45.4864868, 16.3757568 45.486268, 16.3756109 45.4860293, 16.3755442 45.4859208, 16.3754902 45.4858611, 16.375421 45.4858048, 16.3753445 45.4857557)",,,
"[194837732, 315961351]","['2', '3']",Ulica Franje Lovrića,residential,50,False,True,220.218,"LINESTRING (16.3761565 45.4870975, 16.3761898 45.4872089, 16.3761946 45.4872251, 16.3762883 45.487561, 16.3763524 45.4878421, 16.3763632 45.4879517, 16.3763589 45.4880772, 16.3763499 45.4881948, 16.3763382 45.488304, 16.3763138 45.4884418, 16.3762689 45.4886529, 16.3762597 45.488697, 16.3762146 45.48891, 16.3761836 45.4890567)",,,
"[194837740, 964999492]","['2', '3']",Ulica Ivana Kukuljevića Sakcinskog,residential,50,False,True,115.03099999999999,"LINESTRING (16.3761565 45.4870975, 16.3759027 45.4871158, 16.3758686 45.4871183, 16.375625 45.4871359, 16.3749621 45.4871839, 16.3746887 45.4872037)",,,
"[312984093, 194837742]","['2', '3']",Ulica Ivana Kukuljevića Sakcinskog,residential,,False,False,87.283,"LINESTRING (16.3761565 45.4870975, 16.3762777 45.4870883, 16.3763209 45.4870854, 16.3769113 45.4870422, 16.3772701 45.487016)",,,
"[95469936, 964926570]","['2', '3']",Rimska ulica,residential,40,False,True,59.099000000000004,"LINESTRING (16.3704453 45.4914529, 16.3704372 45.4914713, 16.3704234 45.4915029, 16.3704033 45.4915555, 16.3703847 45.4916189, 16.3703689 45.4916779, 16.3703559 45.4917248, 16.3703534 45.4917375, 16.3703065 45.4919746)",,,
184750988,1,Rimska ulica,residential,40,True,False,30.295,"LINESTRING (16.3704453 45.4914529, 16.3704794 45.4913598, 16.3705077 45.49131, 16.3705435 45.4912661, 16.3705703 45.4912373, 16.3706066 45.4912094)",,,
40591763,2,Ulica Matije Gupca,residential,,False,True,112.514,"LINESTRING (16.3796294 45.4888348, 16.3790114 45.4888746, 16.3781921 45.4889274)",,,
101219090,,Ulica Ivana Meštrovića,residential,,False,True,438.24,"LINESTRING (16.3796294 45.4888348, 16.3796342 45.4887463, 16.3796363 45.4886289, 16.3796169 45.4882719, 16.3795119 45.4879067, 16.3794033 45.4876205, 16.3793539 45.4875365, 16.3792817 45.4874489, 16.3792203 45.4873887, 16.3791534 45.4873437, 16.3790679 45.4873068, 16.378989 45.487294, 16.3786266 45.4872997, 16.3783596 45.4873259, 16.3781214 45.4873475, 16.3780457 45.4873674, 16.3779961 45.4874046, 16.3779815 45.4874511, 16.3779849 45.4875013, 16.3781132 45.4881822, 16.3781404 45.4884437, 16.3781835 45.4888481, 16.3781861 45.4888724, 16.3781921 45.4889274)",,,
"[1215842881, 101219090]",,Ulica Ivana Meštrovića,residential,,False,False,235.589,"LINESTRING (16.3796294 45.4888348, 16.3796134 45.4890053, 16.3795661 45.4892379, 16.3794927 45.4894639, 16.3794149 45.4896508, 16.3793173 45.4898508, 16.3792833 45.4898902, 16.3792278 45.4899177, 16.3791468 45.4899334, 16.3778401 45.4900417)",,,
