osmid,lanes,ref,highway,oneway,reversed,length,bridge,name,geometry,maxspeed,width
"[43558810, 43558422, 43558423]",2,D60,primary,False,False,201.668,yes,"['Ulica sv. Mihovila', 'Most Trilj']","LINESTRING (16.7298165 43.6169385, 16.729646 43.6170236, 16.7284439 43.6176582, 16.7277965 43.618011)",,
59917999,,D220,primary,False,True,101.251,,Kralja Tomislava,"LINESTRING (16.7298165 43.6169385, 16.7299296 43.6170348, 16.7299981 43.6170925, 16.7301192 43.6171728, 16.7304164 43.6173734, 16.7307211 43.6175693)",,
43558423,,D60,primary,False,False,68.59100000000001,,Ulica sv. Mihovila,"LINESTRING (16.7277965 43.618011, 16.7275741 43.6181397, 16.7274711 43.6181817, 16.7273507 43.6182197, 16.7272527 43.6182405, 16.7270389 43.618261)",,
"[43558810, 43558422, 43558423]",2,D60,primary,False,True,201.668,yes,"['Ulica sv. Mihovila', 'Most Trilj']","LINESTRING (16.7277965 43.618011, 16.7284439 43.6176582, 16.729646 43.6170236, 16.7298165 43.6169385)",,
59915106,,6148,secondary,False,True,73.025,,Ulica Poljičke Republike,"LINESTRING (16.7277965 43.618011, 16.7276912 43.6178976, 16.7275625 43.6177595, 16.7273484 43.6174418)",,
43558423,,D60,primary,False,False,43.141,,Ulica sv. Mihovila,"LINESTRING (16.7270389 43.618261, 16.7265047 43.618292)",,
43558423,,D60,primary,False,True,68.59100000000001,,Ulica sv. Mihovila,"LINESTRING (16.7270389 43.618261, 16.7272527 43.6182405, 16.7273507 43.6182197, 16.7274711 43.6181817, 16.7275741 43.6181397, 16.7277965 43.618011)",,
44640560,,,residential,False,False,223.371,,Put Okolišta,"LINESTRING (16.7270389 43.618261, 16.7270935 43.6184178, 16.7271249 43.6185113, 16.7272541 43.6188048, 16.7275008 43.6194102, 16.7277402 43.6199936, 16.7278395 43.6201835)",,
44640560,,,residential,False,True,223.37099999999998,,Put Okolišta,"LINESTRING (16.7278395 43.6201835, 16.7277402 43.6199936, 16.7275008 43.6194102, 16.7272541 43.6188048, 16.7271249 43.6185113, 16.7270935 43.6184178, 16.7270389 43.618261)",,
59913172,,,residential,False,False,57.175,,Ulica Ante Starčevića,"LINESTRING (16.7242144 43.6180402, 16.7244516 43.6179833, 16.7248907 43.6178832)",,
59913172,,,residential,False,True,45.586,,Ulica Ante Starčevića,"LINESTRING (16.7242144 43.6180402, 16.7238392 43.6181319, 16.7236793 43.6181743)",,
59914373,,,residential,False,True,80.754,,Ulica Augusta Šenoe,"LINESTRING (16.7242144 43.6180402, 16.724456 43.6184622, 16.7246395 43.6186966)",,
