osmid,oneway,highway,reversed,length,geometry,name,junction,maxspeed
554734325,True,trunk,False,23.149,"LINESTRING (10.3380393 36.728067, 10.3379939 36.7281179, 10.3379691 36.7281481, 10.3379403 36.7282014, 10.3379261 36.7282515)",,,
28146663,False,residential,True,62.828,"LINESTRING (10.332319 36.7345517, 10.3319647 36.7340632)",نهج العربي زروق,,
104446982,False,tertiary,False,107.705,"LINESTRING (10.332319 36.7345517, 10.3333281 36.7340186)",نهج مفيدة بورقيبة,,
104446982,False,tertiary,True,12.496,"LINESTRING (10.332319 36.7345517, 10.3322033 36.7346152)",نهج مفيدة بورقيبة,,
372828303,False,tertiary,True,75.473,"LINESTRING (10.3362589 36.7314671, 10.3355107 36.7317851)",Rue du Combattant Ali Fhimi,,
28146751,True,tertiary,False,10.02,"LINESTRING (10.3362589 36.7314671, 10.3362395 36.7314084, 10.3362446 36.7313793)",,roundabout,
116887815,False,residential,True,51.802,"LINESTRING (10.3349791 36.7344475, 10.3344856 36.7346937)",,,
116887899,False,residential,True,88.614,"LINESTRING (10.3349791 36.7344475, 10.3345052 36.7337469)",شارع 14 جانفي 2011,,
116887815,False,residential,False,697.168,"LINESTRING (10.3349791 36.7344475, 10.3368162 36.7335078, 10.3385671 36.7327717, 10.3402577 36.7320529, 10.341792 36.7313736)",,,
28146525,False,residential,True,155.149,"LINESTRING (10.3410563 36.7301644, 10.3395493 36.730863)",نهج المغرب,,
28146741,False,residential,False,82.37,"LINESTRING (10.3410563 36.7301644, 10.3414934 36.7308171)",,,
28146741,False,residential,True,72.633,"LINESTRING (10.3410563 36.7301644, 10.3408425 36.7298419, 10.3406643 36.7295918)",,,
28146663,False,residential,False,77.81,"LINESTRING (10.3311497 36.7328361, 10.3315651 36.7334516)",نهج العربي زروق,,
28146479,False,residential,False,219.55100000000002,"LINESTRING (10.3311497 36.7328361, 10.3317618 36.7325688, 10.3333138 36.7318925)",نهج الهادي نويرة,,
28146663,False,residential,False,76.766,"LINESTRING (10.3315651 36.7334516, 10.3319647 36.7340632)",نهج العربي زروق,,
28146663,False,residential,True,77.81,"LINESTRING (10.3315651 36.7334516, 10.3311497 36.7328361)",نهج العربي زروق,,
28146476,False,tertiary,False,218.774,"LINESTRING (10.3315651 36.7334516, 10.3322527 36.7331621, 10.333744 36.7325452)",نهج ليبيا,,
28146525,False,residential,False,217.572,"LINESTRING (10.3319647 36.7340632, 10.3341249 36.7331514)",نهج المغرب,,
28146663,False,residential,False,62.828,"LINESTRING (10.3319647 36.7340632, 10.332319 36.7345517)",نهج العربي زروق,,
28146663,False,residential,True,76.766,"LINESTRING (10.3319647 36.7340632, 10.3315651 36.7334516)",نهج العربي زروق,,
28146659,False,residential,False,84.045,"LINESTRING (10.3327384 36.7352376, 10.3322033 36.7346152)",,,
28146660,False,residential,True,105.694,"LINESTRING (10.3327384 36.7352376, 10.3317618 36.735777)",,,
28146660,False,residential,False,123.64999999999999,"LINESTRING (10.3327384 36.7352376, 10.3329849 36.7350924, 10.3330788 36.7350516, 10.333575 36.7349076, 10.3339975 36.7347904)",,,
28146659,False,residential,True,84.045,"LINESTRING (10.3322033 36.7346152, 10.3327384 36.7352376)",,,
104446982,False,tertiary,False,12.496,"LINESTRING (10.3322033 36.7346152, 10.332319 36.7345517)",نهج مفيدة بورقيبة,,
28146660,False,residential,False,105.694,"LINESTRING (10.3317618 36.735777, 10.3327384 36.7352376)",,,
28146660,False,residential,True,44.806,"LINESTRING (10.3344856 36.7346937, 10.3339975 36.7347904)",,,
116887815,False,residential,False,51.802,"LINESTRING (10.3344856 36.7346937, 10.3349791 36.7344475)",,,
28146482,False,residential,False,91.262,"LINESTRING (10.3329193 36.7312639, 10.3338188 36.7308716)",نهج علي باش حانبة,,
28146693,False,tertiary,False,78.241,"LINESTRING (10.3329193 36.7312639, 10.3333138 36.7318925)",شارع 14 جانفي 2011,,
28146693,False,tertiary,True,77.234,"LINESTRING (10.3329193 36.7312639, 10.3325225 36.7306464)",شارع 14 جانفي 2011,,
28146693,False,tertiary,True,78.241,"LINESTRING (10.3333138 36.7318925, 10.3329193 36.7312639)",شارع 14 جانفي 2011,,
372828438,False,tertiary,False,82.081,"LINESTRING (10.3333138 36.7318925, 10.333744 36.7325452)",شارع 14 جانفي 2011,,
372828439,False,residential,False,89.968,"LINESTRING (10.3333138 36.7318925, 10.3342158 36.7315291)",نهج عاصمة الجزائر,,
28146479,False,residential,True,219.55100000000002,"LINESTRING (10.3333138 36.7318925, 10.3317618 36.7325688, 10.3311497 36.7328361)",نهج الهادي نويرة,,
372828303,False,tertiary,False,89.728,"LINESTRING (10.333744 36.7325452, 10.3346327 36.7321659)",Rue du Combattant Ali Fhimi,,
372828304,False,tertiary,False,75.471,"LINESTRING (10.333744 36.7325452, 10.3341249 36.7331514)",شارع 14 جانفي 2011,,
372828438,False,tertiary,True,82.081,"LINESTRING (10.333744 36.7325452, 10.3333138 36.7318925)",شارع 14 جانفي 2011,,
28146476,False,tertiary,True,218.774,"LINESTRING (10.333744 36.7325452, 10.3322527 36.7331621, 10.3315651 36.7334516)",نهج ليبيا,,
28146525,False,residential,False,90.991,"LINESTRING (10.3341249 36.7331514, 10.3350282 36.7327699)",نهج المغرب,,
28146525,False,residential,True,217.572,"LINESTRING (10.3341249 36.7331514, 10.3319647 36.7340632)",نهج المغرب,,
