osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
184053445,RN18,الطريق الوطنية دقة - منزل سالم,primary,False,False,145.694,"LINESTRING (8.8268441 35.940661, 8.8266946 35.9404765, 8.8264223 35.9401643, 8.8261856 35.9399113, 8.825906 35.9395937)",,,
184053445,RN18,الطريق الوطنية دقة - منزل سالم,primary,False,True,35.126999999999995,"LINESTRING (8.8268441 35.940661, 8.8269635 35.9408, 8.8270721 35.9409173)",,,
191479713,,,residential,False,False,64.012,"LINESTRING (8.8268441 35.940661, 8.8266242 35.9408874, 8.8264128 35.9411186)",,,
715813200,,,unclassified,False,True,82.521,"LINESTRING (8.8268441 35.940661, 8.8270962 35.9403554, 8.8273792 35.940059)",,,
274223773,RR71,,secondary,False,True,26.469,"LINESTRING (8.8307957 35.9461745, 8.8305683 35.9463254)",2,,
53378990,RN18,الطريق الوطنية دقة - منزل سالم,primary,False,False,73.774,"LINESTRING (8.8307957 35.9461745, 8.8309724 35.9460547, 8.831407 35.9457328)",2,,
191479602,RN18,الطريق الوطنية دقة - منزل سالم,primary,True,False,81.749,"LINESTRING (8.8307957 35.9461745, 8.8308201 35.9461324, 8.8308506 35.9460828, 8.8308855 35.9460274, 8.8309264 35.9459758, 8.8309901 35.9458976, 8.8310592 35.9458211, 8.8311088 35.9457554, 8.8311511 35.9456903, 8.8311685 35.945658, 8.8311846 35.9456202, 8.8311967 35.9455896, 8.8312037 35.9455608, 8.8312151 35.945528)",,,
191479687,,,residential,False,False,31.245,"LINESTRING (8.8243631 35.9379509, 8.8242383 35.9382131)",,,
184053445,RN18,الطريق الوطنية دقة - منزل سالم,primary,False,True,229.781,"LINESTRING (8.8243631 35.9379509, 8.8244321 35.9380035, 8.8245475 35.9381002, 8.824691 35.9382375, 8.825906 35.9395937)",,,
191479610,RR71,,secondary,True,False,6.523,"LINESTRING (8.8322709 35.9451075, 8.832282 35.9450796, 8.8323027 35.9450555)",2,roundabout,
184048052,RR71,,secondary,True,False,42.967999999999996,"LINESTRING (8.8326819 35.9447094, 8.8325688 35.9448969, 8.8325505 35.9449379, 8.83253 35.9449875, 8.83251 35.9450311, 8.8324888 35.945062)",1,,
184048057,RR71,,secondary,False,False,124.25699999999999,"LINESTRING (8.8326819 35.9447094, 8.8328375 35.9444933, 8.832981 35.9443369, 8.8331312 35.9441816, 8.8333042 35.9440427, 8.8335523 35.9438505)",2,,
