osmid,oneway,highway,reversed,length,ref,geometry,name,junction,bridge
558307156,False,primary_link,False,10.971,,"LINESTRING (10.5555737 36.4049975, 10.5556121 36.4050912)",,,
106152160,True,primary,False,121.95499999999998,RR28,"LINESTRING (10.5555737 36.4049975, 10.5561026 36.4049115, 10.5563126 36.4048802, 10.5564592 36.4048654, 10.5569186 36.4048275)",,,
106152205,True,secondary,False,49.400999999999996,RR28,"LINESTRING (10.5518603 36.4049728, 10.5521663 36.4049579, 10.5524117 36.4049543)",الطريق الجهوية مجاز الباب - نابل,,
26254327,True,motorway_link,False,142.712,,"LINESTRING (10.5553747 36.4046087, 10.5556056 36.4046876, 10.5557223 36.4047297, 10.5558202 36.404761, 10.5559476 36.4047934, 10.5560763 36.4048183, 10.556193 36.4048344, 10.5563138 36.4048416, 10.5569186 36.4048275)",,,
106152339,True,motorway_link,False,51.351000000000006,,"LINESTRING (10.5553747 36.4046087, 10.5554953 36.4046582, 10.5555321 36.4047181, 10.5555666 36.4047921, 10.5555838 36.4048628, 10.5555737 36.4049975)",,,
106152160,True,primary,False,22.921,RR28,"LINESTRING (10.5598238 36.404732, 10.5600792 36.4047166)",,,
121771323,True,primary_link,False,47.098,,"LINESTRING (10.5598238 36.404732, 10.5599266 36.4046661, 10.5599997 36.4045782, 10.5600364 36.4044767, 10.5600372 36.4043704)",,,
26254332,True,primary,False,33.993,RN1,"LINESTRING (10.5601121 36.4046701, 10.5600372 36.4043704)",شارع الزعيم ياسر عرفات,,
26254361,True,primary,False,20.776,RN1,"LINESTRING (10.5601121 36.4046701, 10.5601566 36.4046401, 10.5602108 36.4046234, 10.5602687 36.4046216, 10.5603243 36.4046352)",,roundabout,
26254361,True,primary,False,15.937000000000001,RN1,"LINESTRING (10.5601096 36.4048523, 10.5600803 36.4048108, 10.5600697 36.4047638, 10.5600792 36.4047166)",,roundabout,
26995065,True,primary,False,130.86,RR28,"LINESTRING (10.5601096 36.4048523, 10.559558 36.404823, 10.5586486 36.4048247)",,,
26254361,True,primary,False,5.95,RN1,"LINESTRING (10.5600792 36.4047166, 10.5601121 36.4046701)",,roundabout,
26254361,True,primary,False,15.354,RN1,"LINESTRING (10.5604137 36.4047181, 10.5604225 36.4047636, 10.5604128 36.4048089, 10.5603855 36.4048494)",,roundabout,
26254361,True,primary,False,3.907,RN1,"LINESTRING (10.5603855 36.4048494, 10.5603547 36.4048743)",,roundabout,
26254398,True,primary,False,15.298,RN1,"LINESTRING (10.5574341 36.3987543, 10.557388 36.3987812, 10.5573343 36.3987966, 10.5572774 36.3987991)",,roundabout,
55910570,True,primary,False,322.56199999999995,RN1,"LINESTRING (10.5574341 36.3987543, 10.5577902 36.399269, 10.5583642 36.4000764, 10.5589825 36.400981, 10.5591824 36.4012854, 10.5591846 36.4012898)",شارع الزعيم ياسر عرفات,,
26254398,True,primary,False,17.905,RN1,"LINESTRING (10.5573892 36.3984969, 10.5574419 36.3985298, 10.5574783 36.3985748, 10.5574942 36.3986269)",,roundabout,
538973513,True,secondary,False,120.995,,"LINESTRING (10.5573892 36.3984969, 10.5575733 36.3984506, 10.5577508 36.3983906, 10.5579203 36.3983172, 10.5580802 36.398231, 10.5582291 36.3981327, 10.5583655 36.3980234, 10.5584938 36.3979036)",,,
174497254,False,secondary,True,66.651,,"LINESTRING (10.5603852 36.3981023, 10.5609737 36.3984696)",,,
707001579,True,secondary,False,40.448,,"LINESTRING (10.5603852 36.3981023, 10.5602995 36.3980654, 10.5601962 36.3980222, 10.5600594 36.397966, 10.5599816 36.397939)",,,
26995067,False,tertiary,False,41.691,,"LINESTRING (10.5586952 36.3975843, 10.5589195 36.3972557)",,,
538973517,True,tertiary,False,20.258,,"LINESTRING (10.5586952 36.3975843, 10.5586913 36.3976297, 10.558693 36.3976753, 10.5587003 36.3977205, 10.5587131 36.3977648)",,,
174497254,False,secondary,False,66.651,,"LINESTRING (10.5609737 36.3984696, 10.5603852 36.3981023)",,,
26254361,True,primary,False,12.451,RN1,"LINESTRING (10.5603243 36.4046352, 10.5603817 36.4046716, 10.5604137 36.4047181)",,roundabout,
26254361,True,primary,False,5.566,RN1,"LINESTRING (10.5601568 36.4048849, 10.5601096 36.4048523)",,roundabout,
26254361,True,primary,False,18.781,RN1,"LINESTRING (10.5603547 36.4048743, 10.560309 36.4048951, 10.5602578 36.4049041, 10.5602055 36.4049006, 10.5601568 36.4048849)",,roundabout,
55910558,True,primary,False,27.751,RN1,"LINESTRING (10.5603547 36.4048743, 10.5603417 36.4050261, 10.5603439 36.4051235)",الطريق الوطنية تونس - رأس جدير,,
26254316,True,motorway_link,False,165.476,,"LINESTRING (10.5569252 36.4049066, 10.5566871 36.4049547, 10.5565157 36.4050039, 10.5563332 36.4050672, 10.5561505 36.4051506, 10.555903 36.405269, 10.5557462 36.4053855, 10.5554027 36.4056905)",,,
