osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,bridge,junction,width
206568677,False,2,RR201,secondary,False,40.6,"LINESTRING (8.1540146 34.3881163, 8.1542193 34.38844)",,,,,
206568669,True,1,RR201,secondary,False,77.532,"LINESTRING (8.1540146 34.3881163, 8.1538284 34.3879197, 8.1536874 34.387677, 8.153623 34.3875065)",,,,,
247545948,False,2,,tertiary,True,60.822,"LINESTRING (8.1502319 34.3810507, 8.1496453 34.3813053)",نهج الحرّيّة,60,,,
713585189,True,1,,tertiary,False,13.99,"LINESTRING (8.1502319 34.3810507, 8.1503625 34.3809858)",,,,,
722558373,False,,,residential,False,57.242,"LINESTRING (8.1536338 34.3869089, 8.1541729 34.3866499)",,,,,
206568675,True,1,RR201,secondary,False,54.954,"LINESTRING (8.1536338 34.3869089, 8.1536324 34.3871756, 8.1536391 34.3873095, 8.1536586 34.3874016)",,,,,
206568675,True,1,RR201,secondary,False,65.55,"LINESTRING (8.15378 34.3848193, 8.1537451 34.3854081)",,,,,
"[614066086, 614066087]",False,,,residential,False,69.50999999999999,"LINESTRING (8.15378 34.3848193, 8.1543305 34.3851456, 8.1543953 34.3851839)",,,,,
90935322,True,1,RR201,secondary,False,30.845,"LINESTRING (8.1570168 34.3863271, 8.1572841 34.3864953)",,,,,
722578530,False,,,residential,True,6.244,"LINESTRING (8.1570168 34.3863271, 8.1569753 34.3863716)",,,,,
"[722578530, 247546004, 722578533]",False,,,residential,False,177.60199999999998,"LINESTRING (8.1570168 34.3863271, 8.1571948 34.3861633, 8.1573299 34.386039, 8.1573426 34.3860191, 8.1573413 34.3859991, 8.1573245 34.3859604, 8.1572172 34.3858874, 8.157063 34.3857933, 8.1568068 34.3856063, 8.1566419 34.3854115, 8.1564796 34.38523, 8.1564074 34.3851398)",,,yes,,
206566054,True,1,RR201,secondary,False,6.188,"LINESTRING (8.1569753 34.3863716, 8.1569221 34.3863374)",,,,,
722578530,False,,,residential,False,6.244,"LINESTRING (8.1569753 34.3863716, 8.1570168 34.3863271)",,,,,
206568661,True,2,RR201,secondary,False,6.8149999999999995,"LINESTRING (8.1539376 34.3842552, 8.1539587 34.3842804, 8.1539704 34.3843095)",,,,roundabout,
247545961,False,,,residential,True,39.613,"LINESTRING (8.1537236 34.3847751, 8.1533715 34.3849812)",,,,,
206568669,True,1,RR201,secondary,False,46.440000000000005,"LINESTRING (8.1537236 34.3847751, 8.1537236 34.3845825, 8.1537236 34.3844641, 8.1537147 34.3843577)",,,,,
247546077,False,,,residential,False,31.241,"LINESTRING (8.1515236 34.3812572, 8.1512104 34.3813673)",,,,,
247546077,False,,,residential,True,8.949,"LINESTRING (8.1515236 34.3812572, 8.1516113 34.381222)",,,,,
206568666,True,1,,tertiary,False,52.887,"LINESTRING (8.1515236 34.3812572, 8.1511115 34.3811129, 8.1509918 34.381074)",,,,,
247545891,False,,,residential,True,24.016,"LINESTRING (8.1535694 34.38719, 8.1533092 34.3872132)",,,,,
206568669,True,1,RR201,secondary,False,79.036,"LINESTRING (8.1535694 34.38719, 8.1535694 34.3869, 8.1535882 34.3864795)",,,,,
206573215,False,2,,unclassified,True,17.56,"LINESTRING (8.1512425 34.3807861, 8.1514305 34.3807567)",,,,,
247545977,False,,,residential,True,98.352,"LINESTRING (8.1512425 34.3807861, 8.1510476 34.3806573, 8.150714 34.3803562, 8.1506543 34.3803024, 8.15045 34.3801996)",,,,,
722566038,True,1,,tertiary,False,59.122,"LINESTRING (8.1512425 34.3807861, 8.1514354 34.3810075, 8.1516113 34.381222)",,,,,
206570633,True,1,,tertiary,False,37.511,"LINESTRING (8.1508458 34.3808674, 8.1512425 34.3807861)",,,,,
206565278,True,1,,residential,False,21.907,"LINESTRING (8.1508887 34.3810401, 8.1508249 34.3809827, 8.1508203 34.3809254, 8.1508458 34.3808674)",,,,,
206568666,True,1,,tertiary,False,40.873000000000005,"LINESTRING (8.1508887 34.3810401, 8.15076 34.3810312, 8.15045 34.3810828)",,,,,
206573215,False,2,,unclassified,False,17.56,"LINESTRING (8.1514305 34.3807567, 8.1512425 34.3807861)",,,,,
"[206573217, 206573214]",False,2,,unclassified,True,34.939,"LINESTRING (8.1514305 34.3807567, 8.1517283 34.3806549, 8.1517794 34.3806316)",,,yes,,
247546084,False,,,residential,False,64.051,"LINESTRING (8.1514305 34.3807567, 8.1516585 34.3808208, 8.1520916 34.3809414)",,,,,
206573214,False,2,,unclassified,False,125.873,"LINESTRING (8.1531376 34.3800286, 8.1529284 34.3801658, 8.152693 34.3802998, 8.1524442 34.3803972, 8.1521708 34.3804999, 8.1519453 34.3805739)",,,,,
247545877,False,2,,tertiary,True,76.452,"LINESTRING (8.1493664 34.3801431, 8.1499886 34.3806003)",شارع المدينة,50,,,
247545899,False,,,residential,True,21.938,"LINESTRING (8.1493664 34.3801431, 8.1492202 34.3802992)",,,,,
247545977,False,,,residential,False,98.35199999999999,"LINESTRING (8.15045 34.3801996, 8.1506543 34.3803024, 8.150714 34.3803562, 8.1510476 34.3806573, 8.1512425 34.3807861)",,,,,
"[247545938, 247545931, 247546071]",False,,,residential,False,28.851,"LINESTRING (8.15045 34.3801996, 8.1504782 34.3801808, 8.1506607 34.380066, 8.1506986 34.3800408)",,,yes,,
247546071,False,,,residential,True,61.479,"LINESTRING (8.15045 34.3801996, 8.1504057 34.3802428, 8.1502183 34.3804021, 8.1499886 34.3806003)",,,,,
247545877,False,2,,tertiary,False,76.452,"LINESTRING (8.1499886 34.3806003, 8.1493664 34.3801431)",شارع المدينة,50,,,
247545877,False,2,,tertiary,True,55.230999999999995,"LINESTRING (8.1499886 34.3806003, 8.1502864 34.3808781, 8.1503333 34.3809279, 8.1503625 34.3809858)",شارع المدينة,50,,,
247546071,False,,,residential,False,61.479,"LINESTRING (8.1499886 34.3806003, 8.1502183 34.3804021, 8.1504057 34.3802428, 8.15045 34.3801996)",,,,,
247546071,False,,,residential,True,101.28699999999999,"LINESTRING (8.1499886 34.3806003, 8.1497298 34.3808194, 8.1495085 34.3810275, 8.1494864 34.3810541, 8.1494804 34.3810762, 8.1494804 34.3811088, 8.1494898 34.3811348, 8.1496453 34.3813053)",,,,,
247546059,False,,,residential,True,15.191,"LINESTRING (8.1485161 34.3808626, 8.1486543 34.3809378)",,,,,
247545901,False,,,residential,False,54.003,"LINESTRING (8.1520916 34.3809414, 8.1516113 34.381222)",,,,,
247546084,False,,,residential,False,10.007,"LINESTRING (8.1520916 34.3809414, 8.1521961 34.3809671)",,,,,
247546084,False,,,residential,True,64.051,"LINESTRING (8.1520916 34.3809414, 8.1516585 34.3808208, 8.1514305 34.3807567)",,,,,
247545899,False,,,residential,False,6.0,"LINESTRING (8.1486543 34.3809378, 8.1486918 34.3808936)",,,,,
247546059,False,,,residential,False,15.191,"LINESTRING (8.1486543 34.3809378, 8.1485161 34.3808626)",,,,,
247546059,False,,,residential,True,34.525999999999996,"LINESTRING (8.1486543 34.3809378, 8.1488554 34.3810994, 8.1489269 34.3811517)",,,,,
247546079,False,,,residential,False,81.708,"LINESTRING (8.1521961 34.3809671, 8.1526856 34.3815809)",,,,,
247546084,False,,,residential,True,10.007,"LINESTRING (8.1521961 34.3809671, 8.1520916 34.3809414)",,,,,
247546084,False,,,residential,False,60.915000000000006,"LINESTRING (8.1521961 34.3809671, 8.1523741 34.3810242, 8.1528157 34.3811636)",,,,,
247545877,False,2,,tertiary,True,13.447,"LINESTRING (8.1503625 34.3809858, 8.15045 34.3810828)",شارع المدينة,50,,,
206570633,True,1,,tertiary,False,46.318,"LINESTRING (8.1503625 34.3809858, 8.1505278 34.3809356, 8.1506954 34.380898, 8.1508458 34.3808674)",,,,,
247545877,False,2,,tertiary,False,55.231,"LINESTRING (8.1503625 34.3809858, 8.1503333 34.3809279, 8.1502864 34.3808781, 8.1499886 34.3806003)",شارع المدينة,50,,,
206568666,True,1,,tertiary,False,10.185,"LINESTRING (8.1509918 34.381074, 8.1508887 34.3810401)",,,,,
206568671,False,2,,residential,False,38.289,"LINESTRING (8.1509918 34.381074, 8.1512104 34.3813673)",,,,,
247545877,False,2,,tertiary,False,13.447,"LINESTRING (8.15045 34.3810828, 8.1503625 34.3809858)",شارع المدينة,50,,,
713585188,True,1,,tertiary,False,20.331,"LINESTRING (8.15045 34.3810828, 8.1502319 34.3810507)",,,,,
722508644,False,,,residential,True,62.941,"LINESTRING (8.15045 34.3810828, 8.1508295 34.3815543)",,,,,
247545901,False,,,residential,True,54.003,"LINESTRING (8.1516113 34.381222, 8.1520916 34.3809414)",,,,,
247546077,False,,,residential,False,8.949,"LINESTRING (8.1516113 34.381222, 8.1515236 34.3812572)",,,,,
722566038,True,1,,tertiary,False,86.13900000000001,"LINESTRING (8.1516113 34.381222, 8.1516601 34.38128, 8.1521127 34.3818768)",,,,,
247546072,False,,,residential,False,37.408,"LINESTRING (8.1528157 34.3811636, 8.1530101 34.3814593)",,,,,
247546084,False,,,residential,False,49.497,"LINESTRING (8.1528157 34.3811636, 8.153336 34.3812809)",,,,,
