osmid,highway,oneway,reversed,length,ref,name,maxspeed,access,geometry,junction,lanes
207316560,residential,False,True,60.682,,,,,"LINESTRING (10.4880439 33.3476413, 10.4875168 33.3473189)",,
711577716,primary,False,False,68.369,RN1,الطريق الوطنية تونس - رأس جدير,50,,"LINESTRING (10.4880439 33.3476413, 10.4884378 33.3471219)",,
206834609,tertiary,False,False,28.528,,,,,"LINESTRING (10.4883599 33.3414907, 10.4881534 33.3416806)",,
1250473776,primary,False,True,7.762,RN19,الطريق الوطنية مدنين - الذهيبة,50,yes,"LINESTRING (10.4883599 33.3414907, 10.4884163 33.3415422)",,
1250473776,primary,False,False,145.586,RN19,الطريق الوطنية مدنين - الذهيبة,50,yes,"LINESTRING (10.4883599 33.3414907, 10.4882902 33.3413965, 10.4881883 33.3412375, 10.4880354 33.3409551, 10.4877242 33.3402963)",,
1250473776,primary,False,False,24.417,RN19,الطريق الوطنية مدنين - الذهيبة,50,yes,"LINESTRING (10.4899809 33.3428142, 10.4897788 33.3426738)",,
1250473776,primary,False,True,72.189,RN19,الطريق الوطنية مدنين - الذهيبة,50,yes,"LINESTRING (10.4899809 33.3428142, 10.4906264 33.3431757)",,
29159400,residential,False,False,74.01,,,,,"LINESTRING (10.4899809 33.3428142, 10.4902764 33.3424766, 10.4904534 33.3422783)",,
29159400,residential,False,False,48.248999999999995,,,,,"LINESTRING (10.4904534 33.3422783, 10.4904816 33.3421304, 10.4905337 33.3418496)",,
29159400,residential,False,True,74.01,,,,,"LINESTRING (10.4904534 33.3422783, 10.4902764 33.3424766, 10.4899809 33.3428142)",,
206836817,residential,False,False,121.65499999999999,,,,,"LINESTRING (10.4904534 33.3422783, 10.4909295 33.3425796, 10.49125 33.3428194, 10.49144 33.3429936)",,
44947343,tertiary,False,True,40.67,,,,,"LINESTRING (10.4902177 33.3464673, 10.4906264 33.3463361)",,
44947343,tertiary,False,False,70.859,,,,,"LINESTRING (10.4902177 33.3464673, 10.489884 33.3465404, 10.489527 33.3465832, 10.48947 33.3465872)",,
215117821,residential,False,False,96.053,,,,,"LINESTRING (10.4902177 33.3464673, 10.4902428 33.3465423, 10.4902522 33.3466106, 10.4902347 33.3466503, 10.4901898 33.346694, 10.4898555 33.346902, 10.489619 33.3470847)",,
707020177,primary_link,True,False,77.763,,,,,"LINESTRING (10.4890706 33.3466654, 10.4889483 33.346763, 10.4888581 33.3468309, 10.4886751 33.3469728, 10.4884378 33.3471219)",,
707020179,tertiary,True,False,31.901,,,,,"LINESTRING (10.4890706 33.3466654, 10.4889258 33.346716, 10.4888195 33.3467199, 10.4887416 33.3467044)",,
44947340,secondary,True,False,17.028,,,,,"LINESTRING (10.491155 33.344065, 10.491051 33.3439389)",,
317314907,secondary,False,True,107.637,,,,,"LINESTRING (10.491155 33.344065, 10.4913063 33.3444842, 10.4913922 33.3447229, 10.4914176 33.3448103, 10.4914699 33.3449962)",,
706725263,secondary,True,False,23.882,,,,,"LINESTRING (10.4915336 33.3454636, 10.4915467 33.3452491)",,
44947341,secondary,True,False,12.566,,ساحة الحرّيّة,,,"LINESTRING (10.4915336 33.3454636, 10.4915646 33.3454523, 10.4915976 33.3454463, 10.4916314 33.3454458, 10.4916647 33.345451)",roundabout,
706725267,secondary,True,False,22.42,,طريق جربة,50,yes,"LINESTRING (10.4917792 33.3456337, 10.4919162 33.3457997)",,
44947341,secondary,True,False,13.526,,ساحة الحرّيّة,,,"LINESTRING (10.4917792 33.3456337, 10.491764 33.3456613, 10.4917421 33.3456856, 10.4917145 33.3457055, 10.4916826 33.3457201)",roundabout,
206834609,tertiary,False,False,27.481,,,,,"LINESTRING (10.4874004 33.342332, 10.4872998 33.3424323, 10.4872102 33.3425213)",,
206834609,tertiary,False,True,9.89,,,,,"LINESTRING (10.4874004 33.342332, 10.4874433 33.3422996, 10.4874855 33.3422794)",,
285254479,residential,False,True,75.979,,,50,yes,"LINESTRING (10.4874004 33.342332, 10.4872606 33.3421741, 10.4871194 33.3420632, 10.4869761 33.3419563, 10.4868404 33.3418371)",,
206836137,residential,False,False,54.119,,,,,"LINESTRING (10.4880816 33.342625, 10.4885413 33.342924)",,
