osmid,oneway,lanes,ref,highway,reversed,length,geometry,junction,name,bridge
208442588,True,2,RR27,trunk,False,71.786,"LINESTRING (10.8602483 36.5767798, 10.8600425 36.5765729, 10.8599613 36.5764912, 10.8597581 36.5762683)",,,
208542703,False,2,,residential,True,7.661,"LINESTRING (10.8522311 36.5729748, 10.8522526 36.5730415)",,,
208446646,True,2,RR44,secondary,False,106.18,"LINESTRING (10.8522311 36.5729748, 10.8523988 36.5729467, 10.8525738 36.5729403, 10.8527193 36.5729392, 10.852901 36.5729441, 10.8534113 36.5730011)",,,
208543084,False,2,,residential,False,6.632,"LINESTRING (10.8534113 36.5730011, 10.8533925 36.5730588)",,,
208446646,True,2,RR44,secondary,False,392.04600000000005,"LINESTRING (10.8534113 36.5730011, 10.8542361 36.5731105, 10.8544936 36.5731342, 10.8547175 36.5731535, 10.8549053 36.5731643, 10.8551453 36.5731611, 10.8554042 36.5731395, 10.8558789 36.5730921, 10.8562732 36.5730448, 10.8570444 36.5729489, 10.8572348 36.5729187, 10.8574494 36.5728875, 10.8577471 36.5728134)",,,
208543084,False,2,,residential,True,45.088,"LINESTRING (10.8534113 36.5730011, 10.853524 36.572769, 10.853599 36.5726247)",,,
208442589,True,2,RR27,trunk,False,5.109,"LINESTRING (10.8589312 36.5751537, 10.8589122 36.5751527, 10.8588938 36.5751487, 10.8588766 36.575142)",roundabout,,
208442588,True,2,RR27,trunk,False,78.694,"LINESTRING (10.8608129 36.5773232, 10.8602483 36.5767798)",,,
589329491,False,2,,tertiary,True,5.847,"LINESTRING (10.8608129 36.5773232, 10.8608571 36.5772844)",,نهج الطيب المهيري,
216118242,False,,,residential,False,62.832,"LINESTRING (10.8596802 36.576073, 10.8602187 36.5757093)",,,
1067010753,True,2,RR27,trunk,False,170.87199999999999,"LINESTRING (10.8596802 36.576073, 10.8600062 36.5764271, 10.8605674 36.5769899, 10.8608571 36.5772844)",,,
589329491,False,2,,tertiary,False,5.847,"LINESTRING (10.8608571 36.5772844, 10.8608129 36.5773232)",,نهج الطيب المهيري,
208442590,False,2,,tertiary,True,77.029,"LINESTRING (10.8608571 36.5772844, 10.8612863 36.57695, 10.861478 36.5768035)",,,
208442584,False,,,tertiary,True,89.541,"LINESTRING (10.8590271 36.5750643, 10.8590822 36.5750486, 10.859227 36.574999, 10.8599385 36.5747292)",,شارع 2 مارس,
208442589,True,2,RR27,trunk,False,4.005,"LINESTRING (10.8590271 36.5750643, 10.8590272 36.5750823, 10.8590224 36.5750999)",roundabout,,
208484377,True,1,,tertiary,False,12.814,"LINESTRING (10.8588409 36.5751116, 10.8587375 36.5751915)",,,
208442589,True,2,RR27,trunk,False,4.18,"LINESTRING (10.8588409 36.5751116, 10.8588323 36.5750941, 10.8588291 36.5750755)",roundabout,,
208442589,True,2,RR27,trunk,False,3.809,"LINESTRING (10.8590129 36.575032, 10.8590271 36.5750643)",roundabout,,
