osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,junction
173622677,2,رصيف طارق بن زياد,secondary,False,False,96.941,,"LINESTRING (9.8749257 37.2696737, 9.8758091 37.2701893)",
173622677,2,رصيف طارق بن زياد,secondary,False,True,108.74,,"LINESTRING (9.8749257 37.2696737, 9.8739318 37.2690986)",
110402782,2,نهج اليونان,residential,True,False,108.052,,"LINESTRING (9.872246 37.2709206, 9.8732376 37.2714877)",
430448832,3,نهج المنجي سليم,primary,True,False,87.875,RN8,"LINESTRING (9.872246 37.2709206, 9.8728477 37.2702919)",
27484849,3,نهج 8 جانفي 1938,primary,True,False,3.062,RN8,"LINESTRING (9.8732376 37.2714877, 9.8732173 37.27151)",
225525883,2,نهج اليونان,residential,True,False,99.065,,"LINESTRING (9.8732376 37.2714877, 9.87414 37.272015)",
27484849,3,نهج 8 جانفي 1938,primary,True,False,26.090999999999998,RN8,"LINESTRING (9.8740122 37.2706852, 9.8739971 37.2707031, 9.8738482 37.2708802)",
225525884,2,نهج بلجيكا,residential,False,True,5.398,,"LINESTRING (9.8728477 37.2702919, 9.872797 37.2702649)",
430448832,3,نهج المنجي سليم,primary,True,False,22.991,RN8,"LINESTRING (9.8728477 37.2702919, 9.8729352 37.270205, 9.8730101 37.2701305)",
430843640,,نهج المنجي سليم,residential,True,False,55.713,,"LINESTRING (9.8730101 37.2701305, 9.8733503 37.2697089)",
430448832,3,نهج المنجي سليم,primary,True,False,112.627,RN8,"LINESTRING (9.8730101 37.2701305, 9.873178 37.2700001, 9.8732551 37.2699648, 9.8733703 37.269912, 9.8735842 37.2698405, 9.874096 37.2696162)",
256598207,,نهج المنجي سليم,residential,False,True,85.165,,"LINESTRING (9.8733503 37.2697089, 9.8739318 37.2690986)",
430843641,,نهج محمد علي,unclassified,True,False,68.94200000000001,,"LINESTRING (9.8733503 37.2697089, 9.8733938 37.2697293, 9.8734486 37.2697417, 9.8735843 37.269743, 9.874096 37.2696162)",
173622677,2,رصيف طارق بن زياد,secondary,False,False,108.74,,"LINESTRING (9.8739318 37.2690986, 9.8749257 37.2696737)",
256598207,,نهج المنجي سليم,residential,False,False,85.165,,"LINESTRING (9.8739318 37.2690986, 9.8733503 37.2697089)",
