osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,maxspeed,junction
314285045,residential,False,False,115.362,,,"LINESTRING (8.8331262 35.1670686, 8.832429 35.1679355)",,,
1022270109,primary,False,False,82.852,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8331262 35.1670686, 8.8338919 35.1674728)",,,
1022270109,primary,False,True,59.08800000000001,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8331262 35.1670686, 8.8329686 35.1669851, 8.8325807 35.1667796)",,,
521231910,secondary,False,False,13.436,,شارع 14 جانفي 2011,"LINESTRING (8.8381416 35.1719118, 8.837994 35.1719052)",,,
521231910,secondary,False,True,43.889,,شارع 14 جانفي 2011,"LINESTRING (8.8381416 35.1719118, 8.838623 35.1719425)",,,
550464657,residential,False,False,46.221,,,"LINESTRING (8.8381416 35.1719118, 8.8381564 35.1714963)",,,
521231910,secondary,False,False,59.37,,شارع 14 جانفي 2011,"LINESTRING (8.8332626 35.1706687, 8.8327181 35.1703738)",,,
521231910,secondary,False,True,63.871,,شارع 14 جانفي 2011,"LINESTRING (8.8332626 35.1706687, 8.8338688 35.1709592)",,,
550465343,residential,False,False,66.229,,,"LINESTRING (8.8332626 35.1706687, 8.8328826 35.1711769)",,,
31830367,residential,False,False,21.729,,,"LINESTRING (8.8314996 35.1681929, 8.8313721 35.1683582)",,,
31830367,residential,False,True,4.336,,,"LINESTRING (8.8314996 35.1681929, 8.8315272 35.1681611)",,,
238750313,residential,False,False,97.084,,,"LINESTRING (8.8314996 35.1681929, 8.8324074 35.1686529)",,,
1022270109,primary,False,True,74.973,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8325807 35.1667796, 8.8318837 35.1664191)",,,
31830367,residential,False,False,116.803,,,"LINESTRING (8.8325807 35.1667796, 8.8324345 35.1669806, 8.832316 35.1671615, 8.831903 35.1676712)",,,
1022270109,primary,False,False,59.08800000000001,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8325807 35.1667796, 8.8329686 35.1669851, 8.8331262 35.1670686)",,,
1022270109,primary,False,True,48.387,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8392547 35.1702839, 8.8388058 35.17005)",,,
698308659,residential,False,False,63.309,,,"LINESTRING (8.8392547 35.1702839, 8.8393633 35.1705371, 8.8394599 35.1708276)",,,
698308659,residential,False,True,93.97600000000001,,,"LINESTRING (8.8392547 35.1702839, 8.8392171 35.1700931, 8.8392077 35.1699791, 8.8391478 35.1695951, 8.8391245 35.1694458)",,,
1022270109,primary,False,False,236.31300000000002,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8392547 35.1702839, 8.8395055 35.1704023, 8.8397697 35.1705426, 8.8408037 35.1710918, 8.8414489 35.1714233)",,,
706671871,tertiary,False,True,12.441,,,"LINESTRING (8.8390129 35.1693385, 8.8388843 35.1693002)",,,
698302698,tertiary,True,False,10.646,,نهج عبد العزيز السبيكي,"LINESTRING (8.8390129 35.1693385, 8.8390804 35.1693589, 8.8391242 35.1693679)",,,
706714963,residential,False,True,8.662,,,"LINESTRING (8.8391245 35.1694458, 8.8391242 35.1693679)",,,
698308659,residential,False,False,93.976,,,"LINESTRING (8.8391245 35.1694458, 8.8391478 35.1695951, 8.8392077 35.1699791, 8.8392171 35.1700931, 8.8392547 35.1702839)",,,
851546713,tertiary,True,False,15.663,,نهج عبد العزيز السبيكي,"LINESTRING (8.8391245 35.1694458, 8.8390791 35.1694039, 8.8390129 35.1693385)",,,
521231910,secondary,False,False,16.399,,شارع 14 جانفي 2011,"LINESTRING (8.8398641 35.1719059, 8.8396852 35.171925)",,,
521231910,secondary,False,True,58.71,,شارع 14 جانفي 2011,"LINESTRING (8.8398641 35.1719059, 8.8405052 35.1718415)",,,
550524695,residential,True,False,155.89100000000002,,,"LINESTRING (8.8398641 35.1719059, 8.8403937 35.1726365, 8.8408044 35.1730756)",,,
698308659,residential,False,True,102.35399999999998,,,"LINESTRING (8.8398641 35.1719059, 8.8396262 35.1712979, 8.839539 35.1710578, 8.8395285 35.1710273)",,,
695590575,tertiary,False,False,8.685,,شارع السلوم,"LINESTRING (8.832265 35.1645438, 8.8322145 35.1646101)",,,
695590575,tertiary,False,True,5.072,,شارع السلوم,"LINESTRING (8.832265 35.1645438, 8.8322909 35.1645034)",,,
238750285,residential,False,False,79.695,,نهج الرمّان,"LINESTRING (8.8369666 35.1654683, 8.8369594 35.165431, 8.8369654 35.1653713, 8.8370351 35.1649514, 8.8370914 35.1647616)",,,
238750285,residential,False,True,7.409,,نهج الرمّان,"LINESTRING (8.8369666 35.1654683, 8.8369869 35.1654962, 8.8370117 35.1655237)",,,
238750321,tertiary,False,True,50.483,,شارع منصف باي,"LINESTRING (8.8369666 35.1654683, 8.8369158 35.165459, 8.8364436 35.1653166)",2,,
706695661,tertiary,True,False,25.247,,شارع حسين زروق,"LINESTRING (8.8364371 35.16878, 8.8366623 35.1686471)",,,
1022270109,primary,False,False,18.707,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8364371 35.16878, 8.8366094 35.168872)",,,
1022270109,primary,False,True,71.088,RN13,الطريق الوطنية صفاقس - القصرين,"LINESTRING (8.8364371 35.16878, 8.8357797 35.1684337)",,,
238750284,tertiary,False,True,6.936,,شارع حسين زروق,"LINESTRING (8.8369969 35.1683111, 8.8369455 35.1683572)",,,
238750284,tertiary,False,False,77.781,,شارع حسين زروق,"LINESTRING (8.8369969 35.1683111, 8.837375 35.1680743, 8.8377031 35.1679186)",,,
238750299,tertiary,False,True,25.271,,,"LINESTRING (8.8369969 35.1683111, 8.8369795 35.1682623, 8.8369721 35.1682097, 8.8369661 35.1680863)",,,
238750284,tertiary,False,False,9.954,,شارع حسين زروق,"LINESTRING (8.8382744 35.1676543, 8.8383713 35.1676126)",,,
238750284,tertiary,False,True,59.67,,شارع حسين زروق,"LINESTRING (8.8382744 35.1676543, 8.8377031 35.1679186)",,,
238750285,residential,False,False,75.628,,نهج الرمّان,"LINESTRING (8.8382744 35.1676543, 8.8380108 35.1670092)",,,
238750288,unclassified,False,False,122.222,,,"LINESTRING (8.8357797 35.1684337, 8.8350708 35.1693677)",,,
