osmid,highway,oneway,reversed,length,name,maxspeed,ref,geometry,lanes,bridge,junction
709999710,unclassified,False,True,6.361,,,,"LINESTRING (10.9884685 36.7763065, 10.988498 36.7762544)",,,
97039302,tertiary,False,True,25.16,نهج عبد القادر زهيوة,50,,"LINESTRING (10.9909985 36.7772474, 10.9908811 36.7774532)",,,
396321002,tertiary,False,False,11.185,نهج أبو القاسم الشابي,50,,"LINESTRING (10.9909985 36.7772474, 10.9910528 36.7771567)",,,
1229582600,trunk,True,False,115.25200000000001,,,RR27,"LINESTRING (10.9909985 36.7772474, 10.9908168 36.7771175, 10.9907115 36.777046, 10.9905277 36.7769343, 10.9903527 36.7768425, 10.9899672 36.7766674, 10.9899393 36.7766601)",,,
1229582600,trunk,True,False,23.636,,,RR27,"LINESTRING (10.9911835 36.7773998, 10.9909985 36.7772474)",,,
399539704,trunk_link,True,False,27.808000000000003,,,,"LINESTRING (10.9911835 36.7773998, 10.9911241 36.7774005, 10.991065 36.7774063, 10.9910071 36.7774171, 10.990951 36.7774328, 10.9908811 36.7774532)",,,
97039021,trunk,True,False,33.275,,,RR27,"LINESTRING (10.9922826 36.7786841, 10.9920686 36.7784388)",,,
709224964,residential,False,False,55.854,,,,"LINESTRING (10.9922826 36.7786841, 10.9917944 36.7789994)",,,
1195402799,residential,False,True,48.862,,,,"LINESTRING (10.9927747 36.7792651, 10.9923484 36.7795417)",,,
97039021,trunk,True,False,43.108000000000004,,,RR27,"LINESTRING (10.9927747 36.7792651, 10.9926611 36.7791278, 10.9925074 36.7789419)",,,
97038885,secondary,False,False,48.4,شارع محمود زهيوة,50,RR45,"LINESTRING (10.993469 36.7816334, 10.9930775 36.7819353)",,,
97039173,residential,False,False,27.315,,,,"LINESTRING (10.993469 36.7816334, 10.9936529 36.78183)",,,
97039173,residential,False,True,123.731,,,,"LINESTRING (10.993469 36.7816334, 10.9924349 36.7808903)",,,
97038885,secondary,False,True,91.12899999999999,شارع محمود زهيوة,50,RR45,"LINESTRING (10.993469 36.7816334, 10.99368 36.7814464, 10.9938182 36.7812895, 10.9939858 36.7810854, 10.9940431 36.7809625)",,,
97039271,residential,False,False,44.626,,,,"LINESTRING (10.9965017 36.7816848, 10.9961928 36.7820008)",,,
709637371,residential,False,True,8.024,,,,"LINESTRING (10.9965017 36.7816848, 10.9965553 36.7816268)",,,
"[97039170, 97039238]",primary,True,False,103.007,,50,RR27,"LINESTRING (10.9965017 36.7816848, 10.9957587 36.7814517, 10.9954167 36.7813652)",2,,
97039214,residential,False,False,151.345,,,,"LINESTRING (10.9917082 36.7810353, 10.9928404 36.7820503)",,,
97039282,secondary,False,False,66.698,شارع الحبيب بورقيبة,50,RR43,"LINESTRING (10.9917082 36.7810353, 10.9924349 36.7808903)",,,
97039282,secondary,False,True,49.249,شارع الحبيب بورقيبة,50,RR43,"LINESTRING (10.9917082 36.7810353, 10.9911761 36.7811559)",,,
97038885,secondary,False,True,94.285,شارع محمود زهيوة,50,RR45,"LINESTRING (10.9901928 36.7842539, 10.9907968 36.7835575)",,,
97039520,unclassified,False,False,118.742,,,,"LINESTRING (10.9901928 36.7842539, 10.991064 36.7850623)",,,
97038885,secondary,False,False,54.242000000000004,شارع محمود زهيوة,50,RR45,"LINESTRING (10.9901928 36.7842539, 10.9900979 36.7843711, 10.9900349 36.7845021, 10.9899866 36.7847062)",,,
700993883,residential,False,True,29.772,,,,"LINESTRING (10.9901928 36.7842539, 10.9899396 36.7840897, 10.989933 36.7840854)",,,
97039371,residential,False,True,41.304,,,,"LINESTRING (10.9886693 36.7812691, 10.9886521 36.7816403)",,,
97039317,residential,False,True,76.724,,,,"LINESTRING (10.9886693 36.7812691, 10.9892996 36.7814773, 10.9894616 36.7815396)",,,
97039371,residential,False,False,150.852,,,,"LINESTRING (10.9886693 36.7812691, 10.9886817 36.7812465, 10.9887005 36.7812095, 10.9887702 36.7811579, 10.989027 36.7809984, 10.9893697 36.7807836, 10.9898066 36.7805544, 10.9899209 36.7804877, 10.9899882 36.7804347)",,,
97038877,secondary,False,False,82.95400000000001,طريق تونس,,RR43,"LINESTRING (10.9894616 36.7815396, 10.9899933 36.7814238, 10.9903609 36.7813453)",,,
97038877,secondary,False,True,64.189,طريق تونس,,RR43,"LINESTRING (10.9894616 36.7815396, 10.989099 36.7816013, 10.9887534 36.7816459)",,,
97039317,residential,False,False,76.724,,,,"LINESTRING (10.9894616 36.7815396, 10.9892996 36.7814773, 10.9886693 36.7812691)",,,
709291027,residential,False,True,63.462999999999994,,,,"LINESTRING (10.9894616 36.7815396, 10.9896252 36.7818013, 10.9896138 36.7818475, 10.9895742 36.781912, 10.9894287 36.7820203)",,,
"[97039371, 97039380, 97038900]",residential,False,False,77.91399999999999,,,,"LINESTRING (10.9903123 36.7801911, 10.9906142 36.7799522, 10.9907088 36.7798851, 10.990792 36.7798094, 10.9909029 36.7797352, 10.9909526 36.779719)",,yes,
97039371,residential,False,True,39.59,,,,"LINESTRING (10.9903123 36.7801911, 10.9901107 36.7803384, 10.9899882 36.7804347)",,,
709620530,residential,False,False,149.75400000000002,,,,"LINESTRING (10.9903123 36.7801911, 10.9906357 36.7804753, 10.9907095 36.7805553, 10.9907356 36.7805881, 10.9907443 36.7806139, 10.990747 36.78063, 10.9907423 36.7806547, 10.9907356 36.7806767, 10.9906934 36.7807696, 10.9905023 36.7810865, 10.9903609 36.7813453)",,,
97039302,tertiary,False,False,26.039,نهج عبد القادر زهيوة,50,,"LINESTRING (10.9898056 36.7789156, 10.9899625 36.778718)",,,
97039302,tertiary,False,True,30.84,نهج عبد القادر زهيوة,50,,"LINESTRING (10.9898056 36.7789156, 10.9896433 36.7791606)",,,
708959013,residential,False,False,81.21600000000001,,,,"LINESTRING (10.9898056 36.7789156, 10.9900255 36.778986, 10.9901985 36.7790768, 10.9904063 36.7791895, 10.9905887 36.7792841)",,,
97038869,secondary,True,False,18.351,,,RR45,"LINESTRING (10.9950184 36.7814151, 10.9949205 36.7814474, 10.994824 36.7814689)",,,
97038873,residential,False,True,44.502,,,,"LINESTRING (10.98885 36.7825542, 10.9884752 36.7822895)",,,
97039044,residential,False,False,39.882,,,,"LINESTRING (10.98885 36.7825542, 10.9892115 36.7823425)",,,
97039044,residential,False,True,40.386,,,,"LINESTRING (10.98885 36.7825542, 10.9885208 36.782804)",,,
97038885,secondary,False,True,54.242000000000004,شارع محمود زهيوة,50,RR45,"LINESTRING (10.9899866 36.7847062, 10.9900349 36.7845021, 10.9900979 36.7843711, 10.9901928 36.7842539)",,,
709608449,residential,False,True,39.259,,,,"LINESTRING (10.9899866 36.7847062, 10.9895893 36.7846024, 10.9895675 36.7845967)",,,
