osmid,oneway,lanes,name,highway,reversed,length,geometry,width
403734707,True,2,Carrera 5,secondary,False,41.995,"LINESTRING (-73.9484919 4.4057935, -73.9487387 4.40608)",
816935028,False,,,secondary_link,True,24.303,"LINESTRING (-73.9484919 4.4057935, -73.9487107 4.4057801)",
80854360,False,,Carrera 6,residential,False,69.47,"LINESTRING (-73.9478642 4.4066199, -73.947241 4.406685)",
80854360,False,,Carrera 6,residential,True,58.065,"LINESTRING (-73.9478642 4.4066199, -73.948387 4.4065886)",
80854371,False,,Calle 4A,residential,True,75.392,"LINESTRING (-73.9478642 4.4066199, -73.9478768 4.4069326, -73.9478833 4.4072976)",
80854370,False,,Carrera 6A,residential,False,54.802,"LINESTRING (-73.9473893 4.407315, -73.9478833 4.4072976)",
80854370,False,,Carrera 6A,residential,True,70.225,"LINESTRING (-73.9473893 4.407315, -73.9467578 4.4073641)",
80854382,False,,Calle 4,residential,False,45.049,"LINESTRING (-73.9473893 4.407315, -73.9474058 4.4077198)",
80854382,False,,Calle 4,residential,True,71.956,"LINESTRING (-73.9473893 4.407315, -73.947241 4.406685)",
816935035,False,2,Calle 2,tertiary,False,65.058,"LINESTRING (-73.9456502 4.4028717, -73.9456219 4.4034561)",5
816935035,False,2,Calle 2,tertiary,True,45.583,"LINESTRING (-73.9456502 4.4028717, -73.9456808 4.4024629)",5
816939772,False,,Carrera 1A,residential,False,46.995000000000005,"LINESTRING (-73.9456502 4.4028717, -73.9458076 4.4028504, -73.9459645 4.4028524, -73.9460718 4.4028658)",
816939771,False,,Calle 1,residential,False,63.251000000000005,"LINESTRING (-73.9446187 4.405986, -73.9447243 4.4055482, -73.944721 4.4054297)",
80854370,False,,Carrera 6A,residential,False,70.225,"LINESTRING (-73.9467578 4.4073641, -73.9473893 4.407315)",
80859341,False,,Calle 3,residential,False,16.385,"LINESTRING (-73.9467578 4.4073641, -73.9467378 4.4075101)",
80859341,False,,Calle 3,residential,True,70.373,"LINESTRING (-73.9467578 4.4073641, -73.9466693 4.4067374)",
