osmid,oneway,name,highway,reversed,length,geometry
193417424,False,,residential,False,152.139,"LINESTRING (12.7702135 26.5892947, 12.7714181 26.5884511)"
345706139,True,,tertiary,False,134.059,"LINESTRING (12.7702135 26.5892947, 12.7704137 26.5892703, 12.7715378 26.5890702)"
193417418,False,,residential,True,182.121,"LINESTRING (12.7743537 26.591445, 12.7740062 26.5898369)"
194836088,False,,residential,True,63.577,"LINESTRING (12.7743537 26.591445, 12.774458 26.5920091)"
194836089,False,,residential,True,50.193,"LINESTRING (12.7743537 26.591445, 12.7739128 26.5916648)"
194040924,False,,residential,False,57.126,"LINESTRING (12.771555 26.5891604, 12.7721203 26.5890688)"
345706137,False,,tertiary,False,10.175,"LINESTRING (12.771555 26.5891604, 12.7715378 26.5890702)"
492613584,False,,residential,True,118.601,"LINESTRING (12.771555 26.5891604, 12.7717576 26.5902115)"
194038116,False,,residential,True,287.399,"LINESTRING (12.7700483 26.5893873, 12.7701337 26.5903072, 12.7701899 26.5911921, 12.7710561 26.5912244)"
345706140,True,,tertiary,False,151.953,"LINESTRING (12.7700483 26.5893873, 12.7702244 26.5893659, 12.770427 26.5893412, 12.771555 26.5891604)"
193413743,True,اوباري-غات,trunk,False,112.412,"LINESTRING (12.7742343 26.5879995, 12.7731235 26.5881874)"
194040927,False,,residential,True,39.837,"LINESTRING (12.7742343 26.5879995, 12.7743151 26.5883504)"
193413733,False,,residential,False,37.676,"LINESTRING (12.7732821 26.5888805, 12.7732092 26.588548)"
193413733,False,,residential,True,4.068,"LINESTRING (12.7732821 26.5888805, 12.77329 26.5889164)"
194040924,False,,residential,True,117.406,"LINESTRING (12.7732821 26.5888805, 12.7721203 26.5890688)"
194040925,False,,residential,True,111.969,"LINESTRING (12.7744717 26.5890727, 12.7733659 26.5892628)"
194040927,False,,residential,False,40.809,"LINESTRING (12.7744717 26.5890727, 12.7743936 26.5887124)"
193413733,False,,residential,False,39.25,"LINESTRING (12.7733659 26.5892628, 12.77329 26.5889164)"
193413733,False,,residential,True,74.421,"LINESTRING (12.7733659 26.5892628, 12.7735098 26.5899196)"
194040925,False,,residential,False,111.969,"LINESTRING (12.7733659 26.5892628, 12.7744717 26.5890727)"
193413742,False,,residential,True,50.209,"LINESTRING (12.7740062 26.5898369, 12.7735098 26.5899196)"
193417418,False,,residential,False,182.121,"LINESTRING (12.7740062 26.5898369, 12.7743537 26.591445)"
193417416,False,,residential,True,43.836,"LINESTRING (12.7723661 26.5867412, 12.772446 26.5871289)"
194836111,False,,residential,True,119.872,"LINESTRING (12.7723661 26.5867412, 12.771191 26.5869818)"
194836068,False,,residential,True,145.89,"LINESTRING (12.7706175 26.5871155, 12.7708439 26.5884118)"
194836111,False,,residential,False,58.933,"LINESTRING (12.7706175 26.5871155, 12.771191 26.5869818)"
194836111,False,,residential,True,116.214,"LINESTRING (12.7706175 26.5871155, 12.7695012 26.587425)"
194836111,False,,residential,False,116.214,"LINESTRING (12.7695012 26.587425, 12.7706175 26.5871155)"
194836111,False,,residential,True,24.137,"LINESTRING (12.7695012 26.587425, 12.7692794 26.5875132)"
492596530,False,,residential,False,88.48400000000001,"LINESTRING (12.7695012 26.587425, 12.7695188 26.5872779, 12.7692498 26.5866764)"
24039814,False,,residential,False,52.122,"LINESTRING (12.7678102 26.5879287, 12.7677971 26.5883973)"
194836111,False,,residential,False,155.02,"LINESTRING (12.7678102 26.5879287, 12.7679959 26.5879471, 12.7692794 26.5875132)"
194040927,False,,residential,False,39.837,"LINESTRING (12.7743151 26.5883504, 12.7742343 26.5879995)"
194040927,False,,residential,True,35.826,"LINESTRING (12.7743151 26.5883504, 12.7743837 26.5886667)"
194836069,False,,residential,True,112.139,"LINESTRING (12.7743151 26.5883504, 12.7732092 26.588548)"
194836061,False,,residential,True,77.968,"LINESTRING (12.7719559 26.5883832, 12.7721203 26.5890688)"
345706135,True,,tertiary,False,53.865,"LINESTRING (12.7719559 26.5883832, 12.7714239 26.5884745)"
194836068,False,,residential,False,145.89,"LINESTRING (12.7708439 26.5884118, 12.7706175 26.5871155)"
193413733,False,,residential,False,32.673,"LINESTRING (12.7732092 26.588548, 12.7731061 26.588269)"
193413733,False,,residential,True,37.676,"LINESTRING (12.7732092 26.588548, 12.7732821 26.5888805)"
194836069,False,,residential,False,112.139,"LINESTRING (12.7732092 26.588548, 12.7743151 26.5883504)"
194040927,False,,residential,False,35.826,"LINESTRING (12.7743837 26.5886667, 12.7743151 26.5883504)"
194040927,False,,residential,True,5.176,"LINESTRING (12.7743837 26.5886667, 12.7743936 26.5887124)"
194040927,False,,residential,False,5.176,"LINESTRING (12.7743936 26.5887124, 12.7743837 26.5886667)"
194040927,False,,residential,True,40.809,"LINESTRING (12.7743936 26.5887124, 12.7744717 26.5890727)"
194836067,False,,residential,True,112.057,"LINESTRING (12.7743936 26.5887124, 12.77329 26.5889164)"
24039814,False,,residential,True,38.219,"LINESTRING (12.7677875 26.5887409, 12.7677971 26.5883973)"
194836101,False,,residential,False,210.885,"LINESTRING (12.7677875 26.5887409, 12.7656668 26.5887618)"
24039814,False,,residential,False,66.351,"LINESTRING (12.7677875 26.5887409, 12.7677807 26.5889812, 12.7677202 26.5893334)"
