osmid,highway,oneway,reversed,length,ref,geometry,name,bridge
203962554,residential,False,True,130.608,,"LINESTRING (13.5044052 9.3850045, 13.5038951 9.3860658)",,
732253720,secondary,False,False,18.155,D16,"LINESTRING (13.5044052 9.3850045, 13.5042398 9.3849993)",,
732253720,secondary,False,True,41.882,D16,"LINESTRING (13.5044052 9.3850045, 13.5047868 9.3849935)",,
90301289,residential,False,False,375.493,,"LINESTRING (13.4986085 9.3827996, 13.50203 9.3828882)",,
90301276,residential,False,False,76.28,,"LINESTRING (13.4986085 9.3827996, 13.4986195 9.3824236, 13.4986252 9.3823113, 13.4986353 9.3822333, 13.4986427 9.3821823, 13.4986581 9.3821168)",,
90301276,residential,False,True,70.07,,"LINESTRING (13.4986085 9.3827996, 13.4985834 9.383175, 13.4985749 9.3834288)",,
"[257087800, 628508289, 628508284]",trunk,False,True,123.934,N1,"LINESTRING (13.4966166 9.3829759, 13.4968906 9.3831746, 13.4970696 9.383307, 13.4975396 9.383618)",Garoua-Maroua,yes
90301286,residential,False,True,116.194,,"LINESTRING (13.5021698 9.3875861, 13.5020645 9.3876992, 13.5020062 9.387776, 13.5019726 9.3878468, 13.5019485 9.3879255, 13.5017627 9.3885335)",,
257087800,trunk,False,False,184.898,N1,"LINESTRING (13.5021698 9.3875861, 13.5016762 9.3867373, 13.5015542 9.3865415, 13.5014328 9.3863655, 13.5013436 9.3862524, 13.5012759 9.3861804)",Garoua-Maroua,
257087800,trunk,False,True,94.842,N1,"LINESTRING (13.5021698 9.3875861, 13.5023055 9.3878252, 13.502592 9.3883304)",Garoua-Maroua,
90301292,residential,False,False,24.735,,"LINESTRING (13.4975396 9.383618, 13.4977341 9.3835055)",,
257087800,trunk,False,True,13.116,N1,"LINESTRING (13.4975396 9.383618, 13.4976397 9.3836825)",Garoua-Maroua,
"[257087800, 628508289, 628508284]",trunk,False,False,123.934,N1,"LINESTRING (13.4975396 9.383618, 13.4970696 9.383307, 13.4968906 9.3831746, 13.4966166 9.3829759)",Garoua-Maroua,yes
90301299,residential,False,True,62.694,,"LINESTRING (13.5018341 9.3863819, 13.5013305 9.3861154)",,
732252686,unclassified,False,True,54.738,,"LINESTRING (13.5018341 9.3863819, 13.5018559 9.3858901)",,
90301299,residential,False,False,191.715,,"LINESTRING (13.5018341 9.3863819, 13.5027766 9.3868478, 13.5034056 9.3871356)",,
203962560,residential,False,False,372.382,,"LINESTRING (13.4986581 9.3821168, 13.5020497 9.3822506)",,
