osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,junction
436597753,True,D68,secondary,False,66.976,"LINESTRING (10.5241027 5.1392641, 10.5244871 5.1387991)",,,
243107685,False,D68,secondary,True,40.0,"LINESTRING (10.5241027 5.1392641, 10.523911 5.1394722, 10.5238637 5.1395335)",,,
313215371,False,D68,secondary,False,186.94,"LINESTRING (10.5241027 5.1392641, 10.5244423 5.139769, 10.5244889 5.1398496, 10.5245376 5.1399547, 10.5246422 5.1402579, 10.5247749 5.1406733, 10.5248125 5.1407748)",,,
321117338,False,,residential,True,123.5,"LINESTRING (10.5241027 5.1392641, 10.5239378 5.1391756, 10.5238536 5.1391399, 10.52369 5.1390958, 10.5234553 5.1390811, 10.5233252 5.1391078, 10.5232206 5.1391586, 10.523079 5.1392732)",,,
1110238065,False,,residential,False,150.938,"LINESTRING (10.5226857 5.1388227, 10.5217275 5.139788)",,,
232882495,False,,residential,True,218.362,"LINESTRING (10.5226857 5.1388227, 10.5228821 5.1386857, 10.5231143 5.1385539, 10.5233507 5.1384814, 10.5235885 5.1384559, 10.5238603 5.138492, 10.5241044 5.1385682, 10.5243029 5.1386737, 10.5244871 5.1387991)",,,
321117340,False,,residential,False,61.679,"LINESTRING (10.5226857 5.1388227, 10.5224279 5.1384854, 10.5223555 5.1383763)",,,
321117340,False,,residential,True,66.42599999999999,"LINESTRING (10.5226857 5.1388227, 10.5227626 5.1389108, 10.5228647 5.1390305, 10.5229545 5.139144, 10.523079 5.1392732)",,,
321117340,False,,residential,True,67.287,"LINESTRING (10.5211678 5.136796, 10.521503 5.1373007)",,,
"[243107746, 312966259]",False,,residential,False,137.235,"LINESTRING (10.5211678 5.136796, 10.521375 5.1367022, 10.5221608 5.1364179, 10.5223254 5.1363572)",,,
321117340,False,,residential,False,144.083,"LINESTRING (10.5211678 5.136796, 10.5210841 5.13669, 10.5203803 5.1357646)",,,
"[1110235724, 312966261]",False,,residential,False,75.28899999999999,"LINESTRING (10.5211678 5.136796, 10.5212612 5.1366448, 10.5212544 5.1364589, 10.5212387 5.1363219, 10.5212161 5.1361477)",,,
321117345,False,,tertiary,True,5.651,"LINESTRING (10.5203803 5.1357646, 10.5203979 5.1357169)",,,
321117340,False,,residential,True,144.083,"LINESTRING (10.5203803 5.1357646, 10.5210841 5.13669, 10.5211678 5.136796)",,,
1113319692,False,,tertiary,False,129.27800000000002,"LINESTRING (10.5203803 5.1357646, 10.5203143 5.1359913, 10.5202769 5.1361118, 10.5202246 5.1363629, 10.5201754 5.1369047)",,,
77112993,False,,residential,False,64.312,"LINESTRING (10.5271198 5.1413987, 10.5271876 5.141249, 10.5272359 5.1410806, 10.5272952 5.140849)",,,
436061089,True,,primary,False,72.304,"LINESTRING (10.5271198 5.1413987, 10.5272198 5.1413765, 10.5272909 5.1413652, 10.527444 5.141358, 10.5276626 5.1413714, 10.5277678 5.1413854)",2,Main Road,
451858945,True,,tertiary,False,3.238,"LINESTRING (10.5252579 5.1411848, 10.5252868 5.1411804)",,,roundabout
77112987,False,,tertiary,False,117.532,"LINESTRING (10.526353 5.1365215, 10.5264451 5.1375745)",,,
243106306,False,,residential,True,85.168,"LINESTRING (10.526353 5.1365215, 10.5261067 5.136446, 10.5256169 5.1362998)",,,
436597750,False,D68,secondary,False,57.400000000000006,"LINESTRING (10.526353 5.1365215, 10.5265304 5.1363122, 10.5266881 5.1361277)",,,
77112968,False,,tertiary,False,59.249,"LINESTRING (10.5264379 5.1390931, 10.5261127 5.1395162)",,,
436597767,False,,residential,False,16.393,"LINESTRING (10.5264379 5.1390931, 10.5265379 5.1392018)",,,
