osmid,lanes,highway,maxspeed,oneway,reversed,length,ref,name,geometry,bridge
273177441,2,residential,35,False,False,66.094,,,"LINESTRING (-86.8117847 12.9652567, -86.8119204 12.9658362)",
273177441,2,residential,35,False,True,123.406,,,"LINESTRING (-86.8117847 12.9652567, -86.811552 12.9641703)",
1147070501,2,tertiary,65,False,True,93.489,NN-270,NN-270,"LINESTRING (-86.8117847 12.9652567, -86.8126262 12.9650712)",
273177432,2,residential,35,False,False,87.797,,,"LINESTRING (-86.8191032 12.9627225, -86.8193247 12.963482)",
592146680,2,secondary,65,False,False,9.599,NN-270,1a Calle SO,"LINESTRING (-86.8191032 12.9627225, -86.8190206 12.9627537)",
592146680,2,secondary,65,False,True,99.488,NN-270,1a Calle SO,"LINESTRING (-86.8191032 12.9627225, -86.8199757 12.962444)",
592146680,2,secondary,65,False,False,25.646,NN-270,1a Calle SO,"LINESTRING (-86.8175948 12.9632494, -86.817372 12.9633272)",
592146680,2,secondary,65,False,True,164.039,NN-270,1a Calle SO,"LINESTRING (-86.8175948 12.9632494, -86.8190206 12.9627537)",
273177439,2,residential,35,False,False,102.398,,,"LINESTRING (-86.8175948 12.9632494, -86.8175471 12.9631264, -86.8175109 12.963013, -86.817366 12.9623574)",
273177391,2,residential,35,False,True,75.643,,,"LINESTRING (-86.817372 12.9633272, -86.817498 12.9639963)",
592146680,2,secondary,65,False,False,85.541,NN-270,1a Calle SO,"LINESTRING (-86.817372 12.9633272, -86.8166036 12.9635035)",
592146680,2,secondary,65,False,True,25.646,NN-270,1a Calle SO,"LINESTRING (-86.817372 12.9633272, -86.8175948 12.9632494)",
273177418,2,residential,35,False,False,75.494,,,"LINESTRING (-86.8166036 12.9635035, -86.8167347 12.9641703)",
273177418,2,residential,35,False,True,84.864,,,"LINESTRING (-86.8166036 12.9635035, -86.8164345 12.9627583)",
592146680,2,secondary,65,False,False,96.991,NN-270,1a Calle SO,"LINESTRING (-86.8166036 12.9635035, -86.8157297 12.9636921)",
592146680,2,secondary,65,False,True,85.541,NN-270,1a Calle SO,"LINESTRING (-86.8166036 12.9635035, -86.817372 12.9633272)",
592146680,2,secondary,65,False,False,69.019,NN-270,1a Calle SO,"LINESTRING (-86.8157297 12.9636921, -86.8151093 12.9638326)",
592146680,2,secondary,65,False,True,96.991,NN-270,1a Calle SO,"LINESTRING (-86.8157297 12.9636921, -86.8166036 12.9635035)",
592149729,2,residential,35,False,True,73.677,,,"LINESTRING (-86.8157297 12.9636921, -86.8158836 12.9643375)",
764041810,2,residential,35,False,False,83.159,,1a Avenida SO,"LINESTRING (-86.8157297 12.9636921, -86.8155858 12.9629575)",
273177437,2,residential,35,False,False,76.422,,,"LINESTRING (-86.8142003 12.9640195, -86.8143362 12.9646939)",
273177437,2,residential,35,False,True,98.108,,,"LINESTRING (-86.8142003 12.9640195, -86.814026 12.9631537)",
592145739,2,tertiary,65,False,False,93.758,NN-270,1a Avenida SE,"LINESTRING (-86.8142003 12.9640195, -86.8133624 12.9642298)",
592145739,2,tertiary,65,False,True,49.538,NN-270,1a Avenida SE,"LINESTRING (-86.8142003 12.9640195, -86.8146476 12.9639275)",
273177430,2,residential,35,False,False,93.725,,,"LINESTRING (-86.8133624 12.9642298, -86.8132117 12.9633998)",
273177430,2,residential,35,False,True,73.693,,,"LINESTRING (-86.8133624 12.9642298, -86.8134809 12.9648824)",
592145739,2,tertiary,65,False,False,95.039,NN-270,1a Avenida SE,"LINESTRING (-86.8133624 12.9642298, -86.8125113 12.9644362)",
592145739,2,tertiary,65,False,True,93.758,NN-270,1a Avenida SE,"LINESTRING (-86.8133624 12.9642298, -86.8142003 12.9640195)",
363977053,2,tertiary,65,False,False,71.698,270,NN-270,"LINESTRING (-86.8125113 12.9644362, -86.8126262 12.9650712)",
592145739,2,tertiary,65,False,True,95.039,NN-270,1a Avenida SE,"LINESTRING (-86.8125113 12.9644362, -86.8133624 12.9642298)",
273177450,2,residential,35,False,False,45.164,,,"LINESTRING (-86.8125113 12.9644362, -86.8124498 12.9642208, -86.8124058 12.9641048, -86.8123618 12.9640644)",
273177372,2,residential,35,False,False,94.965,,Calle Central,"LINESTRING (-86.8126262 12.9650712, -86.8134809 12.9648824)",
363977053,2,tertiary,65,False,True,71.698,270,NN-270,"LINESTRING (-86.8126262 12.9650712, -86.8125113 12.9644362)",
592145724,2,residential,35,False,True,66.668,,,"LINESTRING (-86.8126262 12.9650712, -86.8127605 12.9656563)",
1147070501,2,tertiary,65,False,False,93.489,NN-270,NN-270,"LINESTRING (-86.8126262 12.9650712, -86.8117847 12.9652567)",
273177443,2,residential,35,False,True,125.394,,,"LINESTRING (-86.8112368 12.9669013, -86.8114718 12.9680055)",
363977054,2,tertiary,65,False,True,99.781,NN-270,NN-270,"LINESTRING (-86.8112368 12.9669013, -86.8110466 12.9660233)",
592145749,2,residential,35,False,False,94.482,,2a Avenida NE,"LINESTRING (-86.8112368 12.9669013, -86.812085 12.9667044)",
764041810,2,residential,35,False,True,98.758,,1a Avenida SO,"LINESTRING (-86.8155651 12.9612554, -86.8155108 12.9613992, -86.8154513 12.9618934, -86.8154384 12.9621304)",
1094543855,,residential,,False,False,123.67999999999999,,,"LINESTRING (-86.8155651 12.9612554, -86.8148844 12.9616499, -86.8146239 12.9618768)",
273177370,2,residential,35,False,False,50.693,,Avenida Central,"LINESTRING (-86.8145483 12.9614269, -86.8146239 12.9618768)",
273177439,2,residential,35,False,True,70.673,,,"LINESTRING (-86.8173919 12.9614925, -86.8173764 12.9621279)",
592130027,2,residential,35,False,False,17.766,,,"LINESTRING (-86.8173919 12.9614925, -86.8173738 12.9616513)",
"[592130028, 592130029]",2,residential,35,False,True,169.66000000000003,,"['5a Avenida SO', '3a Calle SO']","LINESTRING (-86.8173919 12.9614925, -86.8174954 12.9614849, -86.817617 12.9614849, -86.8185537 12.9613033, -86.8185847 12.9612958, -86.8186649 12.9616311)",
1094543839,,residential,,False,True,130.643,,,"LINESTRING (-86.8186649 12.9616311, -86.8190206 12.9627537)",
273177368,2,residential,35,False,True,150.596,,2a Avenida SO,"LINESTRING (-86.8186649 12.9616311, -86.8180595 12.9618959, -86.8179171 12.9619539, -86.8174695 12.9621178, -86.8173764 12.9621279)",
