osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge
23969392,CC,Carretera Panamericana,primary,50,False,True,106.096,,"LINESTRING (-84.0973065 22.164992, -84.098294 22.1647199)",
807879755,1-1,Carretera de Guane,secondary,50,False,False,63.193,2,"LINESTRING (-84.0973065 22.164992, -84.0974826 22.1655364)",
23969027,CC,Carretera Panamericana,primary,50,False,False,95.738,,"LINESTRING (-84.0973065 22.164992, -84.0974339 22.1648139, -84.0975482 22.164602, -84.0977406 22.1642322)",
111458341,,,tertiary,,False,True,202.661,,"LINESTRING (-84.0973065 22.164992, -84.0962333 22.1652905, -84.0959395 22.1653824, -84.0954254 22.1655272)",
195723690,,,residential,,False,False,99.695,,"LINESTRING (-84.0981725 22.1627375, -84.0991169 22.1629347)",
"[280980777, 280980778, 23969027]",CC,Carretera Panamericana,primary,50,False,False,217.561,,"LINESTRING (-84.0981725 22.1627375, -84.0982006 22.1620989, -84.0982024 22.1620066, -84.0982662 22.1607829)",yes
23969027,CC,Carretera Panamericana,primary,50,False,True,99.92,,"LINESTRING (-84.0981725 22.1627375, -84.0981548 22.1631181, -84.0981239 22.1633267, -84.0980819 22.1634781, -84.0980257 22.1636196)",
111458341,,,tertiary,,False,False,190.852,,"LINESTRING (-84.093857 22.1664035, -84.0944829 22.1659194, -84.0948233 22.165731, -84.0950995 22.1656285, -84.0954254 22.1655272)",
130381091,,,residential,,False,True,85.82400000000001,,"LINESTRING (-84.093857 22.1664035, -84.0938974 22.1664402, -84.0939112 22.1664704, -84.0939072 22.166535, -84.0938378 22.1670231, -84.0938267 22.1671523)",
823007700,,,residential,,False,True,49.442,,"LINESTRING (-84.1001411 22.1605479, -84.1004021 22.1609211)",
130381009,,,residential,,False,True,196.068,,"LINESTRING (-84.1001411 22.1605479, -84.0996575 22.1605795, -84.0993168 22.1606362, -84.0990221 22.1607411, -84.0982662 22.1607829)",
130381009,,,residential,,False,False,196.06799999999998,,"LINESTRING (-84.0982662 22.1607829, -84.0990221 22.1607411, -84.0993168 22.1606362, -84.0996575 22.1605795, -84.1001411 22.1605479)",
"[280980777, 280980778, 23969027]",CC,Carretera Panamericana,primary,50,False,True,217.56099999999998,,"LINESTRING (-84.0982662 22.1607829, -84.0982024 22.1620066, -84.0982006 22.1620989, -84.0981725 22.1627375)",yes
23969392,CC,Carretera Panamericana,primary,50,False,False,153.525,,"LINESTRING (-84.1019903 22.1632004, -84.1018035 22.1633317, -84.1009405 22.1640236, -84.1008314 22.1640569)",
23969392,CC,Carretera Panamericana,primary,50,False,False,271.578,,"LINESTRING (-84.1008314 22.1640569, -84.1002336 22.1642394, -84.0996188 22.1643917, -84.098294 22.1647199)",
23969392,CC,Carretera Panamericana,primary,50,False,True,153.525,,"LINESTRING (-84.1008314 22.1640569, -84.1009405 22.1640236, -84.1018035 22.1633317, -84.1019903 22.1632004)",
"[195723688, 130380915]",,,residential,,False,"[False, True]",373.222,,"LINESTRING (-84.1008314 22.1640569, -84.0999724 22.1620893, -84.1004021 22.1609211)",
23969027,CC,Carretera Panamericana,primary,50,False,False,74.303,,"LINESTRING (-84.0977406 22.1642322, -84.097931 22.1638715, -84.0980257 22.1636196)",
23969027,CC,Carretera Panamericana,primary,50,False,True,95.738,,"LINESTRING (-84.0977406 22.1642322, -84.0975482 22.164602, -84.0974339 22.1648139, -84.0973065 22.164992)",
23969392,CC,Carretera Panamericana,primary,50,False,False,106.096,,"LINESTRING (-84.098294 22.1647199, -84.0973065 22.164992)",
23969392,CC,Carretera Panamericana,primary,50,False,True,271.57800000000003,,"LINESTRING (-84.098294 22.1647199, -84.0996188 22.1643917, -84.1002336 22.1642394, -84.1008314 22.1640569)",
130381038,CC,Carretera Panamericana,primary_link,,True,False,92.715,,"LINESTRING (-84.098294 22.1647199, -84.0980381 22.1647269, -84.097916 22.1646461, -84.0978079 22.1645072, -84.0977451 22.1643651, -84.0977406 22.1642322)",
130380924,,,residential,,False,True,232.808,,"LINESTRING (-84.1002788 22.1649249, -84.0987834 22.1657978, -84.098367 22.1660424)",
111458341,,,tertiary,,False,False,202.661,,"LINESTRING (-84.0954254 22.1655272, -84.0959395 22.1653824, -84.0962333 22.1652905, -84.0973065 22.164992)",
111458341,,,tertiary,,False,True,190.85199999999998,,"LINESTRING (-84.0954254 22.1655272, -84.0950995 22.1656285, -84.0948233 22.165731, -84.0944829 22.1659194, -84.093857 22.1664035)",
"[823007689, 823007690]",,,residential,,False,False,168.13199999999998,,"LINESTRING (-84.0954254 22.1655272, -84.0958606 22.1666808, -84.0955947 22.1668341)",
807879755,1-1,Carretera de Guane,secondary,50,False,False,97.573,2,"LINESTRING (-84.0974826 22.1655364, -84.0977049 22.1663894)",
807879755,1-1,Carretera de Guane,secondary,50,False,True,63.193,2,"LINESTRING (-84.0974826 22.1655364, -84.0973065 22.164992)",
130381065,,,residential,,False,True,107.544,,"LINESTRING (-84.0974826 22.1655364, -84.0980025 22.1657799, -84.098367 22.1660424)",
130380924,,,residential,,False,False,232.808,,"LINESTRING (-84.098367 22.1660424, -84.0987834 22.1657978, -84.1002788 22.1649249)",
130381065,,,residential,,False,False,107.544,,"LINESTRING (-84.098367 22.1660424, -84.0980025 22.1657799, -84.0974826 22.1655364)",
