osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width
304881846,Carretera San Andrés - Yaraguana,tertiary,60,False,False,100.977,"LINESTRING (-76.4405916 20.9808359, -76.4396453 20.9806262)",
304881846,Carretera San Andrés - Yaraguana,tertiary,60,False,True,67.524,"LINESTRING (-76.4405916 20.9808359, -76.4409758 20.9810306, -76.4411428 20.9811544)",
456135312,25,residential,,False,True,70.618,"LINESTRING (-76.4405916 20.9808359, -76.440622 20.9805988, -76.4409527 20.9803504)",
128198639,,tertiary,,False,True,70.657,"LINESTRING (-76.4396453 20.9806262, -76.4397199 20.9799946)",
304881846,Carretera San Andrés - Yaraguana,tertiary,60,False,True,100.977,"LINESTRING (-76.4396453 20.9806262, -76.4405916 20.9808359)",
762755903,Carretera Holguín - San Andrés,secondary,50,False,False,131.913,"LINESTRING (-76.4396453 20.9806262, -76.4383968 20.9804061)",3.5
128198631,,residential,,False,True,94.96,"LINESTRING (-76.4367543 20.9800654, -76.4369496 20.9792311)",
762755903,Carretera Holguín - San Andrés,secondary,50,False,True,91.888,"LINESTRING (-76.4367543 20.9800654, -76.4376179 20.9802462)",3.5
456135324,13,residential,,False,False,195.759,"LINESTRING (-76.4399919 20.9737553, -76.4397419 20.9740371, -76.4390844 20.9749499, -76.4390813 20.9752444)",
754444567,,tertiary,,False,False,67.738,"LINESTRING (-76.4399919 20.9737553, -76.4401594 20.9742158, -76.4401693 20.9743383)",
128198609,Frank Pais,tertiary,,False,False,29.927,"LINESTRING (-76.4444248 20.9747717, -76.4446866 20.9746591)",
128198585,Williams Aguilera,tertiary,,False,True,193.858,"LINESTRING (-76.4444248 20.9747717, -76.44391 20.9755373, -76.4435369 20.976301)",
770951446,Frank Pais,residential,,False,True,161.295,"LINESTRING (-76.4444248 20.9747717, -76.4433885 20.9753075, -76.4430217 20.9753445)",
128198627,Frank Pais,residential,,False,True,103.221,"LINESTRING (-76.4390813 20.9752444, -76.4400746 20.9752831)",
128198629,,residential,,False,False,99.985,"LINESTRING (-76.4390813 20.9752444, -76.4390279 20.9761422)",
456135324,13,residential,,False,True,195.759,"LINESTRING (-76.4390813 20.9752444, -76.4390844 20.9749499, -76.4397419 20.9740371, -76.4399919 20.9737553)",
128198627,Frank Pais,residential,,False,False,103.221,"LINESTRING (-76.4400746 20.9752831, -76.4390813 20.9752444)",
128198627,Frank Pais,residential,,False,True,52.995,"LINESTRING (-76.4400746 20.9752831, -76.4405848 20.9752969)",
128198639,,tertiary,,False,False,99.549,"LINESTRING (-76.4400746 20.9752831, -76.440035 20.9761776)",
754444567,,tertiary,,False,True,105.633,"LINESTRING (-76.4400746 20.9752831, -76.4401748 20.9744074, -76.4401693 20.9743383)",
128198623,Antonio Maceo,residential,,False,False,99.792,"LINESTRING (-76.4405848 20.9752969, -76.440543 20.9761935)",
128198623,Antonio Maceo,residential,,False,True,94.566,"LINESTRING (-76.4405848 20.9752969, -76.440607 20.9744467)",
128198627,Frank Pais,residential,,False,False,52.995,"LINESTRING (-76.4405848 20.9752969, -76.4400746 20.9752831)",
128198627,Frank Pais,residential,,False,True,73.172,"LINESTRING (-76.4405848 20.9752969, -76.4412891 20.9753204)",
128198611,,residential,,False,False,98.8,"LINESTRING (-76.4412891 20.9753204, -76.4412217 20.9762067)",
128198627,Frank Pais,residential,,False,False,73.172,"LINESTRING (-76.4412891 20.9753204, -76.4405848 20.9752969)",
128198627,Frank Pais,residential,,False,True,93.169,"LINESTRING (-76.4412891 20.9753204, -76.4421862 20.9753403)",
"[456135330, 128198611]",Sol,residential,,False,"[False, True]",147.614,"LINESTRING (-76.4412891 20.9753204, -76.4413013 20.974683, -76.440607 20.9744467)",
128198602,,residential,,False,False,100.272,"LINESTRING (-76.4421862 20.9753403, -76.4421439 20.9762412)",
128198627,Frank Pais,residential,,False,False,93.169,"LINESTRING (-76.4421862 20.9753403, -76.4412891 20.9753204)",
128198627,Frank Pais,residential,,False,True,33.786,"LINESTRING (-76.4421862 20.9753403, -76.4425116 20.9753419)",
128198607,José de la Luz y Caballero,residential,,False,False,103.861,"LINESTRING (-76.4430217 20.9753445, -76.4428596 20.9762662)",
128198627,Frank Pais,residential,,False,False,52.963,"LINESTRING (-76.4430217 20.9753445, -76.4425116 20.9753419)",
770951446,Frank Pais,residential,,False,False,161.295,"LINESTRING (-76.4430217 20.9753445, -76.4433885 20.9753075, -76.4444248 20.9747717)",
128198631,,residential,,False,False,101.394,"LINESTRING (-76.4374282 20.9760885, -76.437377 20.9769991)",
