osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry
432511741,Carretera a Los Reynaldos,secondary,60,False,True,25.844,,"LINESTRING (-75.4944882 20.1808633, -75.4943065 20.1810212)"
432511741,Carretera a Los Reynaldos,secondary,60,False,False,25.844,,"LINESTRING (-75.4943065 20.1810212, -75.4944882 20.1808633)"
"[377797354, 377857460, 432511741]","['Calle Central', 'Carretera a Los Reynaldos']",secondary,"['60', '50']",False,"[False, True]",223.168,yes,"LINESTRING (-75.4943065 20.1810212, -75.4937652 20.1814374, -75.493547 20.1816052, -75.4928955 20.1821684, -75.4927318 20.1823708)"
377857460,Calle Central,secondary,50,False,True,23.676,,"LINESTRING (-75.4927318 20.1823708, -75.4926065 20.1825483)"
1028937039,,unclassified,,False,False,18.949,,"LINESTRING (-75.4927318 20.1823708, -75.4925607 20.1823138)"
"[377797354, 377857460, 432511741]","['Calle Central', 'Carretera a Los Reynaldos']",secondary,"['60', '50']",False,"[False, True]",223.168,yes,"LINESTRING (-75.4927318 20.1823708, -75.4928955 20.1821684, -75.493547 20.1816052, -75.4937652 20.1814374, -75.4943065 20.1810212)"
982148854,,residential,,False,True,208.98399999999998,,"LINESTRING (-75.4882836 20.1850979, -75.489428 20.1856338, -75.4900795 20.1859291)"
983285649,Calle Central,secondary,,False,True,74.637,,"LINESTRING (-75.4903758 20.1853182, -75.4900795 20.1859291)"
377857460,Calle Central,secondary,50,False,False,127.862,,"LINESTRING (-75.4903758 20.1853182, -75.4905086 20.1852291, -75.4906116 20.1851862, -75.4909618 20.1850909, -75.4911375 20.1850216, -75.491338 20.1849022, -75.4914567 20.1848064)"
725844025,,residential,,False,True,108.14999999999999,,"LINESTRING (-75.4903758 20.1853182, -75.4904798 20.1851333, -75.490798 20.1844306)"
760431784,Calle Central,tertiary,,False,True,49.723,,"LINESTRING (-75.4900795 20.1859291, -75.4898886 20.1863388)"
983285649,Calle Central,secondary,,False,False,74.637,,"LINESTRING (-75.4900795 20.1859291, -75.4903758 20.1853182)"
753446512,,tertiary,,False,True,123.80199999999999,,"LINESTRING (-75.4900795 20.1859291, -75.4909322 20.1863044, -75.491138 20.1864282)"
982148854,,residential,,False,False,208.98399999999998,,"LINESTRING (-75.4900795 20.1859291, -75.489428 20.1856338, -75.4882836 20.1850979)"
727927733,,tertiary,,False,False,95.432,,"LINESTRING (-75.4922654 20.1860173, -75.4918782 20.1867948)"
727927732,,tertiary,,False,True,58.373,,"LINESTRING (-75.4922654 20.1860173, -75.49234 20.1860362, -75.4926864 20.18616, -75.4927914 20.1861949)"
"[394763721, 982148855]",,residential,,False,"[False, True]",166.81,,"LINESTRING (-75.4922654 20.1860173, -75.4914902 20.185774, -75.491138 20.1864282)"
