osmid,highway,oneway,reversed,length,maxspeed,ref,geometry,name
115428318,residential,False,True,110.24,,,"LINESTRING (-81.5656031 22.7666543, -81.5662101 22.765836)",
115428319,residential,False,False,97.167,,,"LINESTRING (-81.5656031 22.7666543, -81.5648039 22.7661847)",
211018382,residential,False,True,20.165,,,"LINESTRING (-81.5656031 22.7666543, -81.5656279 22.7668342)",
115428322,tertiary,False,True,108.511,50,,"LINESTRING (-81.5656615 22.7687693, -81.5666457 22.7691281)",
115428369,secondary,True,False,156.339,50,CS,"LINESTRING (-81.5656615 22.7687693, -81.5671425 22.7684347)",
115428313,tertiary,False,False,72.106,50,,"LINESTRING (-81.5692782 22.7654181, -81.5688941 22.7659613)",
115428313,tertiary,False,True,37.09,50,,"LINESTRING (-81.5692782 22.7654181, -81.5694758 22.7651387)",
115428352,residential,False,False,75.446,,,"LINESTRING (-81.5692782 22.7654181, -81.5691123 22.7655629, -81.5689405 22.7656267, -81.5687434 22.7656309, -81.5686268 22.7655893)",
115428298,residential,False,False,72.116,,,"LINESTRING (-81.5650434 22.7677248, -81.5656498 22.7680534)",
115428298,residential,False,True,20.108,,,"LINESTRING (-81.5650434 22.7677248, -81.5648743 22.7676332)",
211018384,residential,False,False,153.89600000000002,,,"LINESTRING (-81.5650434 22.7677248, -81.564915 22.7680307, -81.5644772 22.7690065)",
211018384,residential,False,True,86.16900000000001,,,"LINESTRING (-81.5650434 22.7677248, -81.5652192 22.7673717, -81.565467 22.7670601)",
115428322,tertiary,False,False,108.511,50,,"LINESTRING (-81.5666457 22.7691281, -81.5656615 22.7687693)",
115428322,tertiary,False,True,114.561,50,,"LINESTRING (-81.5666457 22.7691281, -81.5676791 22.7695199)",
115428340,residential,True,False,92.409,,,"LINESTRING (-81.5666457 22.7691281, -81.5671425 22.7684347)",
115428313,tertiary,False,False,132.841,50,,"LINESTRING (-81.5680288 22.7671851, -81.567314 22.7681815)",
115428313,tertiary,False,True,162.448,50,,"LINESTRING (-81.5680288 22.7671851, -81.5688941 22.7659613)",
115428362,tertiary,False,True,153.714,50,,"LINESTRING (-81.5680288 22.7671851, -81.5668606 22.7663187)",
730318231,residential,False,False,139.307,,,"LINESTRING (-81.5680288 22.7671851, -81.5690562 22.7680049)",
115428298,residential,False,False,20.108,,,"LINESTRING (-81.5648743 22.7676332, -81.5650434 22.7677248)",
