osmid,name,highway,oneway,reversed,length,ref,maxspeed,lanes,geometry,bridge
49494569,Avenida 99 (Medio),residential,False,False,87.512,,,,"LINESTRING (-82.0270657 22.8337154, -82.0277599 22.8332571)",
125658878,90 (Barroso),secondary,False,False,84.73,2-890,50,,"LINESTRING (-82.0270657 22.8337154, -82.0265878 22.8330936)",
125658878,90 (Barroso),secondary,False,True,81.874,2-890,50,,"LINESTRING (-82.0270657 22.8337154, -82.0275303 22.8343144)",
186194301,Avenida 77 (Real),secondary,True,False,49.29,,40,2,"LINESTRING (-82.0283593 22.8375216, -82.0288187 22.8373903)",
50734363,Avenida 77 (Real),secondary,False,True,93.43,2-900,50,2,"LINESTRING (-82.0283593 22.8375216, -82.027924 22.8376244, -82.0274837 22.8377544)",
186304183,86 (Habana),primary,False,True,133.615,2-860,50,2,"LINESTRING (-82.0283593 22.8375216, -82.0283716 22.8375572, -82.028384 22.8376025, -82.0285394 22.8380727, -82.0286051 22.8382385, -82.0287674 22.8386624)",
50734363,Avenida 77 (Real),secondary,False,False,91.336,2-900,50,2,"LINESTRING (-82.0240961 22.8415919, -82.0245239 22.8408713)",
50734363,Avenida 77 (Real),secondary,False,False,106.584,2-900,50,2,"LINESTRING (-82.0266825 22.8383656, -82.0274837 22.8377544)",
50734363,Avenida 77 (Real),secondary,False,True,89.116,2-900,50,2,"LINESTRING (-82.0266825 22.8383656, -82.0259941 22.8388553)",
194341358,76 (Pinillos),tertiary,False,False,88.366,,50,,"LINESTRING (-82.0266825 22.8383656, -82.0271741 22.8390185)",
"[1117084270, 194341358, 1117084271]",76 (Pinillos),tertiary,False,True,59.355999999999995,,50,,"LINESTRING (-82.0266825 22.8383656, -82.0265521 22.8381955, -82.0265074 22.8381363, -82.0263516 22.8379275)",yes
49494631,80 (Gras),residential,False,True,50.525,,,,"LINESTRING (-82.0274837 22.8377544, -82.0271726 22.8374019)",
50734363,Avenida 77 (Real),secondary,False,True,106.584,2-900,50,2,"LINESTRING (-82.0274837 22.8377544, -82.0266825 22.8383656)",
49494631,80 (Gras),residential,False,False,129.101,,,,"LINESTRING (-82.0274837 22.8377544, -82.027587 22.8382037, -82.0276749 22.8386644, -82.0277356 22.8388916)",
