osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed,ref,bridge,area,access
217865087,Avenida Jorge Julio Calzudes,residential,False,True,22.815,"LINESTRING (-82.8596204 8.2698132, -82.8597365 8.2696432)",,,,,,,
217865143,,residential,False,True,74.334,"LINESTRING (-82.8596204 8.2698132, -82.8599258 8.2699486, -82.8602342 8.2700923)",,,,,,,
231440210,Avenida Jorge Julio Calzudes,residential,False,False,132.827,"LINESTRING (-82.8596204 8.2698132, -82.8592469 8.2704371, -82.859016 8.2708471)",2,5,,,,,
217869877,Avenida Chiriquí,secondary,False,False,69.42,"LINESTRING (-82.8598061 8.272038, -82.8594909 8.2714972)",,,,,,,
217869968,Calle Corredor,residential,True,False,10.619,"LINESTRING (-82.8598061 8.272038, -82.8597625 8.2721232)",2,,40,,,,
217869877,Avenida Chiriquí,secondary,False,True,124.016,"LINESTRING (-82.8598061 8.272038, -82.8599347 8.2722734, -82.8600419 8.2726145, -82.8601228 8.2730984)",,,,,,,
217869663,Calle Puerto Armuelles,residential,True,False,3.616,"LINESTRING (-82.8593294 8.2719159, -82.8593004 8.2719006)",,,,,,,
190401803,Avenida Nacional,residential,True,False,50.207,"LINESTRING (-82.8593294 8.2719159, -82.8594744 8.2716043, -82.8594842 8.2715579, -82.8594909 8.2714972)",,,,,,,
190401798,Buena Vista (Spanish Town),residential,False,False,158.895,"LINESTRING (-82.8615718 8.2727137, -82.8617122 8.2728628, -82.862289 8.2734755, -82.8625084 8.273639, -82.8625908 8.2737215)",,,,,,,
222542438,Avenida Presidente Remón,residential,False,False,167.986,"LINESTRING (-82.8615718 8.2727137, -82.8613351 8.2730617, -82.8606755 8.2739362)",2,,,,,,
222542438,Avenida Presidente Remón,residential,False,True,246.27300000000002,"LINESTRING (-82.8615718 8.2727137, -82.8618321 8.2723195, -82.862059 8.2720285, -82.8621684 8.2719143, -82.8622578 8.2718394, -82.8630338 8.2712863, -82.863168 8.2712032)",2,,,,,,
190401803,Avenida Nacional,residential,True,False,79.648,"LINESTRING (-82.8590266 8.2725665, -82.8593294 8.2719159)",,,,,,,
217870757,Calle Malecón,residential,True,False,4.063,"LINESTRING (-82.8590266 8.2725665, -82.8589936 8.2725501)",,,,,,,
222234018,Avenida Nacional,residential,False,False,29.932,"LINESTRING (-82.8587873 8.2730414, -82.8586572 8.2732778)",,,,,,,
823603244,Calle Municipal,residential,False,True,50.206,"LINESTRING (-82.8587873 8.2730414, -82.8591975 8.2732391)",,,,,,,
190401803,Avenida Nacional,residential,True,False,59.099000000000004,"LINESTRING (-82.8587873 8.2730414, -82.858855 8.2729352, -82.8590266 8.2725665)",,,,,,,
217867542,,secondary,True,False,25.103,"LINESTRING (-82.8606755 8.2739362, -82.8604669 8.2738448)",,,,,,,
222234840,Avenida Presidente Remón,secondary,False,True,32.897999999999996,"LINESTRING (-82.8606755 8.2739362, -82.8606221 8.2740195, -82.8605804 8.274109, -82.8605511 8.2742033)",2,,60,442,,,
222542438,Avenida Presidente Remón,residential,False,True,167.986,"LINESTRING (-82.8606755 8.2739362, -82.8613351 8.2730617, -82.8615718 8.2727137)",2,,,,,,
190401798,Buena Vista (Spanish Town),residential,False,True,25.792,"LINESTRING (-82.8630514 8.2740428, -82.8629057 8.2738611)",,,,,,,
217868489,,residential,False,True,23.851,"LINESTRING (-82.8630514 8.2740428, -82.8631539 8.2738538)",,,,,,,
"[346577136, 217868020, 346577135]",Avenida Monte Verde,residential,False,False,137.475,"LINESTRING (-82.8630514 8.2740428, -82.8636365 8.2743047, -82.8637048 8.2743479, -82.8638462 8.2744959, -82.8640726 8.2747201)",,,,,yes,,
217868489,,residential,False,False,108.821,"LINESTRING (-82.8630514 8.2740428, -82.8629924 8.2741198, -82.8622062 8.2745353)",,,,,,,
220680106,Avenida Jorge Julio Calzudes,residential,False,False,141.281,"LINESTRING (-82.8600638 8.2742573, -82.8590123 8.2735282)",,,,,,,
