osmid,oneway,highway,reversed,length,geometry,lanes,ref,bridge
691682036,False,unclassified,True,311.523,"LINESTRING (30.1400386 -2.8234594, 30.1399847 -2.8233693, 30.1399353 -2.8232573, 30.1398645 -2.823092, 30.1397911 -2.8229587, 30.1397137 -2.8227907, 30.1396149 -2.8225641, 30.1395175 -2.8224121, 30.1394214 -2.8222641, 30.1391865 -2.8219815, 30.139069 -2.8218322, 30.1389195 -2.8216562, 30.1388274 -2.8215435, 30.138722 -2.8214095, 30.1386385 -2.8212882, 30.1385645 -2.8211949, 30.1385277 -2.8211202)",,,
691682036,False,unclassified,True,10.97,"LINESTRING (30.1385277 -2.8211202, 30.1384923 -2.8210281)",,,
691682036,False,unclassified,False,311.523,"LINESTRING (30.1385277 -2.8211202, 30.1385645 -2.8211949, 30.1386385 -2.8212882, 30.138722 -2.8214095, 30.1388274 -2.8215435, 30.1389195 -2.8216562, 30.139069 -2.8218322, 30.1391865 -2.8219815, 30.1394214 -2.8222641, 30.1395175 -2.8224121, 30.1396149 -2.8225641, 30.1397137 -2.8227907, 30.1397911 -2.8229587, 30.1398645 -2.823092, 30.1399353 -2.8232573, 30.1399847 -2.8233693, 30.1400386 -2.8234594)",,,
403172178,False,unclassified,True,60.153,"LINESTRING (30.1384923 -2.8210281, 30.1389625 -2.8207596)",,,
691682036,False,unclassified,False,10.97,"LINESTRING (30.1384923 -2.8210281, 30.1385277 -2.8211202)",,,
410136571,False,primary,True,23.803,"LINESTRING (30.1405621 -2.8216525, 30.1406746 -2.8218347)",2,RN 6,
187009122,False,tertiary,True,220.21299999999997,"LINESTRING (30.1405621 -2.8216525, 30.1405044 -2.8216903, 30.1404595 -2.8217205, 30.1404401 -2.8217496, 30.1404377 -2.8217823, 30.1404656 -2.821901, 30.1404898 -2.8219906, 30.1405153 -2.8220899, 30.1405238 -2.8221347, 30.1405291 -2.8221729, 30.1405112 -2.822229, 30.1403935 -2.8224085, 30.1403293 -2.8225133, 30.140233 -2.8227954, 30.1401346 -2.8230413, 30.1400554 -2.8233641, 30.1400386 -2.8234594)",,,
410136571,False,primary,False,183.899,"LINESTRING (30.1405621 -2.8216525, 30.140445 -2.8214501, 30.1403272 -2.8212328, 30.1401153 -2.8208502, 30.1398649 -2.8204996, 30.1396397 -2.8202935)",2,RN 6,
785631622,False,residential,True,82.688,"LINESTRING (30.1404115 -2.8176779, 30.1400029 -2.8173933, 30.1398262 -2.8172218)",,,
981301770,False,unclassified,True,91.338,"LINESTRING (30.1396397 -2.8202935, 30.1389625 -2.8207596)",,,
410136571,False,primary,False,270.12,"LINESTRING (30.1396397 -2.8202935, 30.1395567 -2.8202175, 30.1393063 -2.8200144, 30.1390645 -2.8198541, 30.1387584 -2.8196617, 30.1384309 -2.8195377, 30.1381763 -2.819418, 30.1378766 -2.8193154, 30.1374978 -2.8191978)",2,RN 6,
410136571,False,primary,True,183.899,"LINESTRING (30.1396397 -2.8202935, 30.1398649 -2.8204996, 30.1401153 -2.8208502, 30.1403272 -2.8212328, 30.140445 -2.8214501, 30.1405621 -2.8216525)",2,RN 6,
