osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,tunnel
318746220,Strada Pieței,residential,RO:urban,False,True,36.483,,,"LINESTRING (26.4429143 47.7683726, 26.4433032 47.7681743)",
318438020,Strada Leordei,secondary,RO:urban,False,True,63.42099999999999,2,DJ291,"LINESTRING (26.4429143 47.7683726, 26.4429975 47.7685277, 26.443027 47.7685944, 26.4430377 47.7686404, 26.4430551 47.7687909, 26.4430377 47.7689288)",
151381135,Strada Locotenent Murariu,tertiary,50,False,False,61.236,2,DJ208D,"LINESTRING (26.437096 47.7721622, 26.4364641 47.7718116)",
258423006,Calea Națională,primary,50,False,False,114.353,2,DN29C,"LINESTRING (26.437096 47.7721622, 26.4360712 47.7729259)",
258423006,Calea Națională,primary,50,False,True,138.463,2,DN29C,"LINESTRING (26.437096 47.7721622, 26.4382982 47.7712147)",
151381135,Strada Locotenent Murariu,tertiary,50,False,False,64.255,2,DJ208D,"LINESTRING (26.4364641 47.7718116, 26.4357836 47.7714584)",
151381135,Strada Locotenent Murariu,tertiary,50,False,True,61.236,2,DJ208D,"LINESTRING (26.4364641 47.7718116, 26.437096 47.7721622)",
258422898,Strada Alecu Rallet,residential,RO:urban,False,True,442.465,2,,"LINESTRING (26.4364641 47.7718116, 26.4367982 47.7715624, 26.4371556 47.7712989, 26.4375151 47.7710278, 26.4376834 47.7709022, 26.4378408 47.7707848, 26.4380712 47.7706134, 26.4383678 47.7703928, 26.4384576 47.7703206, 26.438486 47.7701736, 26.4386308 47.7700474, 26.4392745 47.7694201, 26.4397412 47.768973, 26.4400792 47.7686953)",
151381135,Strada Locotenent Murariu,tertiary,50,False,False,108.34400000000001,2,DJ208D,"LINESTRING (26.4346201 47.7708537, 26.4344387 47.7707733, 26.4333935 47.7703344)",
151381135,Strada Locotenent Murariu,tertiary,50,False,True,109.96000000000001,2,DJ208D,"LINESTRING (26.4346201 47.7708537, 26.4353324 47.7712068, 26.4357836 47.7714584)",
151381135,Strada Locotenent Murariu,tertiary,50,False,True,108.34400000000001,2,DJ208D,"LINESTRING (26.4333935 47.7703344, 26.4344387 47.7707733, 26.4346201 47.7708537)",
258423006,Calea Națională,primary,50,False,True,215.624,2,DN29C,"LINESTRING (26.4340866 47.7743335, 26.4360712 47.7729259)",
151381135,Strada Locotenent Murariu,tertiary,50,False,True,64.255,2,DJ208D,"LINESTRING (26.4357836 47.7714584, 26.4364641 47.7718116)",
151381135,Strada Locotenent Murariu,tertiary,50,False,False,109.96000000000001,2,DJ208D,"LINESTRING (26.4357836 47.7714584, 26.4353324 47.7712068, 26.4346201 47.7708537)",
451859763,Strada Nicolae Iorga,residential,,False,False,100.111,,,"LINESTRING (26.4389914 47.7716072, 26.4381284 47.7722958)",
258423005,Strada Nicolae Iorga,residential,RO:urban,False,False,67.94,2,,"LINESTRING (26.4389914 47.7716072, 26.4388762 47.7715636, 26.4382982 47.7712147)",
258423005,Strada Nicolae Iorga,residential,RO:urban,False,True,49.689,2,,"LINESTRING (26.4389914 47.7716072, 26.4390747 47.7715347, 26.4393228 47.771221)",
258423006,Calea Națională,primary,50,False,False,138.463,2,DN29C,"LINESTRING (26.4382982 47.7712147, 26.437096 47.7721622)",
258423005,Strada Nicolae Iorga,residential,RO:urban,False,True,67.94,2,,"LINESTRING (26.4382982 47.7712147, 26.4388762 47.7715636, 26.4389914 47.7716072)",
258423006,Calea Națională,primary,50,False,True,302.43700000000007,2,DN29C,"LINESTRING (26.4382982 47.7712147, 26.4383469 47.7711763, 26.4387279 47.770876, 26.4392558 47.7703467, 26.4394247 47.7702097, 26.4396004 47.7700447, 26.4399625 47.7697427, 26.4402522 47.7694804, 26.4407167 47.7690371)",
258423006,Calea Națională,primary,50,False,False,6.929,2,DN29C,"LINESTRING (26.4407819 47.7689928, 26.4407167 47.7690371)",
258423005,Strada Nicolae Iorga,residential,RO:urban,False,False,148.882,2,,"LINESTRING (26.4407819 47.7689928, 26.4412031 47.7692127, 26.4413694 47.7692975, 26.4414471 47.7693425, 26.4414901 47.7693768, 26.4415008 47.7694038, 26.4414793 47.7694543, 26.4414042 47.7695408, 26.4412406 47.7696815, 26.4410609 47.7698347, 26.4408812 47.7699573)",
