osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,junction
672421341,Strada Pomilor,residential,False,False,119.64099999999999,"LINESTRING (23.2139655 45.3548145, 23.2139586 45.354761, 23.2139399 45.3546158, 23.2138759 45.3541413, 23.2138417 45.354003, 23.213763 45.3538072, 23.213749 45.3537521)",,,,,
731252486,Strada Tudor Vladimirescu,primary,False,False,268.005,"LINESTRING (23.2139655 45.3548145, 23.2138562 45.3547995, 23.2133592 45.3547311, 23.2127248 45.3546408, 23.2125573 45.3546175, 23.2123404 45.3545862, 23.2120959 45.3545522, 23.2116629 45.3544912, 23.2115317 45.3544736, 23.211279 45.354436, 23.211086 45.3544062, 23.2109163 45.3543721, 23.2107467 45.3543327, 23.2106191 45.3542974)",4,DN66A,50,yes,
731252486,Strada Tudor Vladimirescu,primary,False,True,246.29799999999997,"LINESTRING (23.2139655 45.3548145, 23.2150929 45.3549792, 23.2155642 45.3550469, 23.2158803 45.3550996, 23.2161754 45.3551535, 23.2164884 45.3552247, 23.2166372 45.3552622, 23.2170162 45.3553578)",4,DN66A,50,yes,
1117572990,Strada Parângului,residential,False,True,96.47300000000001,"LINESTRING (23.2139655 45.3548145, 23.2139652 45.3548927, 23.2139621 45.3556821)",,,,,
731252488,,primary,True,False,77.223,"LINESTRING (23.2213203 45.3564342, 23.2211076 45.3564047, 23.22093 45.3563833, 23.2207211 45.3563596, 23.2205851 45.3563521, 23.2204637 45.3563529, 23.2203963 45.3563624, 23.2203442 45.3563698)",2,DN66A,30,,
733182263,,primary_link,True,False,122.23400000000001,"LINESTRING (23.2213203 45.3564342, 23.2211085 45.3564611, 23.2208934 45.3564753, 23.2207004 45.3564854, 23.2203939 45.3565, 23.220153 45.3565091, 23.2198382 45.3565224, 23.2197626 45.3565256)",,,,,
231917884,Strada Bucura,secondary,False,False,116.91900000000001,"LINESTRING (23.2107377 45.3560175, 23.2110891 45.356139, 23.2112764 45.3561948, 23.2114078 45.3562243, 23.2116402 45.3562621, 23.211851 45.3562875, 23.2121598 45.3563129)",2,,50,,
"[1117572989, 219634766]",Strada Parângului,residential,False,True,105.018,"LINESTRING (23.2107377 45.3560175, 23.2107139 45.3558354, 23.2107032 45.3556393, 23.2106943 45.3554901, 23.2106791 45.355236, 23.2108555 45.3553398)",,,50,,
231917884,Strada Bucura,secondary,False,True,110.312,"LINESTRING (23.2135597 45.3564414, 23.2121598 45.3563129)",2,,50,,
672421340,,residential,False,False,74.518,"LINESTRING (23.2135597 45.3564414, 23.2135114 45.3557721)",,,,,
231917884,Strada Bucura,secondary,False,False,146.375,"LINESTRING (23.2135597 45.3564414, 23.2143097 45.356528, 23.2146968 45.3565679, 23.2151284 45.3566068, 23.2154143 45.3566236)",2,,50,,
"[672426494, 672426495]",,residential,False,"[False, True]",204.055,"LINESTRING (23.219736 45.3560514, 23.2197353 45.3559033, 23.2197227 45.3553436, 23.2197573 45.3547327, 23.2197818 45.3546374, 23.2198179 45.3545575, 23.2198855 45.3544627, 23.2200597 45.354269)",,,50,,
731252486,Strada Tudor Vladimirescu,primary,False,False,164.569,"LINESTRING (23.219736 45.3560514, 23.2195672 45.356009, 23.2192584 45.3559314, 23.2187742 45.3558049, 23.2177574 45.3555442)",4,DN66A,50,yes,
731252489,Strada Tudor Vladimirescu,primary,True,False,34.631,"LINESTRING (23.219736 45.3560514, 23.2199178 45.3560861, 23.2201052 45.3561223, 23.2201635 45.3561336)",2,DN66A,30,yes,
231925266,,residential,False,True,111.3,"LINESTRING (23.2105574 45.3519943, 23.2106542 45.352071, 23.2108224 45.3521698, 23.2109098 45.3522288, 23.2109328 45.3522553, 23.2109478 45.3523023, 23.210949 45.3523554, 23.2109743 45.3524384, 23.2110267 45.3525053, 23.2111092 45.352579, 23.2112136 45.3526801, 23.2113452 45.3527943)",2,,50,,
231923813,Strada Liliacului,residential,False,True,89.73400000000002,"LINESTRING (23.2101075 45.3541249, 23.2101802 45.3540257, 23.2103243 45.353829, 23.210571 45.3534995, 23.2106212 45.353434, 23.2106383 45.3534093)",2,,50,yes,
731252486,Strada Tudor Vladimirescu,primary,False,False,59.584999999999994,"LINESTRING (23.2101075 45.3541249, 23.2098173 45.3540169, 23.2094314 45.3538771)",4,DN66A,50,yes,
