osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,access
693104051,True,1,DN1,Strada Lungă,trunk,30,False,43.95,"LINESTRING (25.4481473 45.6942121, 25.4481643 45.6941775, 25.4482041 45.6941332, 25.44827 45.6940801, 25.4483076 45.6940464, 25.4483316 45.6940205, 25.4483597 45.6939847, 25.4483889 45.6939385, 25.4484256 45.6938721)",,,
"[1192895691, 1192895692]",False,2,DN1,Strada Lungă,trunk,50,False,181.93,"LINESTRING (25.4481473 45.6942121, 25.4480342 45.694308, 25.4472413 45.6949538, 25.4469511 45.6952004, 25.4468788 45.6952686, 25.4468217 45.6953285, 25.4467613 45.6954005, 25.4466926 45.6954901)",,,
224660789,False,,,Strada Muntișor,residential,30,False,71.60300000000001,"LINESTRING (25.4433612 45.689244, 25.443503 45.6893554, 25.4436834 45.6894803, 25.4438077 45.689554, 25.443937 45.6896185, 25.4440487 45.6896683)",,,
102360449,False,2,,Strada Constituției,residential,50,False,10.26,"LINESTRING (25.4477943 45.6933039, 25.4478949 45.6932441)",,,
102360449,False,2,,Strada Constituției,residential,50,True,83.907,"LINESTRING (25.4477943 45.6933039, 25.4477205 45.6933483, 25.4469747 45.6937955)",,,
179129602,True,,,Strada Muntișor,residential,RO:urban,False,173.20700000000002,"LINESTRING (25.4477943 45.6933039, 25.4477315 45.6932511, 25.4464927 45.6922125, 25.4463692 45.6921058)",,,
224660789,False,,,Strada Muntișor,residential,30,False,97.33099999999999,"LINESTRING (25.4440487 45.6896683, 25.4441662 45.6897077, 25.4451671 45.690063)",,,
224660789,False,,,Strada Muntișor,residential,30,True,71.60300000000001,"LINESTRING (25.4440487 45.6896683, 25.443937 45.6896185, 25.4438077 45.689554, 25.4436834 45.6894803, 25.443503 45.6893554, 25.4433612 45.689244)",,,
102360449,False,2,,Strada Constituției,residential,50,True,37.111000000000004,"LINESTRING (25.4482595 45.6930284, 25.4481883 45.6930708, 25.4478949 45.6932441)",,,
"[333900809, 179180724, 179180726]",False,2,DN1;DJ112A,Strada Lungă,trunk,50,True,234.183,"LINESTRING (25.4482595 45.6930284, 25.4482158 45.6929424, 25.4481937 45.6928988, 25.4481674 45.6928454, 25.4480025 45.6925102, 25.447983 45.6924357, 25.4479786 45.6923569, 25.4479868 45.6923154, 25.4480031 45.6922575, 25.4480353 45.6921769, 25.448073 45.6921021, 25.4481878 45.6919052, 25.4484009 45.6915841, 25.4484757 45.6914634, 25.4485322 45.6913692, 25.4485689 45.6913033, 25.4486679 45.6911295, 25.4487104 45.6910539)",yes,,
547461077,False,2,DN1;DJ112A,Strada Lungă,trunk,50,False,55.342000000000006,"LINESTRING (25.4482595 45.6930284, 25.4483369 45.6931852, 25.4484646 45.6934438, 25.4484901 45.6934993)",,,
102360449,False,2,,Strada Constituției,residential,50,False,83.907,"LINESTRING (25.4469747 45.6937955, 25.4477205 45.6933483, 25.4477943 45.6933039)",,,
102360449,False,2,,Strada Constituției,residential,50,True,348.694,"LINESTRING (25.4469747 45.6937955, 25.4438165 45.6957465, 25.4436117 45.695873)",,,
