osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,ref,width,access,tunnel
48866581,Strada General Magheru,tertiary,RO:urban,False,False,14.872,,"LINESTRING (24.1574721 45.7990558, 24.1573059 45.798989)",,,,,
464937650,Strada Constituției,primary,RO:urban,True,False,118.07199999999999,2,"LINESTRING (24.1574721 45.7990558, 24.1572644 45.8000012, 24.1572415 45.8001054)",,,,,
368403886,Strada General Magheru,residential,RO:urban,False,True,24.098,2,"LINESTRING (24.1561406 45.798539, 24.1564239 45.7986282)",,,,,
25505461,Strada Felinarului,residential,RO:urban,True,False,80.407,1,"LINESTRING (24.1561406 45.798539, 24.1559395 45.7989084, 24.1558602 45.7989821, 24.1557353 45.7990918, 24.1556588 45.7991714)",,,,,
"[763983998, 368403886]",Strada General Magheru,residential,RO:urban,False,"[False, True]",48.497,2,"LINESTRING (24.1561406 45.798539, 24.155865 45.7984689, 24.1555521 45.7983911)",,,,,
532185317,Strada Avram Iancu,residential,RO:urban,False,True,39.14,2,"LINESTRING (24.1555521 45.7983911, 24.1553511 45.7983551, 24.1550546 45.7983394)",,,,,
"[368403886, 763983998]",Strada General Magheru,residential,RO:urban,False,"[False, True]",48.497,2,"LINESTRING (24.1555521 45.7983911, 24.155865 45.7984689, 24.1561406 45.798539)",,,,,
191138621,Strada 9 Mai,tertiary,RO:urban,True,False,12.931,,"LINESTRING (24.1572415 45.8001054, 24.1570758 45.800092)",,,,,
199360503,Strada 9 Mai,residential,30,True,False,81.19800000000001,1,"LINESTRING (24.1572415 45.8001054, 24.1574793 45.8001248, 24.157718 45.8001375, 24.1581673 45.8001555, 24.1582858 45.8001585)",,,,,
368403885,Strada Constituției,primary,RO:urban,True,False,143.60500000000002,2,"LINESTRING (24.1572415 45.8001054, 24.1571849 45.8002575, 24.1570227 45.800694, 24.1569296 45.8009637, 24.1569081 45.8010815, 24.1569108 45.8011862, 24.1569403 45.8012704, 24.1569918 45.8013593)",,,,,
72029992,Bulevardul Corneliu Coposu,primary,RO:urban,False,False,33.377,4,"LINESTRING (24.1554565 45.7947539, 24.1557855 45.7949475)",,,,,
620225514,Strada Gheorghe Lazăr,residential,40,False,True,31.27,2,"LINESTRING (24.1554565 45.7947539, 24.1551804 45.7949589)",,,,,
1124795627,Bulevardul Corneliu Coposu,primary,RO:urban,False,True,28.519,4,"LINESTRING (24.1554565 45.7947539, 24.1552637 45.7946393, 24.1551767 45.7945874)",,,,,
1124795628,Bulevardul Corneliu Coposu,primary,RO:urban,False,True,23.521,4,"LINESTRING (24.1577588 45.7957302, 24.1574951 45.7956256)",,,,,
191138616,Strada Ocnei,tertiary,RO:urban,True,False,69.282,,"LINESTRING (24.150496 45.7997407, 24.1504926 45.7998079, 24.1504182 45.8003613)",,,,,
4832553,Strada 9 Mai,tertiary,RO:urban,True,False,13.994,1,"LINESTRING (24.1555689 45.800032, 24.1553891 45.8000432)",,,,,
28774438,Strada Vopsitorilor,residential,RO:urban,True,False,227.86699999999996,,"LINESTRING (24.1503391 45.8009001, 24.1501111 45.8009188, 24.1499268 45.8009244, 24.1495746 45.8009117, 24.1493129 45.8009184, 24.1491679 45.8009031, 24.1490851 45.8008782, 24.149024 45.8008451, 24.1489123 45.8007192, 24.1488645 45.8006505, 24.1487568 45.8005203, 24.1485268 45.8003115, 24.1485001 45.8002715, 24.1485059 45.8002205, 24.1487524 45.7998817)",,,,,
