osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,tunnel,width
17106332,False,2,DN13,Strada Morii,trunk,50,False,72.4,"LINESTRING (24.7912754 46.2214148, 24.7913725 46.221463, 24.7914845 46.2215438, 24.791635 46.2216548, 24.79173 46.2217181, 24.7918355 46.2217796, 24.7919866 46.2218334)",,,,
19533463,False,2,DN13,Strada Zaharia Boiu,trunk,50,True,127.23700000000001,"LINESTRING (24.7912754 46.2214148, 24.7911195 46.2213539, 24.7910315 46.221326, 24.7908829 46.2212981, 24.7907637 46.2212854, 24.7896635 46.221227)",,,,
19534283,True,,,Strada Anton Pann,tertiary,30,False,126.584,"LINESTRING (24.7912754 46.2214148, 24.7911976 46.2212572, 24.7911611 46.2211831, 24.7906023 46.2203775)",,,,
17106332,False,2,DN13,Strada Morii,trunk,50,False,112.93599999999998,"LINESTRING (24.7919866 46.2218334, 24.7921444 46.2218615, 24.7923219 46.2218724, 24.7924745 46.2218705, 24.7926231 46.2218575, 24.7927711 46.2218304, 24.7929639 46.2217846, 24.7931526 46.2217249, 24.7932733 46.221684, 24.7933859 46.2216455)",,,,
17106332,False,2,DN13,Strada Morii,trunk,50,True,72.39999999999999,"LINESTRING (24.7919866 46.2218334, 24.7918355 46.2217796, 24.79173 46.2217181, 24.791635 46.2216548, 24.7914845 46.2215438, 24.7913725 46.221463, 24.7912754 46.2214148)",,,,
19515946,True,,,Strada Târnavei,residential,RO:urban,False,154.01799999999997,"LINESTRING (24.7919866 46.2218334, 24.7917554 46.2219893, 24.790956 46.2224864, 24.7908867 46.222552, 24.7908497 46.2225967, 24.7907042 46.2228637)",,,,
17106332,False,2,DN13,Strada Morii,trunk,50,True,112.936,"LINESTRING (24.7933859 46.2216455, 24.7932733 46.221684, 24.7931526 46.2217249, 24.7929639 46.2217846, 24.7927711 46.2218304, 24.7926231 46.2218575, 24.7924745 46.2218705, 24.7923219 46.2218724, 24.7921444 46.2218615, 24.7919866 46.2218334)",,,,
19369181,False,4,DN13,Strada Consiliul Europei,trunk,50,False,90.62,"LINESTRING (24.7933859 46.2216455, 24.7940641 46.2214084, 24.7944397 46.2212814)",,,,
19369304,True,,,Strada Morii,tertiary,RO:urban,False,107.32900000000001,"LINESTRING (24.7933859 46.2216455, 24.7935538 46.2214788, 24.7937644 46.221288, 24.7939778 46.2211065, 24.7942461 46.2208863)",,,,
460785370,False,5,DN13,Strada Consiliul Europei,trunk,50,False,27.89,"LINESTRING (24.7982729 46.22092, 24.7984303 46.2209533, 24.7986191 46.2209944)",,,,
460785734,False,,DJ106,Strada 1 Decembrie 1918,secondary,RO:urban,False,38.769999999999996,"LINESTRING (24.7982729 46.22092, 24.79828 46.2207497, 24.7982922 46.2205716)",,,,
465128996,False,5,DN13,Strada Consiliul Europei,trunk,50,True,40.683,"LINESTRING (24.7982729 46.22092, 24.7980979 46.2208819, 24.7977681 46.220811)",,,,
"[465130680, 681935705]",False,2,,Strada Gheorghe Lazăr,tertiary,50,True,34.253,"LINESTRING (24.7982729 46.22092, 24.798275 46.2210174, 24.7982766 46.2210566, 24.7982855 46.2212279)",yes,,,
"[692732361, 175220386, 24026183]",False,2,,"['Strada Morii', 'Strada Octavian Goga']",tertiary,RO:urban,True,159.25999999999996,"LINESTRING (24.7956031 46.2186421, 24.7955276 46.2186916, 24.7952789 46.2188567, 24.7949797 46.2190557, 24.7949233 46.2191169, 24.7948981 46.2191789, 24.7948681 46.2195087, 24.7948512 46.2196564, 24.7948425 46.2197106, 24.7948331 46.2197691, 24.7948161 46.2198741)",,,,
"[19417447, 692732359]",False,2,DJ106,Strada 1 Decembrie 1918,secondary,30,True,285.7180000000001,"LINESTRING (24.7956031 46.2186421, 24.7958677 46.2188205, 24.7961303 46.2190003, 24.7962746 46.2191014, 24.7972063 46.2197565, 24.7973547 46.2198549, 24.7975814 46.219988, 24.7979904 46.2202139, 24.798171 46.2203151, 24.7982437 46.2203628, 24.7982871 46.2204112)",,,,
692732360,False,2,DJ106,Strada 1 Decembrie 1918,secondary,30,False,53.613,"LINESTRING (24.7956031 46.2186421, 24.7954989 46.218568, 24.7951175 46.2182963)",,,,
19428125,False,,,Strada General Grigorescu,residential,RO:urban,False,114.66400000000002,"LINESTRING (24.7951175 46.2182963, 24.7953554 46.2182008, 24.7956952 46.2180616, 24.7957484 46.2180311, 24.7958126 46.2179791, 24.7958456 46.2179245, 24.7959328 46.2176565, 24.7959701 46.2175418)",,,,
692732360,False,2,DJ106,Strada 1 Decembrie 1918,secondary,30,True,53.613,"LINESTRING (24.7951175 46.2182963, 24.7954989 46.218568, 24.7956031 46.2186421)",,,,
972664491,False,2,DJ106,Piața Hermann Oberth,secondary,30,False,80.56,"LINESTRING (24.7951175 46.2182963, 24.7949364 46.2181711, 24.7948682 46.2181253, 24.7943564 46.2177989)",,,,
19422138,False,,,Strada Nicolae Bălcescu,residential,30,False,105.19900000000001,"LINESTRING (24.7928509 46.21673, 24.7929615 46.2166545, 24.7932357 46.2164673, 24.7934657 46.2163188, 24.7938586 46.2160915)",,,,
29222971,False,2,DJ106,Strada Ilarie Chendi,secondary,RO:urban,False,44.528999999999996,"LINESTRING (24.7928509 46.21673, 24.7926973 46.2166133, 24.7925733 46.2165242, 24.7924428 46.2164468)",,,,
"[29278600, 972664489, 972664491]",False,2,DJ106,Piața Hermann Oberth,secondary,"['30', 'RO:urban']",True,166.257,"LINESTRING (24.7928509 46.21673, 24.7929774 46.2168304, 24.7933511 46.2171306, 24.7934833 46.2172323, 24.7937144 46.2174019, 24.7938405 46.2174865, 24.7939666 46.2175641, 24.7941551 46.2176771, 24.7943564 46.2177989)",,,,
19577948,False,2,,Strada Ilarie Chendi,tertiary,30,False,76.118,"LINESTRING (24.7924428 46.2164468, 24.7923419 46.2164057, 24.7922183 46.2163612, 24.7915544 46.2161464)",,,,
29222971,False,2,DJ106,Strada Ilarie Chendi,secondary,RO:urban,True,44.528999999999996,"LINESTRING (24.7924428 46.2164468, 24.7925733 46.2165242, 24.7926973 46.2166133, 24.7928509 46.21673)",,,,
19414892,False,,,Strada Târnavei,tertiary,RO:urban,False,92.676,"LINESTRING (24.7878573 46.2225294, 24.7878816 46.2223303, 24.7879325 46.2219925, 24.7879756 46.2217)",,,,
19414892,False,,,Strada Târnavei,tertiary,RO:urban,True,230.01900000000003,"LINESTRING (24.7878573 46.2225294, 24.7878757 46.2226289, 24.7879306 46.2226986, 24.78824 46.2228927, 24.7892691 46.2234993, 24.789539 46.2236426, 24.789605 46.223669, 24.7896818 46.2236917, 24.7897559 46.2237051, 24.7898511 46.223715, 24.7900375 46.223725, 24.7901367 46.2237375)",,,,
19415083,False,,,Strada Ștefan cel Mare,residential,50,False,52.415,"LINESTRING (24.7911504 46.2241926, 24.7908207 46.224515, 24.7907482 46.2245727)",,,,
"[19414911, 19414892, 24026167]",False,2,,"['Strada Târnavei', 'Strada Libertății']",tertiary,"['50', 'RO:urban']",False,93.318,"LINESTRING (24.7911504 46.2241926, 24.7911066 46.224172, 24.790227 46.223755, 24.7901367 46.2237375)",yes,,,
24026167,False,2,,Strada Libertății,tertiary,50,True,40.95099999999999,"LINESTRING (24.7911504 46.2241926, 24.7913907 46.2243078, 24.7915874 46.2244029)",,,,
19415083,False,,,Strada Ștefan cel Mare,residential,50,True,52.415,"LINESTRING (24.7907482 46.2245727, 24.7908207 46.224515, 24.7911504 46.2241926)",,,,
19414853,False,2,,Strada Gheorghe Lazăr,tertiary,50,False,181.318,"LINESTRING (24.7990807 46.2233834, 24.7990594 46.2233393, 24.7989729 46.2231602, 24.7989525 46.223118, 24.7987501 46.2226987, 24.7984491 46.2220752, 24.7983369 46.2218361)",,,,
19416979,False,,,Strada Vlad Țepeș,residential,50,False,63.604,"LINESTRING (24.7990807 46.2233834, 24.7994773 46.2232945, 24.7998657 46.2232039)",,,,
19416979,False,,,Strada Vlad Țepeș,residential,50,True,63.604,"LINESTRING (24.7998657 46.2232039, 24.7994773 46.2232945, 24.7990807 46.2233834)",,,,
44065309,True,,DJ106,,trunk_link,RO:urban,False,53.529,"LINESTRING (24.7982922 46.2205716, 24.7983698 46.2206982, 24.7984025 46.2207501, 24.7984543 46.2208228, 24.7985169 46.2208955, 24.7986191 46.2209944)",,,,
460785734,False,,DJ106,Strada 1 Decembrie 1918,secondary,RO:urban,True,38.769999999999996,"LINESTRING (24.7982922 46.2205716, 24.79828 46.2207497, 24.7982729 46.22092)",,,,
896545391,False,,DJ106,Strada 1 Decembrie 1918,secondary,RO:urban,False,17.951,"LINESTRING (24.7982922 46.2205716, 24.7982987 46.2205123, 24.7982998 46.2204555, 24.7982871 46.2204112)",,,,
1185066217,False,2,DC54,Strada Horea Teculescu,tertiary,RO:urban,False,9.918,"LINESTRING (24.7982871 46.2204112, 24.798416 46.2204099)",,,,
"[692732359, 19417447]",False,2,DJ106,Strada 1 Decembrie 1918,secondary,30,False,285.71799999999996,"LINESTRING (24.7982871 46.2204112, 24.7982437 46.2203628, 24.798171 46.2203151, 24.7979904 46.2202139, 24.7975814 46.219988, 24.7973547 46.2198549, 24.7972063 46.2197565, 24.7962746 46.2191014, 24.7961303 46.2190003, 24.7958677 46.2188205, 24.7956031 46.2186421)",,,,
896545391,False,,DJ106,Strada 1 Decembrie 1918,secondary,RO:urban,True,17.951,"LINESTRING (24.7982871 46.2204112, 24.7982998 46.2204555, 24.7982987 46.2205123, 24.7982922 46.2205716)",,,,
1185066217,False,2,DC54,Strada Horea Teculescu,tertiary,RO:urban,True,9.918,"LINESTRING (24.798416 46.2204099, 24.7982871 46.2204112)",,,,
19418406,False,,,Strada Nicolae Iorga,residential,30,False,120.031,"LINESTRING (24.798416 46.2204099, 24.7985601 46.2200973, 24.798573 46.2200596, 24.7985773 46.2200294, 24.7985868 46.2198092, 24.7985958 46.2197807, 24.7986273 46.2197598, 24.7989453 46.219642, 24.7991403 46.2195698)",,,,
19418406,False,,,Strada Nicolae Iorga,residential,30,True,120.03099999999999,"LINESTRING (24.7991403 46.2195698, 24.7989453 46.219642, 24.7986273 46.2197598, 24.7985958 46.2197807, 24.7985868 46.2198092, 24.7985773 46.2200294, 24.798573 46.2200596, 24.7985601 46.2200973, 24.798416 46.2204099)",,,,
793961780,True,,,Strada Nicolae Iorga,residential,RO:urban,False,217.031,"LINESTRING (24.7981029 46.2177688, 24.798557 46.2188223, 24.7986044 46.218896, 24.7990268 46.2193698, 24.7990595 46.2194185, 24.7990942 46.2194757, 24.7991403 46.2195698)",,,,
957101137,False,,,Strada George Coșbuc,residential,RO:urban,False,131.051,"LINESTRING (24.7981029 46.2177688, 24.7982928 46.2177258, 24.7986667 46.2176524, 24.7988164 46.2176306, 24.7988891 46.2176314, 24.798981 46.2176455, 24.7990685 46.2176752, 24.7991999 46.2177624, 24.799377 46.2179109, 24.7994762 46.2179851, 24.799545 46.2180265)",,,,
"[972667273, 19538069]",False,,,Strada Scării,residential,30,True,333.764,"LINESTRING (24.7902403 46.2175649, 24.7903151 46.2174555, 24.7903442 46.2174453, 24.7903632 46.2174387, 24.7904252 46.2174387, 24.7906279 46.2174781, 24.7910029 46.2175973, 24.7910346 46.2176254, 24.7911104 46.2177515, 24.7911221 46.217772, 24.7912119 46.217855, 24.7912362 46.2178929, 24.7912436 46.2179164, 24.7912385 46.2179506, 24.7912094 46.2179927, 24.7911777 46.2180225, 24.7911283 46.2180619, 24.7910624 46.2180864, 24.7909814 46.218111, 24.7906089 46.2181776, 24.7904296 46.2182106, 24.7903486 46.2182363, 24.7902985 46.2182819, 24.7902791 46.2183215, 24.790275 46.2183729, 24.7902871 46.2184353, 24.7903188 46.2184747, 24.7903758 46.2185142, 24.7907077 46.2186658, 24.7908319 46.2187168, 24.7909391 46.2187529, 24.7914342 46.2188979, 24.7915194 46.218925, 24.791593 46.2189515)",,,,
19577948,False,2,,Strada Ilarie Chendi,tertiary,30,True,76.11800000000001,"LINESTRING (24.7915544 46.2161464, 24.7922183 46.2163612, 24.7923419 46.2164057, 24.7924428 46.2164468)",,,,
19421801,True,,,Strada George Coșbuc,residential,RO:urban,False,173.66299999999998,"LINESTRING (24.7959701 46.2175418, 24.7962679 46.2174602, 24.7963934 46.2174329, 24.7965297 46.2174196, 24.7966662 46.2174237, 24.7971388 46.2175069, 24.7977524 46.2176325, 24.7978879 46.2176737, 24.7979946 46.2177157, 24.7981029 46.2177688)",,,,
19428125,False,,,Strada General Grigorescu,residential,RO:urban,True,114.66400000000002,"LINESTRING (24.7959701 46.2175418, 24.7959328 46.2176565, 24.7958456 46.2179245, 24.7958126 46.2179791, 24.7957484 46.2180311, 24.7956952 46.2180616, 24.7953554 46.2182008, 24.7951175 46.2182963)",,,,
957101137,False,,,Strada George Coșbuc,residential,RO:urban,True,131.051,"LINESTRING (24.799545 46.2180265, 24.7994762 46.2179851, 24.799377 46.2179109, 24.7991999 46.2177624, 24.7990685 46.2176752, 24.798981 46.2176455, 24.7988891 46.2176314, 24.7988164 46.2176306, 24.7986667 46.2176524, 24.7982928 46.2177258, 24.7981029 46.2177688)",,,,
