osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,ref,junction,bridge
222660146,False,2,Calea Severinului,primary,50,yes,False,4.35,"LINESTRING (22.2217803 45.4085007, 22.2218071 45.4084664)",,,
25794499,True,2,Strada Dâlmei,residential,50,yes,False,224.297,"LINESTRING (22.2217803 45.4085007, 22.221682 45.4084595, 22.2215324 45.4083969, 22.2213146 45.4083229, 22.2211537 45.4082833, 22.2209633 45.4082551, 22.2206763 45.4082249, 22.2203866 45.408191, 22.2198475 45.408144, 22.21948 45.4081364, 22.2191903 45.4081402, 22.2189976 45.4081473)",,,
222728036,False,2,Calea Orșovei,primary,50,yes,True,31.048000000000002,"LINESTRING (22.2217803 45.4085007, 22.2216914 45.4085752, 22.2215953 45.4086502, 22.2215111 45.4087058)",,,
"[33805647, 47029918, 491945015]",False,"['2', '4']","['Strada Nicolae Bălcescu', 'Strada Racoviței']",tertiary,"['50', 'RO:urban']",yes,"[False, True]",122.097,"LINESTRING (22.2143393 45.4132889, 22.214447 45.413288, 22.2146236 45.4132864, 22.2148273 45.4132957, 22.2148977 45.4133083, 22.2149451 45.4133257, 22.2151373 45.4135256, 22.2151385 45.4135796, 22.2151263 45.4136522, 22.215065 45.4137701, 22.214941 45.4139194)",,,
222828288,True,,Strada Cazărmii,residential,RO:urban,,False,52.198,"LINESTRING (22.2143393 45.4132889, 22.2140583 45.4134697, 22.2138731 45.4136241)",,,
711960306,True,2,Strada Nicolae Bălcescu,primary,50,yes,False,53.137,"LINESTRING (22.2143393 45.4132889, 22.2141982 45.4133376, 22.2140893 45.4133542, 22.2139717 45.4133643, 22.2136791 45.4133812)",,,
222790571,False,,Strada Teiușului,residential,RO:urban,,True,175.20600000000002,"LINESTRING (22.213588 45.4114338, 22.2127005 45.4106521, 22.2122723 45.4102927, 22.2122131 45.4102495, 22.2121656 45.4102156)",,,
223140300,True,,Strada Tribunalului,primary,50,yes,False,75.38999999999999,"LINESTRING (22.213588 45.4114338, 22.2136928 45.4115359, 22.2138431 45.4116735, 22.2140067 45.4118091, 22.2140953 45.4118957, 22.2141344 45.4119423, 22.2141612 45.411978)",,,
711960307,False,,Strada Libertății,primary,RO:urban,,False,159.241,"LINESTRING (22.213588 45.4114338, 22.2146893 45.4111142, 22.2153918 45.4109206, 22.2154788 45.4108964)",,,
23547006,False,,Strada Horia,primary_link,RO:urban,,True,13.166,"LINESTRING (22.2123164 45.413346, 22.2123348 45.4134637)",,,
