osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge,access
926192687,2,DN73C,primary,50,False,False,22.065,"LINESTRING (24.8898208 45.2275, 24.890099 45.2275314)",,
926192687,2,DN73C,primary,50,False,True,24.226,"LINESTRING (24.8898208 45.2275, 24.8896248 45.227484, 24.8895133 45.2274763)",,
247161344,2,DC306A,tertiary,50,False,False,211.907,"LINESTRING (24.8925693 45.2308437, 24.8928174 45.2312357, 24.8929261 45.2314595, 24.8929462 45.2315389, 24.8929922 45.231835, 24.8930441 45.232387, 24.8930857 45.2326939)",,
247161344,2,DC306A,tertiary,50,False,True,32.138,"LINESTRING (24.8925693 45.2308437, 24.8925197 45.2307597, 24.8924164 45.2305755)",,
247161348,,,residential,50,False,False,343.655,"LINESTRING (24.8925693 45.2308437, 24.8923388 45.2308754, 24.8922315 45.2308754, 24.8920047 45.2308456, 24.8918009 45.2307889, 24.8916399 45.2307493, 24.8913732 45.230747, 24.8911357 45.2307795, 24.8908916 45.2308362, 24.889088 45.2312683, 24.888365 45.2314217)",,
247161339,,,living_street,30,False,False,51.06,"LINESTRING (24.8948613 45.2308692, 24.8951147 45.2312923)",,
247161344,2,DC306A,tertiary,50,False,True,211.90699999999998,"LINESTRING (24.8930857 45.2326939, 24.8930441 45.232387, 24.8929922 45.231835, 24.8929462 45.2315389, 24.8929261 45.2314595, 24.8928174 45.2312357, 24.8925693 45.2308437)",,
247161322,,,residential,50,False,False,188.828,"LINESTRING (24.8863479 45.2323473, 24.88704 45.2319336, 24.8876503 45.2316385, 24.8880324 45.2314614, 24.8882925 45.2313481)",,
247161325,,,residential,50,False,False,80.384,"LINESTRING (24.8928201 45.2281028, 24.8927584 45.2273812)",,
247161327,,,residential,50,False,False,225.35500000000005,"LINESTRING (24.8867315 45.2304886, 24.8863284 45.2303669, 24.8858356 45.2302468, 24.8853091 45.2300797, 24.885098 45.2300069, 24.8848218 45.229852, 24.8845562 45.2296915, 24.8845187 45.2296395, 24.8845308 45.2295573, 24.8845684 45.2294176)",,
247161327,,,residential,50,False,True,155.88299999999998,"LINESTRING (24.8867315 45.2304886, 24.8868219 45.230518, 24.8872081 45.2306767, 24.8875684 45.2309004, 24.8882925 45.2313481)",,
247161337,,,residential,50,False,True,178.62,"LINESTRING (24.8867315 45.2304886, 24.8875597 45.2299966, 24.8884287 45.229498, 24.888491 45.2294667)",,
