osmid,highway,maxspeed,oneway,reversed,length,lanes,ref,name,geometry,bridge,width,junction
98881282,tertiary,RO:urban,False,False,8.832,,,,"LINESTRING (24.1557611 45.718339, 24.1556485 45.7183277)",,,
16153595,secondary,RO:urban,False,False,52.775000000000006,2,DJ106C,Strada Sibiului,"LINESTRING (24.1557611 45.718339, 24.1557534 45.7184172, 24.155778 45.7185687, 24.1558244 45.7188103)",,,
16153595,secondary,RO:urban,False,True,33.254,2,DJ106C,Strada Sibiului,"LINESTRING (24.1557611 45.718339, 24.1557856 45.7182551, 24.1558216 45.7181814, 24.1558666 45.7181013, 24.1558946 45.7180558)",,,
16153595,secondary,RO:urban,False,False,378.48799999999994,2,DJ106C,Strada Sibiului,"LINESTRING (24.1575366 45.7198182, 24.15748 45.7198831, 24.1573697 45.7199286, 24.1571659 45.7199595, 24.1569138 45.7200119, 24.1567394 45.7200625, 24.1565946 45.7201243, 24.1564793 45.7202029, 24.15638 45.7202928, 24.1562513 45.7204426, 24.156203 45.7205194, 24.1561668 45.7206131, 24.1561735 45.7206908, 24.1562084 45.7207329, 24.1562646 45.7207591, 24.1563599 45.7207629, 24.1564699 45.7207395, 24.1567394 45.7206599, 24.1570533 45.7205793, 24.1572035 45.7205606, 24.157351 45.7205625, 24.1574663 45.7205868, 24.1576112 45.7206393, 24.1581369 45.7208715, 24.1582361 45.7209258, 24.1583219 45.7209932, 24.1583729 45.7210662, 24.1584105 45.721143, 24.1584319 45.7212216, 24.1584373 45.7212778)",,,
16153595,secondary,RO:urban,False,True,202.74,2,DJ106C,Strada Sibiului,"LINESTRING (24.1575366 45.7198182, 24.1575498 45.7197385, 24.1575111 45.7196761, 24.1574227 45.7196371, 24.156126 45.7194064, 24.1560434 45.7193865, 24.1559842 45.7193476, 24.1559482 45.7192863, 24.1558244 45.7188103)",,,
98881364,residential,RO:urban,False,False,195.631,,,,"LINESTRING (24.1575366 45.7198182, 24.158171 45.7199667, 24.1587544 45.7200889, 24.1590206 45.720163, 24.1594487 45.7202993, 24.1598849 45.7204468)",,,
98881377,residential,RO:urban,False,True,133.651,,,Strada Uzinei,"LINESTRING (24.1564237 45.714469, 24.157919 45.7150645)",,,
98868111,residential,RO:urban,False,False,173.76099999999997,,,Strada Târgului,"LINESTRING (24.1564237 45.714469, 24.1568246 45.7141525, 24.1571358 45.7139277, 24.1574737 45.713761, 24.1581684 45.7135269)",,,
134983201,secondary,RO:urban,False,True,279.06100000000004,2,,Strada Unirii,"LINESTRING (24.1564237 45.714469, 24.156252 45.7143899, 24.1560964 45.7142882, 24.1558912 45.7141422, 24.1556217 45.7139155, 24.155269 45.7135962, 24.1548666 45.7131524, 24.1546226 45.7129089, 24.1543946 45.7127253, 24.1542632 45.7126355, 24.1541223 45.7125652)",,,
"[98881200, 98881402, 346884308]",secondary,RO:urban,False,False,233.47299999999996,2,DJ106D,Strada Târgului,"LINESTRING (24.1564237 45.714469, 24.1557372 45.7152166, 24.1556707 45.7153262, 24.1556315 45.7155084, 24.1556218 45.7156147, 24.1556074 45.7157992, 24.1555857 45.7159741, 24.1555477 45.7161629, 24.1555305 45.716249, 24.1555271 45.7163053, 24.1555372 45.716345, 24.1555586 45.7163811, 24.155583 45.7164035)",yes,,
134983200,secondary,RO:urban,False,False,13.721,2,DJ106D;DJ106C,,"LINESTRING (24.1556915 45.7168136, 24.1557459 45.716931)",,,
684036678,secondary,RO:urban,True,False,28.552,1,DJ106C;DJ106D,,"LINESTRING (24.1556915 45.7168136, 24.1555538 45.7165755)",,,
"[1180147067, 24564860]",living_street,RO:urban,True,False,52.943999999999996,,DJ106D,Piața Revoluției,"LINESTRING (24.1512772 45.7137091, 24.1515991 45.7140096, 24.1516021 45.7140192, 24.1516361 45.7141071)",,8,
1199479049,residential,RO:urban,False,False,54.056000000000004,,,Strada Apărării,"LINESTRING (24.1512772 45.7137091, 24.1513208 45.713672, 24.1513757 45.7136253, 24.1516305 45.7135475, 24.151868 45.7135183, 24.1518894 45.7135157)",,,
1199479049,residential,RO:urban,False,True,54.056,,,Strada Apărării,"LINESTRING (24.1518894 45.7135157, 24.151868 45.7135183, 24.1516305 45.7135475, 24.1513757 45.7136253, 24.1513208 45.713672, 24.1512772 45.7137091)",,,
