osmid,ref,highway,oneway,reversed,length,bridge,name,geometry,maxspeed,lanes
"[170037129, 170037132, 24338583]",DJ608D,tertiary,False,False,263.49,yes,Strada Castanilor,"LINESTRING (22.4122746 44.8763081, 22.4123684 44.8763509, 22.4129804 44.8765901, 22.4130766 44.8766329, 22.4131635 44.8766822, 22.4132386 44.8767354, 22.4133164 44.8768048, 22.413366 44.876858, 22.4133955 44.8768999, 22.4134247 44.8769934, 22.4134543 44.8771858, 22.4135294 44.8776747, 22.4135724 44.8780795, 22.4135751 44.8782539)",,
24338583,DJ608D,tertiary,False,True,50.517,,,"LINESTRING (22.4122746 44.8763081, 22.4121819 44.8762532, 22.4121051 44.8761857, 22.4120419 44.8761179, 22.4119867 44.8760374, 22.4119228 44.8759358)",,
170037123,,residential,False,True,789.0620000000001,,Strada Zăvoiului,"LINESTRING (22.4122746 44.8763081, 22.4121869 44.8764903, 22.4120877 44.8766833, 22.4119703 44.8769294, 22.4118357 44.8771921, 22.4116105 44.877719, 22.4114435 44.8781272, 22.4113433 44.8783795, 22.4112434 44.8786391, 22.4111759 44.8788269, 22.4111404 44.8789752, 22.4110901 44.879251, 22.4109963 44.8799808, 22.4109298 44.8804813, 22.4108813 44.8807181, 22.4108451 44.8808521, 22.4108388 44.8809423, 22.4108543 44.8810819, 22.4109037 44.8812821, 22.4109454 44.8814207, 22.4110183 44.8816228, 22.4110767 44.8817352, 22.4111464 44.8818023, 22.4112269 44.8818481, 22.4113614 44.881917, 22.4116118 44.8820486, 22.4120923 44.8823066, 22.412164 44.8823356, 22.4122514 44.882359, 22.4124607 44.8823812, 22.4127211 44.8824132, 22.4129019 44.8824407)",RO:urban,
170037129,DJ608D,tertiary,False,False,76.618,,Strada Castanilor,"LINESTRING (22.4135751 44.8782539, 22.4134532 44.8784356, 22.4130947 44.8788521)",,
"[170037129, 170037132, 24338583]",DJ608D,tertiary,False,True,263.48999999999995,yes,Strada Castanilor,"LINESTRING (22.4135751 44.8782539, 22.4135724 44.8780795, 22.4135294 44.8776747, 22.4134543 44.8771858, 22.4134247 44.8769934, 22.4133955 44.8768999, 22.413366 44.876858, 22.4133164 44.8768048, 22.4132386 44.8767354, 22.4131635 44.8766822, 22.4130766 44.8766329, 22.4129804 44.8765901, 22.4123684 44.8763509, 22.4122746 44.8763081)",,
170058818,,residential,False,False,97.277,,,"LINESTRING (22.4135751 44.8782539, 22.4136669 44.8782725, 22.4137408 44.8781718, 22.4139966 44.8778602, 22.4142122 44.8775641)",50,
170058818,,residential,False,True,247.668,,,"LINESTRING (22.4145019 44.8753698, 22.4143383 44.8756606, 22.4142766 44.8757899, 22.4142471 44.8758963, 22.414239 44.8761187, 22.4142095 44.8764646, 22.4142041 44.8771232, 22.414227 44.8774216, 22.4142122 44.8775641)",50,
237401948,,residential,False,True,271.494,,Strada Florilor,"LINESTRING (22.4145019 44.8753698, 22.4148355 44.8755389, 22.4148734 44.8755653, 22.4148926 44.8755875, 22.4148934 44.8756198, 22.4148903 44.8756447, 22.4148774 44.8756901, 22.4148077 44.8758478, 22.4147118 44.8760365, 22.414632 44.8762232, 22.4146125 44.8762836, 22.4145985 44.8763876, 22.4146065 44.8765606, 22.4146307 44.8766908, 22.4147084 44.876879, 22.414754 44.8770339, 22.4147916 44.8772847, 22.4147983 44.8774539, 22.4147804 44.8776295)",50,
237401949,,residential,False,True,45.358,,,"LINESTRING (22.4142122 44.8775641, 22.4147804 44.8776295)",50,
170058818,,residential,False,False,247.66799999999998,,,"LINESTRING (22.4142122 44.8775641, 22.414227 44.8774216, 22.4142041 44.8771232, 22.4142095 44.8764646, 22.414239 44.8761187, 22.4142471 44.8758963, 22.4142766 44.8757899, 22.4143383 44.8756606, 22.4145019 44.8753698)",50,
170058818,,residential,False,True,97.277,,,"LINESTRING (22.4142122 44.8775641, 22.4139966 44.8778602, 22.4137408 44.8781718, 22.4136669 44.8782725, 22.4135751 44.8782539)",50,
169898814,,residential,False,False,362.25199999999995,,Strada Complexelor,"LINESTRING (22.4159825 44.8780612, 22.4160147 44.8792357, 22.4159557 44.8794695, 22.4158618 44.8796463, 22.4157397 44.879802, 22.4156123 44.879901, 22.415442 44.8799815, 22.4150998 44.8800379, 22.4149606 44.8800457, 22.4144223 44.8800691, 22.4140733 44.8800763, 22.41376 44.8800709)",50,
169898814,,residential,False,True,67.37299999999999,,Strada Complexelor,"LINESTRING (22.4159825 44.8780612, 22.4159723 44.8778835, 22.4159616 44.8776249, 22.4159565 44.8774556)",50,
