osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,tunnel
153506208,True,2,산업로,tertiary,70,False,158.521,,"LINESTRING (129.2287632 35.8552205, 129.228613 35.8566409)",
911396691,False,,동천로82번길,residential,,True,8.339,,"LINESTRING (129.2287632 35.8552205, 129.2286712 35.8552125)",
42410599,False,2,백률로,tertiary,,True,8.029,28,"LINESTRING (129.228613 35.8566409, 129.228524 35.8566376)",
153506208,True,2,산업로,tertiary,70,False,111.089,,"LINESTRING (129.228613 35.8566409, 129.2285282 35.8573777, 129.2285008 35.8576358)",
42410598,False,,동천로,tertiary,,True,54.776,,"LINESTRING (129.2266067 35.856634, 129.2266033 35.8561414)",
42410599,False,2,백률로,tertiary,,False,98.355,28,"LINESTRING (129.2266067 35.856634, 129.227698 35.8566249)",
42410599,False,2,백률로,tertiary,,True,87.438,28,"LINESTRING (129.2266067 35.856634, 129.2256365 35.8566293)",
42474806,False,,백률로,residential,,True,53.174,,"LINESTRING (129.2266067 35.856634, 129.2266032 35.8571122)",
911151607,False,,백률로82번길,residential,,True,106.631,,"LINESTRING (129.2301972 35.8516987, 129.2294251 35.8524253)",
42474593,False,,알천북로,residential,,False,61.407,,"LINESTRING (129.2202849 35.8524731, 129.220539 35.8529855)",
42474587,False,,대안길11번길,residential,,True,102.315,,"LINESTRING (129.2202849 35.8524731, 129.2207773 35.8522032, 129.2212041 35.851934)",
42474593,False,,알천북로,residential,,True,103.39099999999999,,"LINESTRING (129.2202849 35.8524731, 129.2200408 35.8519156, 129.2202035 35.8517598, 129.2202712 35.8516374)",
216551472,False,,알천북로,tertiary,,False,73.344,,"LINESTRING (129.2202712 35.8516374, 129.2195726 35.8519757)",
42474593,False,,알천북로,residential,,False,103.39099999999999,,"LINESTRING (129.2202712 35.8516374, 129.2202035 35.8517598, 129.2200408 35.8519156, 129.2202849 35.8524731)",
42474590,False,,대안길21번길,residential,,True,112.836,,"LINESTRING (129.220539 35.8529855, 129.2215847 35.8524275)",
42474593,False,,알천북로,residential,,True,61.407,,"LINESTRING (129.220539 35.8529855, 129.2202849 35.8524731)",
1168481435,False,,알천북로,residential,,False,95.66300000000001,,"LINESTRING (129.220539 35.8529855, 129.2207527 35.8534688, 129.2210576 35.8533518, 129.2210688 35.8533514, 129.2210853 35.8533546, 129.2211079 35.8533683, 129.2211262 35.8533918)",
42474585,False,,북천길,residential,,True,90.792,,"LINESTRING (129.2211262 35.8533918, 129.2219357 35.8529058)",
"[42474585, 971089412, 971089413]",False,,"['북천길', '동천지하도']",residential,,False,129.706,,"LINESTRING (129.2211262 35.8533918, 129.2209317 35.8534957, 129.2204891 35.8537188, 129.2203347 35.8537733, 129.2198344 35.8538777)",yes
42474591,False,,대안길35번길,residential,,True,95.883,,"LINESTRING (129.2211262 35.8533918, 129.2216025 35.8532937, 129.2218083 35.8532483, 129.2221653 35.8532165)",
1168481435,False,,알천북로,residential,,True,95.66300000000001,,"LINESTRING (129.2211262 35.8533918, 129.2211079 35.8533683, 129.2210853 35.8533546, 129.2210688 35.8533514, 129.2210576 35.8533518, 129.2207527 35.8534688, 129.220539 35.8529855)",
42474587,False,,대안길11번길,residential,,False,70.794,,"LINESTRING (129.2217657 35.8514893, 129.2215076 35.8516932, 129.2213603 35.8518, 129.2212041 35.851934)",
