osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,tunnel,bridge
476301234,고양시청로,residential,False,True,139.602,,,"LINESTRING (126.8325605 37.6564284, 126.8322155 37.6576538)",,,
586016794,호국로777번길,tertiary,False,False,33.74,1,30,"LINESTRING (126.8325605 37.6564284, 126.8329228 37.6563294)",,,
991641209,원당로,tertiary,False,True,32.632,2,50,"LINESTRING (126.8325605 37.6564284, 126.8325337 37.6561357)",,,
476303344,,residential,False,False,94.24199999999999,,,"LINESTRING (126.8325605 37.6564284, 126.832186 37.6564332, 126.8319038 37.6563243, 126.8316664 37.6562107, 126.8316015 37.6561457)",,,
524921262,원당로33번길,tertiary,False,True,121.328,1,30,"LINESTRING (126.8325605 37.6564284, 126.8318664 37.6566543, 126.8313271 37.6569087)",,,
991641209,원당로,tertiary,False,False,125.298,2,50,"LINESTRING (126.8325605 37.6564284, 126.8327363 37.6565743, 126.833359 37.6569901, 126.833591 37.6572018)",,,
586016794,호국로777번길,tertiary,False,True,5.7,1,30,"LINESTRING (126.8353217 37.6557809, 126.8352578 37.6557892)",,,
586016795,호국로,tertiary,False,False,82.485,1,30,"LINESTRING (126.8353217 37.6557809, 126.8356833 37.6557205, 126.8359648 37.6557485, 126.8362463 37.6557765)",,,
612047999,호국로,secondary,True,False,131.407,2,60,"LINESTRING (126.8353217 37.6557809, 126.835536 37.6559658, 126.8363104 37.6566662)",78,,
37414522,고양대로,secondary,False,True,94.497,3,60,"LINESTRING (126.8290206 37.6568084, 126.8287564 37.6569292, 126.8284941 37.657077, 126.8281359 37.6572879)",356,,
37414909,고양대로,secondary_link,True,False,237.308,2,60,"LINESTRING (126.8290206 37.6568084, 126.8294702 37.6565217, 126.83139 37.65594, 126.8314491 37.6559232)",,,
524921262,원당로33번길,tertiary,False,False,34.009,1,30,"LINESTRING (126.8274494 37.6578897, 126.8278218 37.6578083)",,,
914136236,고양대로,secondary,False,True,49.935,3,60,"LINESTRING (126.8274494 37.6578897, 126.8271553 37.6582737)",356,,
37414522,고양대로,secondary,False,False,90.17699999999999,3,60,"LINESTRING (126.8274494 37.6578897, 126.8279032 37.6575003, 126.8281359 37.6572879)",356,,
524043526,고양대로,secondary_link,True,False,89.763,2,60,"LINESTRING (126.8324982 37.6557614, 126.8316015 37.6561457)",,,
991641209,원당로,tertiary,False,False,41.737,2,50,"LINESTRING (126.8324982 37.6557614, 126.8325337 37.6561357)",,,
991641209,원당로,tertiary,False,True,15.986999999999998,2,50,"LINESTRING (126.8324982 37.6557614, 126.8325095 37.6556875, 126.8325204 37.6556187)",,,
914136236,고양대로,secondary,False,False,49.935,3,60,"LINESTRING (126.8271553 37.6582737, 126.8274494 37.6578897)",356,,
914136236,고양대로,secondary,False,True,151.097,3,60,"LINESTRING (126.8271553 37.6582737, 126.8267876 37.6589027, 126.8265945 37.6592093, 126.826564 37.6592592, 126.8264199 37.6595014)",356,,
37414910,고양대로,secondary_link,True,False,85.214,2,60,"LINESTRING (126.8372421 37.6544608, 126.8368345 37.6545446, 126.8363064 37.654657)",,,
289002874,,secondary_link,True,False,38.264,,,"LINESTRING (126.8371121 37.6542993, 126.8372253 37.6542936, 126.837305 37.6543077, 126.8373254 37.6543361, 126.8373346 37.6543716, 126.837312 37.6544211, 126.8372421 37.6544608)",,,
393497413,원당로101번길,residential,False,True,50.16,,,"LINESTRING (126.8373978 37.6609386, 126.8369609 37.6612282)",,,
991641209,원당로,tertiary,False,True,111.80199999999999,2,50,"LINESTRING (126.8373978 37.6609386, 126.8368844 37.6603976, 126.8366035 37.6601554)",,,
551415232,마상로,tertiary,False,False,36.438,1,30,"LINESTRING (126.8302408 37.6622027, 126.8298282 37.6622292)",,,
586794461,마상로57번길,residential,False,False,33.901,,,"LINESTRING (126.8302408 37.6622027, 126.8304044 37.6624787)",,,
551415232,마상로,tertiary,False,True,56.024,1,30,"LINESTRING (126.8302408 37.6622027, 126.8306914 37.6621671, 126.8308741 37.6621526)",,,
968633795,원당로59번길,residential,False,True,180.528,,,"LINESTRING (126.8302408 37.6622027, 126.8300743 37.6615469, 126.829973 37.6612059, 126.8299635 37.6610239, 126.8299981 37.6608694, 126.8300765 37.6607371, 126.8301426 37.6606301)",,,
37414910,고양대로,secondary_link,True,False,90.446,2,60,"LINESTRING (126.8363064 37.654657, 126.8360839 37.6547085, 126.8353224 37.6548909)",,,
988794824,고양대로1369번길,residential,True,False,69.834,,,"LINESTRING (126.8365542 37.6552536, 126.8363064 37.654657)",,,
586016795,호국로,tertiary,False,True,97.851,1,30,"LINESTRING (126.8373334 37.6559552, 126.8367107 37.655874, 126.8362463 37.6557765)",,,
