osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,bridge
219521086,Haddock Alley Road,residential,False,False,79.946,"LINESTRING (-64.6197645 18.422462, -64.6201374 18.4218361)",,,
432008112,Shore Way Drive,residential,False,False,96.726,"LINESTRING (-64.6197645 18.422462, -64.6195684 18.4223267, -64.6190229 18.4219505)",,,
432008112,Shore Way Drive,residential,False,True,212.09499999999997,"LINESTRING (-64.6197645 18.422462, -64.6199187 18.422574, -64.6201025 18.4227432, -64.6202406 18.4227979, -64.6203988 18.4227967, -64.6207593 18.4227207, -64.6210251 18.422738, -64.6212144 18.4227244, -64.6213381 18.42274, -64.621451 18.42279, -64.6215861 18.422899)",,,
25875822,,primary,True,False,31.362,"LINESTRING (-64.6203204 18.4233717, -64.620366 18.4233534, -64.6204154 18.4233492, -64.6204637 18.4233594, -64.6205066 18.423383, -64.6205398 18.4234179, -64.6205603 18.4234607)",roundabout,,
25875822,,primary,True,False,21.721,"LINESTRING (-64.6202496 18.4235419, -64.6202441 18.4234946, -64.6202548 18.4234464, -64.6202812 18.423404, -64.6203204 18.4233717)",roundabout,,
25875946,De Castro Street,primary,True,False,58.806999999999995,"LINESTRING (-64.6202496 18.4235419, -64.6201237 18.423575, -64.6200062 18.423606, -64.6198795 18.4236438, -64.6198081 18.4236504, -64.6197134 18.4236191)",,,
218949748,Admiralty Estate Road,residential,False,False,146.778,"LINESTRING (-64.6273883 18.4226679, -64.6272362 18.4225555, -64.6269144 18.4224944, -64.6266998 18.4224232, -64.6264423 18.422301, -64.6262814 18.4221891, -64.6261382 18.4221314)",,,
465213077,Joe's Hill Road,secondary,False,False,174.002,"LINESTRING (-64.6273883 18.4226679, -64.627222 18.4226526, -64.6270464 18.4226883, -64.6267969 18.4227748, -64.6265636 18.422799, -64.6263664 18.4227684, -64.6262256 18.422715, -64.6260767 18.4226666, -64.6259547 18.4226399, -64.6257871 18.4226253)",,2,
219639107,Main Street,unclassified,True,False,141.85399999999998,"LINESTRING (-64.622855 18.4233373, -64.6227751 18.4232429, -64.6226349 18.423003, -64.6225014 18.4228365, -64.6223557 18.4226996, -64.6222039 18.422601, -64.6219237 18.4224576)",,,
219639330,Main Street,secondary,False,True,32.001,"LINESTRING (-64.622855 18.4233373, -64.6228517 18.4233944, -64.622872 18.4236242)",,,
