osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,width
23039162,True,Zichy utca,residential,30,False,181.788,"LINESTRING (19.2935101 48.0785816, 19.293423 48.0786428, 19.2932603 48.078748, 19.2931611 48.0788136, 19.2931318 48.0788277, 19.2930761 48.0788544, 19.2929923 48.0788809, 19.2928856 48.0789092, 19.2926604 48.0789639, 19.2924616 48.0790132, 19.2923641 48.079045, 19.2922789 48.0790862, 19.2921499 48.079184, 19.2919203 48.0793996, 19.2917667 48.079551, 19.2917037 48.079613)",,,,
422842479,False,Rákóczi fejedelem útja,residential,30,False,46.370000000000005,"LINESTRING (19.2935101 48.0785816, 19.2937201 48.0787154, 19.2937773 48.0787508, 19.2938462 48.0787889, 19.2939107 48.0788232, 19.2939775 48.0788574)",2,,,
422842479,False,Rákóczi fejedelem útja,residential,30,True,89.50099999999999,"LINESTRING (19.2935101 48.0785816, 19.2931192 48.0783303, 19.2929151 48.0781989, 19.2927185 48.0780737, 19.292708 48.0780645, 19.2927012 48.0780546, 19.2926965 48.0780407, 19.2926882 48.078028, 19.292674 48.0780092)",2,,,
309913722,False,Kossuth Lajos út,secondary,40,True,70.177,"LINESTRING (19.2961301 48.0758637, 19.2961342 48.0759259, 19.2961416 48.0759786, 19.296151 48.0760311, 19.2962335 48.0764262, 19.2962468 48.0764897)",2,2108,,
"[1019448409, 1071673522, 1132064869]",False,Kossuth Lajos út,secondary,50,False,260.175,"LINESTRING (19.2961301 48.0758637, 19.2961308 48.0757936, 19.2961328 48.0757201, 19.2961389 48.0756516, 19.2961951 48.0749298, 19.2962827 48.0738038, 19.2963043 48.0735269)",2,2108,,
"[1206472562, 1206472563, 108220526, 1132064871]",False,Baltik Frigyes utca,residential,"['50', '30']",False,133.68,"LINESTRING (19.2962087 48.0766439, 19.2962586 48.0766677, 19.2963221 48.0766892, 19.2964642 48.0767296, 19.2965788 48.0767553, 19.2967346 48.0767826, 19.2969196 48.0768124, 19.2971052 48.0768377, 19.2973334 48.0768724, 19.2975118 48.0768995, 19.2976211 48.076915, 19.2977438 48.0769306, 19.2978456 48.0769406, 19.2979392 48.076948)",2,,,
599383302,False,Kossuth Lajos út,secondary,50,False,5.309,"LINESTRING (19.2962087 48.0766439, 19.2962166 48.0766345, 19.2962221 48.0766231, 19.2962273 48.0766114, 19.2962325 48.0765991)",2,2108,,
"[1071673523, 1132064870]",False,Kossuth Lajos út,secondary,50,True,193.026,"LINESTRING (19.2962087 48.0766439, 19.2961945 48.0766619, 19.2961839 48.0766751, 19.2961691 48.076695, 19.2961021 48.0767712, 19.2959579 48.0769363, 19.2959382 48.0769561, 19.2955673 48.0773138, 19.2948112 48.0781064)",2,2108,,
242247480,False,Civitas Fortissima tér,residential,30,False,31.421,"LINESTRING (19.2904622 48.0766723, 19.2905705 48.076719, 19.2906953 48.0767765, 19.290811 48.076832)",2,,,
297619128,True,Civitas Fortissima tér,residential,30,False,82.928,"LINESTRING (19.2904622 48.0766723, 19.2904937 48.0766503, 19.2905215 48.076637, 19.2905547 48.0766258, 19.2906194 48.0766099, 19.2906532 48.0766009, 19.2906641 48.076598, 19.2906813 48.0765934, 19.290722 48.0765789, 19.2907592 48.076561, 19.290794 48.0765389, 19.2908281 48.0765108, 19.2909559 48.0763957, 19.2910647 48.0762802, 19.2911235 48.0762174, 19.2911707 48.0761778, 19.2912092 48.0761435)",1,,,
