osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,ref
240393636,2,Kossuth Lajos út,tertiary,50,False,False,58.284,"LINESTRING (21.6561311 48.392207, 21.6561899 48.3916843)",,,
"[1076932276, 100793502, 230160199]",2,"['Kossuth Lajos út', 'Hősök tere']",tertiary,50,False,True,200.292,"LINESTRING (21.6561311 48.392207, 21.6561195 48.392361, 21.6560954 48.3926806, 21.656047 48.3934054, 21.6560341 48.3935448, 21.656025 48.3936435, 21.656015 48.3938349, 21.6560129 48.3938746, 21.656006 48.3940063)",,,
162217306,,Bajcsy-Zsilinszky Endre utca,residential,,False,False,176.571,"LINESTRING (21.6546228 48.3981903, 21.6545134 48.3981727, 21.6540218 48.3980937, 21.6534803 48.3980157, 21.6529786 48.3979368, 21.6523802 48.397844, 21.6522934 48.3978306)",,,
804322265,,Kazinczy Ferenc utca,tertiary,50,False,False,58.274,"LINESTRING (21.6546228 48.3981903, 21.6546969 48.3980742, 21.6547443 48.398001, 21.654878 48.397802, 21.6549468 48.3977126)",,,
"[352595560, 804322265]",,Kazinczy Ferenc utca,tertiary,50,False,True,83.992,"LINESTRING (21.6546228 48.3981903, 21.6545711 48.3982855, 21.6544008 48.3985979, 21.6542821 48.3988293, 21.6542439 48.3989025)",,,
"[177498499, 230160201, 810192489, 805444083, 124255615]","['2', '3']",Rákóczi utca,tertiary,50,False,True,158.815,"LINESTRING (21.6622079 48.4000578, 21.6619803 48.4000068, 21.6618893 48.3999857, 21.661558 48.399898, 21.6614245 48.3998599, 21.6612145 48.3997979, 21.6610302 48.3997406, 21.6602369 48.3994888)",yes,,
100793522,,Dózsa György utca,tertiary,50,False,False,21.983,"LINESTRING (21.6573265 48.3972119, 21.6576136 48.3972643)",,,
"[230160206, 100793519]",,"['Dózsa György utca', 'Táncsics tér']",tertiary,50,True,False,168.253,"LINESTRING (21.6573265 48.3972119, 21.6570768 48.3971687, 21.655624 48.3969455, 21.6555742 48.3969445, 21.655534 48.3969503, 21.6554987 48.3969628, 21.6554743 48.3969743, 21.6554488 48.3969953, 21.6553261 48.3971974)",,,
162217565,,Színház köz,residential,,False,False,145.151,"LINESTRING (21.6573265 48.3972119, 21.6573073 48.3972627, 21.6572881 48.3973135, 21.6572344 48.3975643, 21.6572282 48.3975933, 21.6571833 48.3978173, 21.6571318 48.3980624, 21.6570582 48.3984398, 21.657042 48.3985029)",,,
"[162217330, 177494614]",,"['Bercsényi utca', 'Hősök tere']",residential,,True,False,143.065,"LINESTRING (21.656006 48.3940063, 21.6559137 48.3940061, 21.6558042 48.394006, 21.6557412 48.3940045, 21.6556332 48.394002, 21.6554225 48.393997, 21.6550085 48.3939525, 21.6540861 48.3938529)",,,
"[807525430, 100793527]",2,Árpád utca,tertiary,50,False,False,126.862,"LINESTRING (21.656006 48.3940063, 21.656141 48.3940114, 21.656916 48.3940407, 21.6573291 48.3940736, 21.6575188 48.3940947, 21.6577144 48.3941165)",,,
"[1076932276, 100793502, 230160199]",2,"['Kossuth Lajos út', 'Hősök tere']",tertiary,50,False,False,200.292,"LINESTRING (21.656006 48.3940063, 21.6560129 48.3938746, 21.656015 48.3938349, 21.656025 48.3936435, 21.6560341 48.3935448, 21.656047 48.3934054, 21.6560954 48.3926806, 21.6561195 48.392361, 21.6561311 48.392207)",,,
162217386,,Fejes István utca,residential,,False,False,3.381,"LINESTRING (21.6518033 48.3916937, 21.6518449 48.3917064)",,,
240393636,2,Kossuth Lajos út,tertiary,50,False,True,58.284,"LINESTRING (21.6561899 48.3916843, 21.6561311 48.392207)",,,
