osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width
"[25697702, 121239999]",11116,Rév utca,tertiary,40,False,False,221.23099999999997,"LINESTRING (18.9673433 47.7860906, 18.9674542 47.7860799, 18.9678643 47.7860423, 18.9680736 47.7860231, 18.9682545 47.7860069, 18.9686167 47.7859732, 18.9693439 47.7859185, 18.9698743 47.7858856, 18.9700966 47.7858692, 18.9702808 47.7858448)",,,
"[1108788235, 170770477]",11,Duna-parti út,primary,50,False,False,87.212,"LINESTRING (18.9673433 47.7860906, 18.9671818 47.7855967, 18.9671033 47.7853231)",3,,
"[732445569, 489402973, 24306599]",11321,Rév utca,tertiary,,False,False,138.64,"LINESTRING (18.9671033 47.7853231, 18.9669726 47.7853346, 18.9669583 47.7853348, 18.9668475 47.7853534, 18.9667878 47.7853675, 18.9667335 47.785392, 18.966692 47.7854221, 18.9666765 47.7854519, 18.9666657 47.7854858, 18.9666703 47.7855256, 18.9667077 47.7856073, 18.9669288 47.786056, 18.9670253 47.7863285)",2,,
170753682,11,Duna-parti út,primary,50,False,True,73.217,"LINESTRING (18.9671033 47.7853231, 18.9670414 47.7849742, 18.9670257 47.7846673)",3,,
"[1108788235, 170770477]",11,Duna-parti út,primary,50,False,True,87.212,"LINESTRING (18.9671033 47.7853231, 18.9671818 47.7855967, 18.9673433 47.7860906)",3,,
170753682,11,Duna-parti út,primary,50,False,False,73.217,"LINESTRING (18.9670257 47.7846673, 18.9670414 47.7849742, 18.9671033 47.7853231)",3,,
"[1169668731, 477372613]",,Sirály utca,residential,,False,False,99.608,"LINESTRING (18.9670257 47.7846673, 18.9671289 47.7846656, 18.9671585 47.7846658, 18.9671784 47.784664, 18.9672691 47.7846632, 18.9676819 47.7846597, 18.9683585 47.7846505)",,,
45324836,,Fő utca,residential,,False,True,29.74,"LINESTRING (18.969972 47.7831584, 18.969911 47.7828941)",,,
"[1194659459, 45324836, 164953503]",,Fő utca,residential,,False,False,117.989,"LINESTRING (18.969972 47.7831584, 18.9699582 47.7832935, 18.9699013 47.783401, 18.9696833 47.7837159, 18.9696145 47.7838612, 18.9695991 47.7839868, 18.9695966 47.7840076, 18.9696002 47.7841725)",,yes,
45324842,,Széchenyi tér,residential,50,False,False,44.704,"LINESTRING (18.969972 47.7831584, 18.9700526 47.7831513, 18.9704769 47.783114, 18.9704917 47.7831048, 18.9705424 47.7830734)",,,
25697703,11116,Nagy Lajos utca,tertiary,40,False,False,157.81,"LINESTRING (18.9702808 47.7858448, 18.970415 47.7858003, 18.9705818 47.7857362, 18.9707527 47.7856603, 18.9709383 47.7855568, 18.971187 47.7854012, 18.971317 47.7853337, 18.971425 47.7852878, 18.9715026 47.7852548, 18.9717405 47.7851752, 18.9720617 47.7851116)",2,,
"[45765786, 489410271]",,Fő utca,residential,,True,False,138.66899999999998,"LINESTRING (18.9702808 47.7858448, 18.9702904 47.7858784, 18.9703277 47.7860124, 18.9703938 47.7864675, 18.9704007 47.7865316, 18.9704532 47.7868492, 18.9705027 47.7870823)",,,
"[25697702, 121239999]",11116,Rév utca,tertiary,40,False,True,221.23100000000002,"LINESTRING (18.9702808 47.7858448, 18.9700966 47.7858692, 18.9698743 47.7858856, 18.9693439 47.7859185, 18.9686167 47.7859732, 18.9682545 47.7860069, 18.9680736 47.7860231, 18.9678643 47.7860423, 18.9674542 47.7860799, 18.9673433 47.7860906)",,,
164953504,,Fő utca,residential,,False,True,194.39600000000002,"LINESTRING (18.9702808 47.7858448, 18.9702695 47.7858206, 18.9702607 47.7858037, 18.9702139 47.7857139, 18.9698749 47.7852054, 18.9698015 47.7850708, 18.9697618 47.784949, 18.9697175 47.7847784, 18.9696408 47.7844703, 18.9696002 47.7841725)",,,
25697703,11116,Nagy Lajos utca,tertiary,40,False,True,157.81,"LINESTRING (18.9720617 47.7851116, 18.9717405 47.7851752, 18.9715026 47.7852548, 18.971425 47.7852878, 18.971317 47.7853337, 18.971187 47.7854012, 18.9709383 47.7855568, 18.9707527 47.7856603, 18.9705818 47.7857362, 18.970415 47.7858003, 18.9702808 47.7858448)",2,,
45324837,,Pázmány Péter utca,residential,,False,False,12.148,"LINESTRING (18.9720617 47.7851116, 18.9721068 47.7851233, 18.9722133 47.7851511)",,,
45324838,11116,Mátyás király utca,tertiary,40,False,False,254.66600000000003,"LINESTRING (18.9720617 47.7851116, 18.9728043 47.7850462, 18.9743843 47.7849379, 18.9750043 47.7849094, 18.9751329 47.7848983, 18.9754493 47.7848648)",2,,
"[45765784, 170750985, 45765783]",,Széchenyi utca,residential,50,False,True,251.58299999999997,"LINESTRING (18.9720617 47.7851116, 18.9720436 47.7850869, 18.9720251 47.7850623, 18.9718886 47.7848758, 18.9716411 47.7844896, 18.9715764 47.7843994, 18.971547 47.784315, 18.9715033 47.7841246, 18.9714127 47.7839619, 18.9712189 47.7836769, 18.9707047 47.7831968, 18.9707278 47.7830767)",,yes,2
45324838,11116,Mátyás király utca,tertiary,40,False,True,46.998000000000005,"LINESTRING (18.9760438 47.784729, 18.9757281 47.7848144, 18.9754493 47.7848648)",2,,
52830644,,Újkert utca,residential,,False,False,17.89,"LINESTRING (18.9760438 47.784729, 18.9760595 47.7847399, 18.9761187 47.7847808, 18.9762108 47.7848443)",,,
76890997,,Patak sétány,residential,,False,True,102.26599999999999,"LINESTRING (18.9696002 47.7841725, 18.9698679 47.7842038, 18.9702067 47.7842729, 18.9703673 47.7843029, 18.9705049 47.7843205, 18.970729 47.78432, 18.9709402 47.7843069)",,,
"[1194659459, 45324836, 164953503]",,Fő utca,residential,,False,True,117.989,"LINESTRING (18.9696002 47.7841725, 18.9695966 47.7840076, 18.9695991 47.7839868, 18.9696145 47.7838612, 18.9696833 47.7837159, 18.9699013 47.783401, 18.9699582 47.7832935, 18.969972 47.7831584)",,yes,
164953504,,Fő utca,residential,,False,False,194.39600000000002,"LINESTRING (18.9696002 47.7841725, 18.9696408 47.7844703, 18.9697175 47.7847784, 18.9697618 47.784949, 18.9698015 47.7850708, 18.9698749 47.7852054, 18.9702139 47.7857139, 18.9702607 47.7858037, 18.9702695 47.7858206, 18.9702808 47.7858448)",,,
45324837,,Pázmány Péter utca,residential,,False,True,12.148,"LINESTRING (18.9722133 47.7851511, 18.9721068 47.7851233, 18.9720617 47.7851116)",,,
"[45765787, 45765781]",,Zách Klára utca,residential,,False,False,260.637,"LINESTRING (18.9722133 47.7851511, 18.9720021 47.7853174, 18.9718813 47.7854405, 18.9717199 47.7856179, 18.9716481 47.785732, 18.9716024 47.7858754, 18.9715945 47.7859587, 18.9715604 47.7863196, 18.9715013 47.7864025, 18.9710721 47.7867559, 18.9707656 47.786967, 18.9706206 47.7870387, 18.9705027 47.7870823)",,,
292658597,,Pázmány Péter utca,residential,,False,False,21.184,"LINESTRING (18.9722133 47.7851511, 18.9723558 47.7851789, 18.9724795 47.7852155)",,,
26490621,,Kálvária utca,residential,,False,False,81.279,"LINESTRING (18.9724795 47.7852155, 18.9723911 47.7853428, 18.9722048 47.7855662, 18.9721793 47.7856445, 18.9721885 47.7857085, 18.9722224 47.7857807, 18.9722496 47.7858441, 18.9722583 47.785892)",,,
186029539,,Pázmány Péter utca,residential,,False,False,55.911,"LINESTRING (18.9724795 47.7852155, 18.9728443 47.7852737, 18.9732133 47.7853121)",,,
292658597,,Pázmány Péter utca,residential,,False,True,21.184,"LINESTRING (18.9724795 47.7852155, 18.9723558 47.7851789, 18.9722133 47.7851511)",,,
