osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,tunnel
189565215,Alagút utca,residential,False,False,94.24,"LINESTRING (19.1348639 47.6839676, 19.1339336 47.6845386)",,,,
1203075466,József Attila utca,residential,False,False,117.685,"LINESTRING (19.1348639 47.6839676, 19.135019 47.6850208)",,,,
189565215,Alagút utca,residential,False,True,92.264,"LINESTRING (19.1348639 47.6839676, 19.1354558 47.6836354, 19.1358106 47.6834363)",,,,
517669151,József Attila utca,residential,False,True,376.821,"LINESTRING (19.1348639 47.6839676, 19.134796 47.6832644, 19.1347863 47.6831637, 19.1347497 47.6827844, 19.1347133 47.6823235, 19.1345898 47.6805839)",,,,
74480605,Török Ignác utca,residential,False,False,127.684,"LINESTRING (19.1340897 47.6860896, 19.1323877 47.6861656)",,,,
294287779,Mészáros Lázár utca,residential,False,False,185.858,"LINESTRING (19.1340897 47.6860896, 19.1365655 47.6859635)",50,,,
308723325,Pesti út,primary,False,False,59.439,"LINESTRING (19.1340897 47.6860896, 19.1341439 47.6866229)",50,2,2,
308723325,Pesti út,primary,False,True,76.503,"LINESTRING (19.1340897 47.6860896, 19.1340199 47.6854032)",50,2,2,
60741440,Bajcsy-Zsilinszky utca,residential,False,False,61.374,"LINESTRING (19.1323877 47.6861656, 19.132449 47.686716)",30,,,
74480605,Török Ignác utca,residential,False,True,127.684,"LINESTRING (19.1323877 47.6861656, 19.1340897 47.6860896)",,,,
79086937,Török Ignác utca,residential,False,False,79.393,"LINESTRING (19.1323877 47.6861656, 19.1313294 47.6862128)",30,,,
60741443,Luther Márton utca,residential,False,True,81.383,"LINESTRING (19.1313294 47.6862128, 19.1312473 47.685483)",30,,,
79086937,Török Ignác utca,residential,False,True,79.393,"LINESTRING (19.1313294 47.6862128, 19.1323877 47.6861656)",30,,,
79086939,Török Ignác utca,residential,False,False,52.86,"LINESTRING (19.1313294 47.6862128, 19.130717 47.6859761)",,,,
221228808,Török Ignác utca,residential,False,True,64.552,"LINESTRING (19.1299757 47.6856795, 19.130717 47.6859761)",,,,
60741439,Iván-Kovács László utca,residential,False,False,198.65,"LINESTRING (19.1341911 47.6870873, 19.1343142 47.6870811, 19.13446 47.6870737, 19.1368375 47.6869538)",50,,,
308723325,Pesti út,primary,False,True,51.759,"LINESTRING (19.1341911 47.6870873, 19.1341556 47.6867378, 19.1341439 47.6866229)",50,2,2,
