osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge,width,maxspeed,ref,tunnel
1021065122,Szvorényi utca,tertiary,False,False,41.971,,"LINESTRING (20.374728 47.8973556, 20.3741653 47.8973674)",,,,,
50022151,Klapka György utca,tertiary,False,True,99.333,2,"LINESTRING (20.374728 47.8973556, 20.3748777 47.8973757, 20.3750453 47.8973942, 20.3758572 47.8976054, 20.3759886 47.8976358)",,,,,
122359159,Deák Ferenc utca,tertiary,False,True,216.09799999999998,4,"LINESTRING (20.374728 47.8973556, 20.3747785 47.8972164, 20.3751653 47.8961515, 20.3754095 47.8956301, 20.3754799 47.8954797)",,,,,
123629267,Hatvani kapu tér,tertiary,False,False,100.30499999999999,4,"LINESTRING (20.374728 47.8973556, 20.3744557 47.898063, 20.3743951 47.8982296)",,,,,
4383256,Hatvani kapu tér,tertiary,True,False,18.626,2,"LINESTRING (20.3742793 47.8985183, 20.3742769 47.8986858)",,,,,
1021792421,Hatvani kapu tér,tertiary,False,True,33.245,4,"LINESTRING (20.3742793 47.8985183, 20.3743521 47.8983441, 20.3743951 47.8982296)",,,,,
4383257,Egészségház utca,tertiary,True,False,102.21700000000001,,"LINESTRING (20.3782495 47.9005647, 20.3786874 47.9001896, 20.3790982 47.8998427)",,,,,
833673941,Kossuth Lajos utca,tertiary,False,False,134.827,,"LINESTRING (20.3782495 47.9005647, 20.3779394 47.9004046, 20.3778803 47.9003741, 20.3772029 47.9000135, 20.3769141 47.8998597, 20.3768289 47.8998143)",,,,,
"[495738746, 50022151]",Klapka György utca,tertiary,False,False,305.885,2,"LINESTRING (20.3802557 47.898872, 20.3801521 47.8988267, 20.3800832 47.8988031, 20.3798359 47.8987186, 20.3797921 47.8987036, 20.3789654 47.8984994, 20.3779126 47.8982178, 20.3764694 47.8978194)",,,,,
124251377,Dr. Hibay Károly utca,residential,False,True,39.637,,"LINESTRING (20.3799056 47.9016343, 20.3795614 47.901906)",,,,,
"[120911193, 322817261, 322817262]",Kossuth Lajos utca,tertiary,True,False,172.329,,"LINESTRING (20.3799056 47.9016343, 20.3796515 47.9014894, 20.3796051 47.9014699, 20.3794494 47.9013952, 20.3794054 47.9013647, 20.37891 47.9010906, 20.3786682 47.9008776, 20.3785854 47.9008157, 20.3782495 47.9005647)",yes,6,,,
90440019,,tertiary_link,True,False,8.718,1,"LINESTRING (20.3740346 47.8989182, 20.3741357 47.8988788)",,,,,
223532526,Eszterházy tér,tertiary,True,False,19.555,1,"LINESTRING (20.3740346 47.8989182, 20.3740864 47.8988324, 20.3741331 47.8987552)",,,,,
19846881,Pyrker tér,tertiary,False,False,123.71600000000001,,"LINESTRING (20.3735711 47.8990302, 20.3730099 47.8989947, 20.3727272 47.8989723, 20.372703 47.8989712, 20.3725839 47.898966, 20.3724272 47.8989747, 20.372096 47.8990518, 20.3719475 47.8990912)",,,,,
120926980,Eszterházy tér,tertiary,True,False,37.653000000000006,2,"LINESTRING (20.3735711 47.8990302, 20.3737883 47.8990149, 20.3739328 47.8989685, 20.3740346 47.8989182)",,,,,
22753837,Fellner Jakab utca,residential,False,False,103.97600000000001,,"LINESTRING (20.3768289 47.8998143, 20.3767841 47.8998823, 20.3764598 47.9004815, 20.3763284 47.9006867)",,,,,
"[90439994, 407030638]",Kossuth Lajos utca,tertiary,False,True,137.007,2,"LINESTRING (20.3768289 47.8998143, 20.3766843 47.8997359, 20.3763157 47.8995867, 20.3757298 47.8994223, 20.3755398 47.8993599, 20.3754702 47.8993371, 20.375203 47.89925)",,,,,
833673941,Kossuth Lajos utca,tertiary,False,True,134.827,,"LINESTRING (20.3768289 47.8998143, 20.3769141 47.8998597, 20.3772029 47.9000135, 20.3778803 47.9003741, 20.3779394 47.9004046, 20.3782495 47.9005647)",,,,,
