osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction,access,maxspeed
695028121,3103,Rákos utca,secondary,False,True,69.064,"LINESTRING (19.3411988 47.4909198, 19.3402848 47.4908539)",,,,,
38973155,3103,Rákos utca,secondary,True,False,33.562000000000005,"LINESTRING (19.3411988 47.4909198, 19.3412822 47.4909197, 19.3413784 47.4909258, 19.3415068 47.4909254, 19.3415767 47.4909205, 19.3416432 47.4909109)",,,,,
38973159,31102,Kovács utca,tertiary,False,True,188.372,"LINESTRING (19.3407766 47.4887833, 19.3407891 47.4889012, 19.3408388 47.4890674, 19.3413163 47.4900586, 19.3414958 47.4904017)",,,,,
183618123,,Kossuth tér,residential,True,False,26.606,"LINESTRING (19.3407766 47.4887833, 19.3406968 47.4887569, 19.340571 47.4887347, 19.340436 47.48874)",,,,,
"[401036872, 418351105]",31102,"['Kossuth tér', 'Maglódi út']",tertiary,False,False,224.45999999999998,"LINESTRING (19.3407766 47.4887833, 19.3407871 47.4887302, 19.3408088 47.4886208, 19.340848 47.4885413, 19.3409807 47.4882506, 19.3410635 47.4880812, 19.3412509 47.4876979, 19.3415752 47.4868409)",2,,,,
68553513,,Ráday utca,residential,False,False,10.619,"LINESTRING (19.3482445 47.4911718, 19.3482437 47.4910763)",,,,,
614400506,3103,Isaszegi út,secondary,False,True,432.187,"LINESTRING (19.3482445 47.4911718, 19.3463218 47.4912148, 19.3439964 47.4912296, 19.3431068 47.4912178, 19.3428841 47.4912149, 19.3425719 47.4912122, 19.3424938 47.4912103)",,,,,
695028104,3103,Isaszegi út,secondary,False,False,180.667,"LINESTRING (19.3482445 47.4911718, 19.3487406 47.4912142, 19.3495619 47.4913276, 19.3506041 47.4914798)",,,,,
28850933,3103;31102,Isaszegi út,secondary,True,False,13.873,"LINESTRING (19.3419886 47.4910871, 19.3418124 47.4910498)",,,,,
38973153,3103;31102,Isaszegi út,secondary,False,False,32.902,"LINESTRING (19.3419886 47.4910871, 19.3421656 47.4911488, 19.3423902 47.4912035)",3,,,,
