osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,width
573312593,True,47,Köztársaság út,primary,30,False,44.129999999999995,"LINESTRING (21.5721776 47.3539857, 21.5718563 47.353811, 21.5717837 47.3537827, 21.5717018 47.3537573)",,,
"[1079027144, 574690934]",False,47,Köztársaság út,primary,50,True,135.166,"LINESTRING (21.5721776 47.3539857, 21.5724018 47.3541691, 21.5728771 47.3545763, 21.573109 47.3547255, 21.5734015 47.3548638)",,,
173195289,False,,Bihari tér,residential,,True,69.231,"LINESTRING (21.5737561 47.3524108, 21.5728833 47.3522159)",,,
216507133,False,4811,Dózsa György utca,secondary,,False,68.956,"LINESTRING (21.5737561 47.3524108, 21.5732594 47.3529317)",,,
216507133,False,4811,Dózsa György utca,secondary,,True,73.484,"LINESTRING (21.5737561 47.3524108, 21.5743501 47.3518866)",,,
216507133,False,4811,Dózsa György utca,secondary,,True,18.936,"LINESTRING (21.5731089 47.3530681, 21.5732594 47.3529317)",,,
173192523,False,,Kígyó utca,residential,,True,183.741,"LINESTRING (21.5731089 47.3530681, 21.5727526 47.3528743, 21.5725876 47.3528232, 21.5722632 47.3528686, 21.5720451 47.3528383, 21.5717738 47.3528307, 21.5715641 47.3527663, 21.5711199 47.3525364, 21.5710263 47.3525286, 21.5709403 47.3525503)",,,
216507133,False,4811,Dózsa György utca,secondary,,False,75.605,"LINESTRING (21.5731089 47.3530681, 21.5729515 47.3531751, 21.5728663 47.3532302, 21.5726933 47.353313, 21.5725252 47.3533856, 21.5724652 47.3534039, 21.5722957 47.3534556)",,,
587730277,False,4803,Rákóczi út,secondary,,True,94.974,"LINESTRING (21.5672787 47.3496867, 21.5671461 47.3497122, 21.5670669 47.3497359, 21.5670431 47.349743, 21.5666789 47.3498521, 21.5664974 47.3499064, 21.5661114 47.3500071)",,,
1093339246,True,47,Köztársaság út,primary,50,False,64.72,"LINESTRING (21.5672787 47.3496867, 21.5674054 47.3497812, 21.5674603 47.34983, 21.5677165 47.3501826)",1,,
587730277,False,4803,Rákóczi út,secondary,,False,34.471,"LINESTRING (21.5656844 47.3501185, 21.5661114 47.3500071)",,,
216507148,False,4803,Rákóczi út,secondary,,True,51.051,"LINESTRING (21.5656844 47.3501185, 21.5654311 47.3501846, 21.5650388 47.350256)",,,
"[587730275, 173192615]",True,,"['Kinizsi utca', 'Szováti út']",residential,,False,266.972,"LINESTRING (21.5650388 47.350256, 21.5652352 47.3504394, 21.5655674 47.3506297, 21.5663742 47.3510236, 21.56662 47.3511645, 21.5666827 47.3512004, 21.5667025 47.3512514, 21.5661053 47.3515274, 21.5656005 47.351714)",,,
216507148,False,4803,Rákóczi út,secondary,,False,51.051,"LINESTRING (21.5650388 47.350256, 21.5654311 47.3501846, 21.5656844 47.3501185)",,,
216507150,False,,Szováti út,residential,,False,10.488,"LINESTRING (21.5656005 47.351714, 21.5654783 47.3517592)",,,
