osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,width
163979836,True,2,Kaupvangsstræti,secondary,50,False,13.771,,"LINESTRING (-18.0875926 65.6811058, -18.0873327 65.6811681)",
163979837,True,2,Drottningarbraut,trunk,50,False,17.46,1,"LINESTRING (-18.0875926 65.6811058, -18.0875649 65.681021, -18.087538 65.6809504)",
23653676,True,,Hafnarstræti,residential,30,False,39.027,,"LINESTRING (-18.0894859 65.6808969, -18.0893301 65.680739, -18.0892446 65.6806559, -18.0891764 65.6805701)",
24541787,True,,Hafnarstræti,living_street,15,False,183.34,,"LINESTRING (-18.0894859 65.6808969, -18.0895614 65.6809554, -18.0895947 65.6809812, -18.0900293 65.6812853, -18.0911678 65.6820935, -18.0915157 65.6823178)",2
161796737,False,2,Kaupvangsstræti,secondary,30,False,219.54399999999995,,"LINESTRING (-18.0894859 65.6808969, -18.0900831 65.6807552, -18.0902382 65.680717, -18.0909174 65.6805381, -18.0919992 65.6802186, -18.0924284 65.6800595, -18.092955 65.6798864, -18.0930587 65.6798451, -18.0931362 65.6797817, -18.0932422 65.6797028)",
513720681,True,2,Kaupvangsstræti,secondary,30,False,58.212,,"LINESTRING (-18.0894859 65.6808969, -18.0890903 65.680948, -18.0886248 65.6809962, -18.0884565 65.6810148, -18.0882604 65.6810354)",
416459793,False,2,Kaupvangsstræti,secondary,30,True,107.79800000000002,,"LINESTRING (-18.095189 65.6797513, -18.0951021 65.6797432, -18.094984 65.6797012, -18.0948714 65.679646, -18.0947426 65.6795797, -18.0945801 65.6795208, -18.0944956 65.6795062, -18.0944004 65.6794965, -18.0943003 65.6794939, -18.094151 65.6794976, -18.0939686 65.6795097, -18.0937809 65.6795418, -18.0935438 65.6795808, -18.0934297 65.6796093, -18.0932757 65.6796823, -18.0932422 65.6797028)",
416459797,False,,Oddeyrargata,residential,30,False,29.111,,"LINESTRING (-18.095189 65.6797513, -18.0951642 65.6798864, -18.0951622 65.6798975, -18.0951581 65.6799519, -18.0951349 65.6800119)",
513724377,False,2,Þingvallastræti,secondary,30,False,144.992,,"LINESTRING (-18.095189 65.6797513, -18.0953296 65.679755, -18.095578 65.6797406, -18.0970254 65.6796182, -18.0976865 65.6795729, -18.0983046 65.6795305)",
512917450,False,4,Þingvallastræti,secondary,,True,5.841,,"LINESTRING (-18.0997112 65.6794268, -18.0998369 65.6794179)",
161796455,True,1,Þórunnarstræti,tertiary,50,False,90.711,,"LINESTRING (-18.0997112 65.6794268, -18.099756 65.6795355, -18.0998562 65.679779, -18.0999333 65.680101, -18.1000577 65.6802259)",
"[161796457, 513724377]",False,"['2', '3']",Þingvallastræti,secondary,"['50', '30']","[False, True]",65.44,,"LINESTRING (-18.0997112 65.6794268, -18.0993893 65.6794504, -18.0989436 65.679485, -18.0983046 65.6795305)",
22574944,False,,Hamarstígur,residential,30,True,76.228,,"LINESTRING (-18.1001418 65.681266, -18.0984869 65.6813402)",
164042502,False,,Hamarstígur,residential,30,False,73.874,,"LINESTRING (-18.1001418 65.681266, -18.1017386 65.6811713)",
164042503,False,2,Þórunnarstræti,tertiary,50,False,147.499,,"LINESTRING (-18.1001418 65.681266, -18.1001451 65.6812999, -18.1001714 65.6815666, -18.1001911 65.6817676, -18.1002722 65.6825914)",
512917455,False,2,Þórunnarstræti,tertiary,50,True,115.71799999999999,,"LINESTRING (-18.1001418 65.681266, -18.1001337 65.6811413, -18.1000852 65.6805569, -18.1000577 65.6802259)",
164042502,False,,Hamarstígur,residential,30,True,73.874,,"LINESTRING (-18.1017386 65.6811713, -18.1001418 65.681266)",
24529554,False,,Ásvegur,residential,30,True,245.23699999999997,,"LINESTRING (-18.1017386 65.6811713, -18.1020717 65.6832174, -18.1020825 65.6832512, -18.1020859 65.6832971, -18.1021262 65.68337)",
"[1234488585, 1234488586, 163979837]",True,2,Drottningarbraut,trunk,50,False,68.678,1,"LINESTRING (-18.087538 65.6809504, -18.0874264 65.6806532, -18.0873564 65.6804541, -18.0873165 65.6803883, -18.0872916 65.6803415)",
961446662,True,1,,residential,30,False,52.253,,"LINESTRING (-18.087538 65.6809504, -18.0875849 65.6809071, -18.0876004 65.6808748, -18.0876046 65.6808335, -18.0875715 65.6807195, -18.0875662 65.6806844, -18.0875671 65.6806437, -18.0875754 65.680605, -18.0875914 65.6805758, -18.0876221 65.6805505, -18.0876541 65.6805241, -18.0877011 65.6804999)",
961446690,True,1,Hjalteyrargata,primary,50,False,16.036,819,"LINESTRING (-18.0823126 65.6853839, -18.0824059 65.6855229)",
961446691,False,,Strandgata,unclassified,,False,5.591,819,"LINESTRING (-18.0823126 65.6853839, -18.0824347 65.6853847)",
"[23596892, 563951741]",False,2,Strandgata,tertiary,"['30', '50']",False,57.135,,"LINESTRING (-18.090961 65.682723, -18.0907769 65.6828893, -18.0904993 65.6831187, -18.0904183 65.6831856)",
23596912,False,2,Skipagata,tertiary,30,False,21.560000000000002,,"LINESTRING (-18.090961 65.682723, -18.0908811 65.6826685, -18.0908276 65.6826137, -18.0907721 65.6825463)",
423896502,False,2,Skipagata,tertiary,50,False,133.996,,"LINESTRING (-18.0895732 65.6821935, -18.0894517 65.682088, -18.0890193 65.6817126, -18.0888625 65.6815764, -18.0886241 65.6813622, -18.0884281 65.6811861, -18.0883343 65.6811018)",
"[23596912, 563951742]",False,2,Skipagata,tertiary,"['50', '30']",True,70.019,,"LINESTRING (-18.0895732 65.6821935, -18.089654 65.6822637, -18.0896692 65.6822763, -18.0897029 65.682304, -18.0897713 65.6823266, -18.0898333 65.6823404, -18.0904395 65.6824509, -18.0906755 65.6825039, -18.0907721 65.6825463)",
"[23596912, 563951742]",False,2,Skipagata,tertiary,"['30', '50']",False,70.019,,"LINESTRING (-18.0907721 65.6825463, -18.0906755 65.6825039, -18.0904395 65.6824509, -18.0898333 65.6823404, -18.0897713 65.6823266, -18.0897029 65.682304, -18.0896692 65.6822763, -18.089654 65.6822637, -18.0895732 65.6821935)",
23596912,False,2,Skipagata,tertiary,30,True,21.56,,"LINESTRING (-18.0907721 65.6825463, -18.0908276 65.6826137, -18.0908811 65.6826685, -18.090961 65.682723)",
423896502,False,2,Skipagata,tertiary,50,True,8.122,,"LINESTRING (-18.0882604 65.6810354, -18.0883343 65.6811018)",
161796729,True,2,Kaupvangsstræti,secondary,50,False,31.567,,"LINESTRING (-18.0882604 65.6810354, -18.0879782 65.6810652, -18.0878596 65.6810777, -18.0877526 65.6810889, -18.0875926 65.6811058)",
416459797,False,,Oddeyrargata,residential,30,False,70.473,,"LINESTRING (-18.0942391 65.682593, -18.0940544 65.6832222)",
416459797,False,,Oddeyrargata,residential,30,True,127.902,,"LINESTRING (-18.0942391 65.682593, -18.0946522 65.6814554)",
