osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,width,geometry,junction
"[511763081, 18692642, 746242140, 18692639]",False,2,1,Suðurlandsvegur,trunk,50,True,346.808,yes,6.2,"LINESTRING (-21.0050005 63.9409133, -21.0050254 63.9407059, -21.0050852 63.9404548, -21.0052361 63.9400152, -21.0052851 63.9398267, -21.0052987 63.9396604, -21.0052936 63.9395725, -21.0052733 63.9394786, -21.0052497 63.9394214, -21.0052175 63.9393672, -21.005115 63.9391989, -21.0044937 63.9384373, -21.0041933 63.9380529, -21.0040733 63.9378892)",
19435833,False,,,Ártún,residential,30,False,46.188,,,"LINESTRING (-21.0050005 63.9409133, -21.004676 63.9409383, -21.0040766 63.9410009)",
733664280,False,3,,Tryggvagata,tertiary,30,True,5.565,,,"LINESTRING (-20.9988584 63.9372713, -20.9988634 63.9372213)",
18384476,False,,,Tryggvagata,residential,,True,174.021,,,"LINESTRING (-20.9988584 63.9372713, -20.9988597 63.9373539, -20.9988581 63.9373825, -20.9988428 63.9376506, -20.9988415 63.9376741, -20.9986811 63.9387399, -20.9986775 63.9387695, -20.9986679 63.9388337)",
321432453,True,1,1,Austurvegur,trunk,50,False,90.785,,,"LINESTRING (-20.9988584 63.9372713, -20.999183 63.9372789, -21.0004287 63.9372801, -21.0007162 63.9372798)",
26715612,False,,,Sigtún,residential,,False,6.583,,,"LINESTRING (-21.0007171 63.9372206, -21.0007162 63.9372798)",
26715612,False,,,Sigtún,residential,,True,154.688,,,"LINESTRING (-21.0007171 63.9372206, -21.0007185 63.9371326, -21.0007188 63.93711, -21.0007221 63.9368987, -21.0007265 63.9368343, -21.000748 63.9365209, -21.0008395 63.9358308)",
292127600,True,1,1,Austurvegur,trunk,50,False,90.565,,,"LINESTRING (-21.0007171 63.9372206, -21.0004273 63.9372209, -20.9991791 63.9372238, -20.9988634 63.9372213)",
5042186,True,1,1,Suðurlandsvegur,trunk,50,False,36.650999999999996,,,"LINESTRING (-21.003665 63.9376181, -21.0038114 63.9376751, -21.0038687 63.9377117, -21.0039278 63.9377616, -21.0039713 63.9378092, -21.0040733 63.9378892)",
150212898,True,2,1,Suðurlandsvegur,trunk,50,False,17.941,,,"LINESTRING (-21.003665 63.9376181, -21.0037871 63.9376218, -21.0039051 63.9376075, -21.0040055 63.9375767)",roundabout
150212898,True,2,1,Suðurlandsvegur,trunk,50,False,16.881,,,"LINESTRING (-21.0034657 63.9373645, -21.0034097 63.9374087, -21.003388 63.9374584, -21.0034028 63.9375086)",roundabout
"[184958317, 511761279]",True,2,1,Austurvegur,trunk,50,False,135.94400000000002,,,"LINESTRING (-21.0034657 63.9373645, -21.0033451 63.9373789, -21.003213 63.9373859, -21.0030117 63.9373788, -21.0027744 63.9373624, -21.0018882 63.9373014, -21.0015873 63.9372807, -21.0007171 63.9372206)",
150212898,True,2,1,Suðurlandsvegur,trunk,50,False,16.286,,,"LINESTRING (-21.003919 63.9373219, -21.0038138 63.9373062, -21.0037027 63.9373051, -21.0035961 63.9373189)",roundabout
184958321,False,2,,Engjavegur,tertiary,,False,95.029,,,"LINESTRING (-20.9991261 63.9338868, -20.9993806 63.9338886, -21.0010708 63.9339003)",
