osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
101333821,ნინოწმინდის ქუჩა,residential,False,True,114.79599999999999,"LINESTRING (45.8166588 41.950734, 45.816154 41.9508043, 45.8153772 41.9508762, 45.8152871 41.9508892)",,,,,
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,False,5.857,"LINESTRING (45.8152871 41.9508892, 45.8152975 41.9509413)",no,2,შ 182,60,yes
101333821,ნინოწმინდის ქუჩა,residential,False,False,114.79599999999999,"LINESTRING (45.8152871 41.9508892, 45.8153772 41.9508762, 45.816154 41.9508043, 45.8166588 41.950734)",,,,,
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,True,119.75599999999999,"LINESTRING (45.8152871 41.9508892, 45.8152254 41.9505865, 45.8151632 41.9501952, 45.8151312 41.9500346, 45.8151067 41.9499168, 45.8150837 41.9498231)",no,2,შ 182,60,yes
992146956,ილია ჭავჭავაძის გამზირი,tertiary,False,False,16.729,"LINESTRING (45.8146813 41.9480063, 45.814712 41.948155)",no,2,შ 182,60,yes
992146956,ილია ჭავჭავაძის გამზირი,tertiary,False,True,23.361,"LINESTRING (45.8146813 41.9480063, 45.8146665 41.9477965)",no,2,შ 182,60,yes
101333713,Kudigora st.,tertiary,False,False,145.67,"LINESTRING (45.8146813 41.9480063, 45.8139993 41.9480381, 45.8138376 41.9480476, 45.8135514 41.9480655, 45.8135256 41.9480671, 45.8131884 41.9480912, 45.8129254 41.9481084)",,,,60,
101333715,გიორგი სააკაძის ქუჩა,residential,False,True,16.582,"LINESTRING (45.8196209 41.9466055, 45.8198159 41.9466402)",,,,,
693259722,გიორგი სააკაძის ქუჩა,residential,False,False,191.419,"LINESTRING (45.8196209 41.9466055, 45.818398 41.9465946, 45.8180096 41.9465977, 45.8173065 41.9466017)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,False,239.419,"LINESTRING (45.8196209 41.9466055, 45.8194073 41.9473677, 45.819375 41.9475686, 45.8193051 41.9477695, 45.8191209 41.9482789, 45.8190833 41.9486092, 45.8190989 41.9487143)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,True,164.22899999999998,"LINESTRING (45.8196209 41.9466055, 45.8198191 41.9456613, 45.8199392 41.9451477)",,,,,
101333430,,residential,False,False,83.366,"LINESTRING (45.8115245 41.9467869, 45.8105244 41.9466931)",,,,,
101333743,Erekle II st.,residential,False,True,138.14,"LINESTRING (45.8115245 41.9467869, 45.8114865 41.9455449)",,,,,
101333743,Erekle II st.,residential,False,False,154.827,"LINESTRING (45.8115245 41.9467869, 45.811624 41.9476747, 45.8116591 41.9479861, 45.8116502 41.948175)",,,,,
101333416,Kote Marjanishvili St.,residential,False,False,123.055,"LINESTRING (45.8132505 41.9495233, 45.8133516 41.9484192)",,,,,
