osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,tunnel
100279463,კიკნაძის ქუჩა,residential,False,False,60.093,"LINESTRING (43.2114633 42.0115011, 43.2113049 42.0114855, 43.2110975 42.0114574, 43.2107621 42.0113671)",,,,,
100279144,,residential,False,True,12.778,"LINESTRING (43.2051117 42.0131488, 43.2050235 42.0130544)",,,,,
100279232,სოლომონ მეფის I ჩიხი,residential,False,False,104.038,"LINESTRING (43.2051117 42.0131488, 43.2053111 42.0133418, 43.205456 42.0134549, 43.2055204 42.0134883, 43.2055378 42.0135093, 43.2055366 42.0135283, 43.2052849 42.0139201)",,,,,
100279399,სოლომონ მეფის ქუჩა,secondary,False,False,66.035,"LINESTRING (43.2051117 42.0131488, 43.2054028 42.012989, 43.2057642 42.012806)",2,შ 55,50,,
100279399,სოლომონ მეფის ქუჩა,secondary,False,True,49.638,"LINESTRING (43.2051117 42.0131488, 43.204872 42.0132727, 43.2046267 42.0134121)",2,შ 55,50,,
100279222,9 აპრილის ქუჩა,residential,False,False,76.57,"LINESTRING (43.2057642 42.012806, 43.2057222 42.0127312, 43.2057163 42.0126716, 43.2057198 42.0126054, 43.2058515 42.0121339)",,,,,
100279399,სოლომონ მეფის ქუჩა,secondary,False,False,190.364,"LINESTRING (43.2057642 42.012806, 43.2059955 42.0126953, 43.2060749 42.0126383, 43.2066737 42.0121233, 43.2070321 42.0118483, 43.2074328 42.0116421)",2,შ 55,50,,
100279399,სოლომონ მეფის ქუჩა,secondary,False,True,66.035,"LINESTRING (43.2057642 42.012806, 43.2054028 42.012989, 43.2051117 42.0131488)",2,შ 55,50,,
"[100279352, 100279457, 239549850]",,residential,False,True,130.499,"LINESTRING (43.2057642 42.012806, 43.205803 42.013014, 43.2058461 42.0131935, 43.2058679 42.0133047, 43.2058882 42.0133472, 43.2059293 42.0133823, 43.2066095 42.0136167, 43.2066334 42.0136263)",,,,yes,
100279222,9 აპრილის ქუჩა,residential,False,False,31.994,"LINESTRING (43.2094431 42.0102866, 43.2095091 42.0102866, 43.2096645 42.0102862, 43.2098302 42.0102914)",,,,,
100279222,9 აპრილის ქუჩა,residential,False,True,147.779,"LINESTRING (43.2094431 42.0102866, 43.2093379 42.0102928, 43.2091955 42.0103227, 43.2090775 42.0103491, 43.2089542 42.0103855, 43.2077589 42.0107241)",,,,,
1119583648,,residential,False,False,130.327,"LINESTRING (43.2094431 42.0102866, 43.2093841 42.0101796, 43.2093114 42.0100692, 43.209259 42.0100214, 43.2091762 42.00998, 43.2090089 42.0099047, 43.2089945 42.0098837, 43.2089945 42.0098483, 43.2090146 42.0096405, 43.2090401 42.0095668, 43.2091523 42.0092693)",,,,,
100279167,9 აპრილის II ჩიხი,residential,False,False,247.932,"LINESTRING (43.2077589 42.0107241, 43.207505 42.0103175, 43.2074383 42.0102209, 43.2073517 42.0100541, 43.2072272 42.0099097, 43.2071371 42.0098027, 43.2069776 42.0095771, 43.206932 42.0094944, 43.2069025 42.0094834, 43.2067254 42.0094837, 43.2066664 42.0094779, 43.2066359 42.0094619, 43.2066071 42.0094348, 43.2065779 42.009372, 43.2065621 42.0092554, 43.2065828 42.0091608, 43.2065873 42.009104, 43.2065767 42.0090666, 43.2065258 42.0089893, 43.2065099 42.0089384, 43.2065237 42.0088624)",,,,,
100279222,9 აპრილის ქუჩა,residential,False,False,147.779,"LINESTRING (43.2077589 42.0107241, 43.2089542 42.0103855, 43.2090775 42.0103491, 43.2091955 42.0103227, 43.2093379 42.0102928, 43.2094431 42.0102866)",,,,,
100279222,9 აპრილის ქუჩა,residential,False,True,44.82,"LINESTRING (43.2077589 42.0107241, 43.2074944 42.0107939, 43.2072554 42.0108733)",,,,,
176754983,გალაქტიონის ქუჩა,residential,False,True,85.058,"LINESTRING (43.2053785 42.0116898, 43.204449 42.0120187)",,,,,
100279189,გალაქტიონის ქუჩა (Galaktion St),residential,False,False,70.10300000000001,"LINESTRING (43.2053785 42.0116898, 43.2055629 42.0116259, 43.2057849 42.011563, 43.2058318 42.0115388, 43.2060451 42.0113323)",,,,,
100279235,გალაქტიონის I ჩიხი (Galaktion I Dr),residential,False,False,58.715,"LINESTRING (43.2053785 42.0116898, 43.2052639 42.0115148, 43.2052349 42.0114949, 43.2052061 42.0114909, 43.2051678 42.0114964, 43.2051401 42.0115028, 43.2051125 42.0115107, 43.2050805 42.0115138, 43.2050177 42.0115138, 43.2048304 42.0115146)",,,,,
100279385,9 აპრილის ქუჩა,residential,False,True,27.76,"LINESTRING (43.2072545 42.0114305, 43.2074328 42.0116421)",,,,,
100279385,9 აპრილის ქუჩა,residential,False,False,57.007000000000005,"LINESTRING (43.2072545 42.0114305, 43.2071564 42.0111552, 43.2070754 42.0109354)",,,,,
100279448,9 აპრილის ქუჩა,residential,False,False,63.319,"LINESTRING (43.2072545 42.0114305, 43.2069628 42.0112377, 43.2066945 42.011042)",,,,,
"[1119581152, 1119581153, 100279405]",,residential,False,True,46.423,"LINESTRING (43.2037849 42.0145298, 43.2037448 42.0144949, 43.2037046 42.0144759, 43.203414 42.0143653, 43.2033175 42.0143051)",,,,yes,
100279222,9 აპრილის ქუჩა,residential,False,False,16.397,"LINESTRING (43.2070754 42.0109354, 43.2072554 42.0108733)",,,,,
100279222,9 აპრილის ქუჩა,residential,False,True,33.666,"LINESTRING (43.2070754 42.0109354, 43.206901 42.0109918, 43.2066945 42.011042)",,,,,
100279385,9 აპრილის ქუჩა,residential,False,True,57.007000000000005,"LINESTRING (43.2070754 42.0109354, 43.2071564 42.0111552, 43.2072545 42.0114305)",,,,,
100279222,9 აპრილის ქუჩა,residential,False,True,29.833,"LINESTRING (43.2066945 42.011042, 43.2063381 42.0110851)",,,,,
