osmid,oneway,lanes,highway,reversed,length,name,geometry,ref
647606071,False,1,living_street,True,18.449,,"LINESTRING (41.5625122 42.3944381, 41.5626593 42.3945635)",
102595746,False,,residential,True,175.649,,"LINESTRING (41.5649897 42.3990131, 41.5668704 42.3982605)",
647606071,False,1,living_street,False,18.449,,"LINESTRING (41.5626593 42.3945635, 41.5625122 42.3944381)",
102596260,False,1,living_street,True,97.86,შოთა რუსთაველის IV შესახვევი,"LINESTRING (41.5626593 42.3945635, 41.5629119 42.3945134, 41.5631775 42.3944393, 41.5636679 42.3942539, 41.5637527 42.3942218)",
"[102596447, 647606071]",False,1,"['living_street', 'residential']",True,189.966,შოთა რუსთაველის III შესახვევი,"LINESTRING (41.5626593 42.3945635, 41.5626336 42.3946918, 41.56283 42.395108, 41.5628927 42.395155, 41.5638492 42.3947703, 41.5640912 42.3946559, 41.5641549 42.3946266)",
102596260,False,1,living_street,False,97.86000000000001,შოთა რუსთაველის IV შესახვევი,"LINESTRING (41.5637527 42.3942218, 41.5636679 42.3942539, 41.5631775 42.3944393, 41.5629119 42.3945134, 41.5626593 42.3945635)",
1154734517,True,,secondary,False,117.27000000000001,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5637527 42.3942218, 41.5639152 42.3943009, 41.5644591 42.3947701, 41.5647068 42.3949993)",შ 8
102596019,False,1,living_street,True,7.973,,"LINESTRING (41.5656913 42.3957221, 41.5657403 42.3956602)",
102596019,False,1,living_street,False,104.06099999999999,,"LINESTRING (41.5656913 42.3957221, 41.5656626 42.3957545, 41.5656353 42.3957774, 41.5649325 42.3964714)",
102596175,True,,secondary,False,117.42099999999999,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5656913 42.3957221, 41.565647 42.3957027, 41.5653644 42.3955932, 41.5651209 42.395461, 41.5649081 42.3953093, 41.5647465 42.3951778, 41.5646195 42.3950444)",შ 8
102596019,False,1,living_street,True,104.061,,"LINESTRING (41.5649325 42.3964714, 41.5656353 42.3957774, 41.5656626 42.3957545, 41.5656913 42.3957221)",
647602262,False,1,living_street,False,237.88699999999997,ორდე დგებუაძის ქუჩა,"LINESTRING (41.5649325 42.3964714, 41.5637026 42.395654, 41.5637017 42.3956405, 41.5637094 42.3956298, 41.56373 42.395611, 41.5645586 42.3950786, 41.5646195 42.3950444)",
647602262,False,1,living_street,True,255.714,ორდე დგებუაძის ქუჩა,"LINESTRING (41.5649325 42.3964714, 41.566087 42.3973785, 41.5668704 42.3982605)",
102596175,True,,secondary,False,56.112,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5641549 42.3946266, 41.5638394 42.3943474, 41.5637527 42.3942218)",შ 8
"[647606071, 102596447]",False,1,"['residential', 'living_street']",False,189.96599999999998,შოთა რუსთაველის III შესახვევი,"LINESTRING (41.5641549 42.3946266, 41.5640912 42.3946559, 41.5638492 42.3947703, 41.5628927 42.395155, 41.56283 42.395108, 41.5626336 42.3946918, 41.5626593 42.3945635)",
102596382,False,2,secondary,False,381.84700000000004,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5704405 42.3962041, 41.5691718 42.3960763, 41.5673151 42.3958828, 41.5662657 42.395785, 41.5658325 42.3957441)",შ 8
102595599,False,,living_street,False,8.749,რევაზ ესართიას ქუჩა,"LINESTRING (41.5646195 42.3950444, 41.5647068 42.3949993)",
102596175,True,,secondary,False,60.116,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5646195 42.3950444, 41.5641549 42.3946266)",შ 8
647602262,False,1,living_street,True,237.88699999999997,ორდე დგებუაძის ქუჩა,"LINESTRING (41.5646195 42.3950444, 41.5645586 42.3950786, 41.56373 42.395611, 41.5637094 42.3956298, 41.5637017 42.3956405, 41.5637026 42.395654, 41.5649325 42.3964714)",
102595746,False,,residential,False,175.649,,"LINESTRING (41.5668704 42.3982605, 41.5649897 42.3990131)",
647602262,False,1,living_street,False,255.714,ორდე დგებუაძის ქუჩა,"LINESTRING (41.5668704 42.3982605, 41.566087 42.3973785, 41.5649325 42.3964714)",
102595599,False,,living_street,True,8.749,რევაზ ესართიას ქუჩა,"LINESTRING (41.5647068 42.3949993, 41.5646195 42.3950444)",
1154734517,True,,secondary,False,113.249,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5647068 42.3949993, 41.5648219 42.3951171, 41.5650427 42.3952865, 41.5652401 42.3954073, 41.5654496 42.3955319, 41.5657403 42.3956602)",შ 8
102596175,True,,secondary,False,11.85,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5658325 42.3957441, 41.5656913 42.3957221)",შ 8
102596382,False,2,secondary,True,381.84700000000004,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5658325 42.3957441, 41.5662657 42.395785, 41.5673151 42.3958828, 41.5691718 42.3960763, 41.5704405 42.3962041)",შ 8
102596019,False,1,living_street,False,7.973,,"LINESTRING (41.5657403 42.3956602, 41.5656913 42.3957221)",
1154734517,True,,secondary,False,12.015,შოთა რუსთაველის ქუჩა,"LINESTRING (41.5657403 42.3956602, 41.5658325 42.3957441)",შ 8
