osmid,highway,oneway,reversed,length,name,lanes,ref,maxspeed,access,junction,geometry,bridge
101770781,unclassified,False,False,35.423,,,,,,,"LINESTRING (44.4243427 41.9286885, 44.4246006 41.9289428)",
1265169950,unclassified,False,False,43.986,დადიანის ქუჩა,,,,,,"LINESTRING (44.4243427 41.9286885, 44.4240431 41.9283617)",
101770460,secondary,True,False,22.534999999999997,გიორგი სააკაძის ქუჩა,2,შ 63,50,yes,roundabout,"LINESTRING (44.4192618 41.920448, 44.4193161 41.9204449, 44.419369 41.9204545, 44.4194152 41.920476, 44.4194501 41.9205071, 44.4194702 41.9205448)",
101770434,living_street,False,False,77.871,26 მაისის ქუჩა (26 Maisi St),,,,,,"LINESTRING (44.4163794 41.9280009, 44.4160338 41.9273495)",
101770650,residential,False,False,28.838,26 მაისის ქუჩა,,,,,,"LINESTRING (44.4163794 41.9280009, 44.4162222 41.9281174, 44.4161298 41.9281819)",
101770650,residential,False,True,73.01400000000001,26 მაისის ქუჩა,,,,,,"LINESTRING (44.4163794 41.9280009, 44.4167581 41.9277919, 44.4171391 41.9276771)",
101770601,residential,False,False,129.845,დადიანის ქუჩა,,,,,,"LINESTRING (44.423574 41.9277103, 44.4238014 41.9265549)",
1265169950,unclassified,False,True,84.23400000000001,დადიანის ქუჩა,,,,,,"LINESTRING (44.423574 41.9277103, 44.4235584 41.927797, 44.4237046 41.9279616, 44.4240431 41.9283617)",
1265169951,tertiary,False,True,30.543,პაატას ქუჩა,,,,,,"LINESTRING (44.423574 41.9277103, 44.4234408 41.9277436, 44.4232142 41.9277665)",
101770717,tertiary,False,False,31.568,კოსტავას ქუჩა,,,,,,"LINESTRING (44.4183474 41.9264539, 44.4181359 41.9266902)",
101770717,tertiary,False,True,28.088,კოსტავას ქუჩა,,,,,,"LINESTRING (44.4183474 41.9264539, 44.4185232 41.9262378)",
101770661,residential,False,False,136.62600000000003,მაზნიაშვილის ქუჩა (Mazniashvili St),,,,,,"LINESTRING (44.4183474 41.9264539, 44.4185008 41.9265796, 44.4186761 41.9268737, 44.4187971 41.9271762, 44.4188863 41.9274246, 44.4189213 41.927587)",
127478069,secondary,True,False,58.125,გიორგი სააკაძის ქუჩა,2,შ 63,50,yes,,"LINESTRING (44.4186263 41.9208259, 44.4191676 41.9204927)",
101770344,secondary,False,False,59.161,გიორგი სააკაძის ქუჩა,2,შ 63,50,yes,,"LINESTRING (44.4186263 41.9208259, 44.4183971 41.9209318, 44.4179933 41.9210714)",
