osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,lanes,ref
101500588,წულუკიძის ქუჩა (Tsulukidze St),residential,False,True,112.742,"LINESTRING (43.1467291 42.5178495, 43.1465427 42.5181827, 43.1462903 42.5184297, 43.1461265 42.5184871, 43.1460139 42.5185168, 43.1458524 42.5185455)",,,,,
101500588,წულუკიძის ქუჩა (Tsulukidze St),residential,False,False,36.54,"LINESTRING (43.1458045 42.5188722, 43.1458139 42.5188176, 43.1458524 42.5185455)",,,,,
101500588,წულუკიძის ქუჩა (Tsulukidze St),residential,False,True,74.504,"LINESTRING (43.1458045 42.5188722, 43.1458104 42.5191378, 43.1458398 42.5192703, 43.1459049 42.5193829, 43.1459902 42.5195166)",,,,,
101500596,ჯავახიძის ქუჩა,residential,False,True,163.308,"LINESTRING (43.1549787 42.5214414, 43.1530122 42.5212041)",,,,,
101500569,შოთა რუსთაველის ქუჩა,tertiary,False,True,193.442,"LINESTRING (43.1579939 42.5218494, 43.1577569 42.5218026, 43.1575736 42.521746, 43.1572438 42.5216069, 43.1569892 42.5214824, 43.156658 42.5213224, 43.1563151 42.5211499, 43.1559684 42.5209757)",,,,,
101500696,კოსტავას ქუჩა,tertiary,False,False,95.571,"LINESTRING (43.151115 42.5213068, 43.1507296 42.522118)",,,,,
101500484,ხვანჭკარას ქუჩა,residential,False,False,151.365,"LINESTRING (43.151115 42.5213068, 43.1523331 42.5216535, 43.1528511 42.521769)",,,,,
101500696,კოსტავას ქუჩა,tertiary,False,True,122.15,"LINESTRING (43.151115 42.5213068, 43.151271 42.5210049, 43.15138 42.5208537, 43.1515235 42.5206589, 43.1516077 42.5205434, 43.1517528 42.5203158)",,,,,
101500595,გამსახურდიას ქუჩა,residential,False,False,120.176,"LINESTRING (43.1529888 42.5162815, 43.1521336 42.5171594)",,,,,
101500674,,residential,False,True,178.235,"LINESTRING (43.1529888 42.5162815, 43.1531661 42.5163789, 43.1533868 42.516504, 43.1536016 42.5166326, 43.1536714 42.5165968, 43.1538357 42.5163889, 43.1539281 42.516224, 43.1540556 42.51604, 43.1542234 42.5159183, 43.1543705 42.5157888)",,,,,
