osmid,oneway,lanes,highway,maxspeed,access,reversed,length,name,geometry,bridge
120284983,True,2,secondary,50,yes,False,129.65,,"LINESTRING (41.6756172 42.1402848, 41.6765104 42.1412444)",
28087679,True,2,secondary,50,yes,False,218.844,აკაკის ქუჩა,"LINESTRING (41.6756172 42.1402848, 41.6762739 42.1399166, 41.6777471 42.1391105)",
28396482,False,,tertiary,,,False,231.106,ბარათაშვილის ქუჩა,"LINESTRING (41.6735895 42.1401097, 41.6736068 42.139842, 41.6737236 42.1380337)",
582036518,True,2,secondary,50,yes,False,128.439,,"LINESTRING (41.6735895 42.1401097, 41.6738777 42.1400612, 41.6743526 42.1400824, 41.6748318 42.1400905, 41.6751332 42.1401343)",
1038866152,True,,tertiary,,,False,16.736,მშვიდობის ქუჩა,"LINESTRING (41.6726489 42.1407992, 41.6725586 42.1406644)",
582036518,True,2,secondary,50,yes,False,25.364999999999995,,"LINESTRING (41.6726489 42.1407992, 41.6726723 42.140714, 41.6727278 42.1406577, 41.6727904 42.1406034)",
28396281,False,,residential,,,False,316.127,ათონელის ქუჩა,"LINESTRING (41.673302 42.1402872, 41.6732231 42.1401534, 41.6717661 42.1376823)",
582036518,True,2,secondary,50,yes,False,30.857,,"LINESTRING (41.673302 42.1402872, 41.6734864 42.140178, 41.6735895 42.1401097)",
28396350,False,,residential,,,False,90.408,ზამბახიძის ქუჩა,"LINESTRING (41.6717661 42.1376823, 41.67278 42.1373728)",
28396350,False,,residential,,,True,74.211,ზამბახიძის ქუჩა,"LINESTRING (41.6717661 42.1376823, 41.6709352 42.1379388)",
28396281,False,,residential,,,True,316.127,ათონელის ქუჩა,"LINESTRING (41.6717661 42.1376823, 41.6732231 42.1401534, 41.673302 42.1402872)",
28396302,False,,residential,,,False,214.50799999999998,26 მაისის ქუჩა,"LINESTRING (41.6765872 42.1416436, 41.6766848 42.1416638, 41.6782036 42.1419778, 41.6790933 42.1421617)",
1132694260,True,2,secondary,50,yes,False,132.891,,"LINESTRING (41.6765872 42.1416436, 41.6765843 42.1417686, 41.6765328 42.1419382, 41.676406 42.1421453, 41.6763369 42.142293, 41.6762759 42.1424317, 41.6761905 42.1426306, 41.6761263 42.1427811)",
28396350,False,,residential,,,False,74.211,ზამბახიძის ქუჩა,"LINESTRING (41.6709352 42.1379388, 41.6717661 42.1376823)",
28396252,False,,tertiary,,,True,331.45799999999997,მშვიდობის ქუჩა,"LINESTRING (41.6709352 42.1379388, 41.6709595 42.1379801, 41.6714782 42.1388592, 41.6723376 42.1402265, 41.6724803 42.1404908, 41.6725586 42.1406644)",
28396350,False,,residential,,,False,82.074,ზამბახიძის ქუჩა,"LINESTRING (41.67278 42.1373728, 41.6737717 42.1374362)",
28396350,False,,residential,,,True,90.408,ზამბახიძის ქუჩა,"LINESTRING (41.67278 42.1373728, 41.6717661 42.1376823)",
28396350,False,,residential,,,False,124.951,ზამბახიძის ქუჩა,"LINESTRING (41.6763752 42.1375797, 41.6777206 42.1380968)",
