osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,access,junction
455286915,True,1,primary_link,False,57.401,"LINESTRING (-21.9278024 64.0911699, -21.9279318 64.0911397, -21.9282554 64.091046, -21.9283179 64.0910314, -21.9283854 64.0910218, -21.9284557 64.0910176, -21.9285405 64.0910197, -21.9286224 64.0910296, -21.9286976 64.0910468, -21.928763 64.0910705, -21.9288315 64.0910986)",,,,,
511105827,True,4,primary,False,51.703,"LINESTRING (-21.9278024 64.0911699, -21.9284333 64.0908807, -21.928546 64.0908376)",40,Hafnarfjarðarvegur,60,yes,
511853036,True,1,secondary,False,119.799,"LINESTRING (-21.9122931 64.0855019, -21.9117898 64.0853753, -21.9113993 64.0853054, -21.9110057 64.0852388, -21.9106134 64.0851762, -21.9103449 64.0851359, -21.9102184 64.0851169, -21.9101309 64.0850935, -21.9100475 64.0850674)",412,Vífilsstaðavegur,50,,
671408685,False,2,secondary,False,138.122,"LINESTRING (-21.9122931 64.0855019, -21.9130468 64.0856796, -21.9136003 64.0858197, -21.9140768 64.0859527, -21.914506 64.0860652, -21.9147393 64.0861332)",412,Vífilsstaðavegur,50,,
23341467,False,2,tertiary,False,8.401,"LINESTRING (-21.9229438 64.0885578, -21.9228344 64.0886163)",,Bæjarbraut,50,,
23341139,False,2,residential,False,49.660000000000004,"LINESTRING (-21.9229438 64.0885578, -21.9230427 64.0885082, -21.9230553 64.0884986, -21.923068 64.088489, -21.9234683 64.0882379, -21.9235337 64.0881937)",,Stekkjarflöt,30,,
"[511852460, 511852461]",True,"['1', '2']",secondary,False,134.688,"LINESTRING (-21.9229438 64.0885578, -21.9227857 64.0884987, -21.9225645 64.0884351, -21.9220592 64.0882918, -21.9216932 64.0881856, -21.9206486 64.0878798)",412,Vífilsstaðavegur,50,,
678217918,True,2,primary,False,12.499,"LINESTRING (-21.9286255 64.0906617, -21.9284137 64.0907255)",40,Hafnarfjarðarvegur,60,,
678217916,True,2,secondary,False,39.370999999999995,"LINESTRING (-21.9286255 64.0906617, -21.9284922 64.0905415, -21.928233 64.0903523)",412,Vífilsstaðavegur,50,,
23341040,False,2,residential,True,90.862,"LINESTRING (-21.9104771 64.0842483, -21.909991 64.0849736, -21.9099693 64.085006, -21.9099516 64.0850325)",,Brúarflöt,30,,
23341092,False,2,residential,False,49.258,"LINESTRING (-21.9104771 64.0842483, -21.9106742 64.084254, -21.9114885 64.0842773)",,Móaflöt,30,,
23341092,False,2,residential,False,47.27,"LINESTRING (-21.9142125 64.0845555, -21.915084 64.0847443)",,Móaflöt,30,,
23341092,False,2,residential,True,45.044999999999995,"LINESTRING (-21.9142125 64.0845555, -21.9141327 64.084543, -21.9133398 64.084419)",,Móaflöt,30,,
102740058,False,,residential,False,125.882,"LINESTRING (-21.9142125 64.0845555, -21.9141924 64.084627, -21.9138959 64.0856791)",,Móaflöt,30,,
23341092,False,2,residential,True,145.256,"LINESTRING (-21.9173829 64.0855722, -21.9164638 64.085187, -21.9158924 64.0849756, -21.9156693 64.08491, -21.9151664 64.0847621, -21.915084 64.0847443)",,Móaflöt,30,,
"[23341145, 1033106483]",False,2,residential,"[False, True]",146.786,"LINESTRING (-21.9173829 64.0855722, -21.9167406 64.0859946, -21.9166945 64.0860412, -21.9166931 64.0860827, -21.9167079 64.0861195, -21.916736 64.086143, -21.917984 64.0865089)",,"['Garðaflöt', 'Hagaflöt']",30,,
"[1033106483, 23341101]",False,2,residential,True,83.815,"LINESTRING (-21.9173829 64.0855722, -21.9175894 64.085444, -21.9183759 64.0849559)",,Hagaflöt,30,,
23341097,False,2,residential,False,165.493,"LINESTRING (-21.9156864 64.0840498, -21.9158926 64.0841058, -21.9166053 64.0842996, -21.9171211 64.0844691, -21.9174613 64.0845976, -21.9183759 64.0849559)",,Tjarnarflöt,30,,
23341097,False,2,residential,True,165.493,"LINESTRING (-21.9183759 64.0849559, -21.9174613 64.0845976, -21.9171211 64.0844691, -21.9166053 64.0842996, -21.9158926 64.0841058, -21.9156864 64.0840498)",,Tjarnarflöt,30,,
